排名,名称,排位指数,指数变化,单边获胜率,胜率变化,热度排名
1,幸福蛋,74.41,3.17,53.63%,1.21%,3
2,古月鸟,73.43,8.54,55.61%,3.36%,14
3,怪力,71.21,2.66,53.84%,0.78%,5
4,快龙,70.96,5.55,54.45%,2.09%,12
5,胡帕,67.45,2.25,52.11%,0.8%,16
6,藏饱栗鼠,64.41,0.24,52.66%,0.13%,34
7,甜冷美后,63.91,-2.78,51.54%,-0.71%,10
8,铝钢龙,63.76,2.14,52.28%,1.29%,32
9,喷火龙,62.9,2.69,51.32%,1.22%,21
10,白蓬蓬,61.53,2.9,50.93%,1.35%,35
11,耿鬼,61.04,3.43,50.45%,1.56%,17
12,呆壳兽,60.82,-5.07,50.3%,-1.59%,7
13,朽木妖,60.47,3.87,50.25%,1.73%,25
14,妖火红狐,60.1,-9.65,50.04%,-2.77%,11
15,冰伊布,59.96,0.0,49.98%,0.0%,18
16,魔墙人偶,59.96,9.86,49.99%,1.97%,37
17,闪焰王牌,59.63,0.3,49.79%,0.14%,8
18,皮卡丘,59.56,0.91,49.71%,0.58%,1
19,水箭龟,59.01,-2.44,49.48%,-1.26%,15
20,路卡利欧,58.51,0.47,49.03%,0.21%,2
21,甲贺忍蛙,58.45,2.25,49.09%,1.14%,6
22,卡比兽,58.33,0.04,49.11%,0.04%,20
23,捷拉奥拉,57.94,3.09,48.74%,0.66%,4
24,象牙猪,57.91,2.67,49.09%,1.09%,24
25,阿罗拉九尾,57.57,1.36,48.95%,0.68%,22
26,仙子伊布,57.49,2.48,48.93%,0.79%,26
27,妙蛙花,56.84,1.6,48.31%,0.73%,13
28,烈咬陆鲨,56.53,-1.96,49.01%,-0.47%,36
29,狙射树枭,56.14,2.0,47.8%,1.03%,9
30,玛力露丽,55.17,9.65,48.08%,1.95%,27
31,岩殿居蟹,54.98,2.27,48.12%,0.64%,31
32,坚盾剑怪,54.84,0.34,47.42%,0.12%,19
33,沙奈朵,53.88,2.48,47.74%,0.61%,30
34,胖可丁,53.86,3.17,47.85%,0.28%,33
35,太阳伊布,49.84,4.53,46.0%,0.9%,29
36,烈箭鹰,49.76,-0.04,45.9%,-0.17%,28
37,阿勃梭鲁,48.6,-25.98,44.59%,-8.21%,23
