排名,名称,排位指数,指数变化,单边获胜率,胜率变化,热度排名
1,班基拉斯,98.69,0.0,55.58%,0.0%,1
2,幸福蛋,88.61,10.02,54.94%,1.08%,2
3,古月鸟,77.26,-3.55,54.91%,-0.78%,3
4,快龙,72.41,0.52,54.13%,0.03%,7
5,怪力,65.95,-5.25,52.33%,-1.43%,8
6,甜冷美后,65.13,-5.1,51.81%,-1.31%,5
7,铝钢龙,62.82,-0.99,51.65%,-0.46%,30
8,白蓬蓬,61.55,0.04,50.98%,-0.01%,34
9,喷火龙,61.24,-2.49,50.61%,-1.11%,20
10,妖火红狐,60.81,1.89,50.39%,0.92%,17
11,藏饱栗鼠,60.51,-1.07,50.33%,-0.67%,35
12,阿罗拉九尾,59.93,1.73,49.97%,0.72%,23
13,魔墙人偶,59.64,-0.67,49.92%,-0.29%,37
14,皮卡丘,58.94,-0.36,49.35%,-0.19%,4
15,冰伊布,58.9,-0.27,49.36%,-0.14%,6
16,卡比兽,58.63,-1.28,49.3%,-0.65%,16
17,胡帕,58.59,-2.76,49.17%,-1.3%,19
18,呆壳兽,58.41,-0.3,49.12%,-0.16%,9
19,象牙猪,58.22,-1.47,49.29%,-0.58%,24
20,沙奈朵,58.18,2.14,49.27%,0.76%,27
21,朽木妖,58.12,-0.74,49.21%,-0.28%,25
22,闪焰王牌,57.21,0.13,48.49%,0.04%,11
23,仙子伊布,56.99,1.62,48.78%,0.62%,22
24,耿鬼,56.82,-2.84,48.3%,-1.5%,12
25,甲贺忍蛙,56.7,-0.33,48.2%,-0.1%,10
26,坚盾剑怪,55.29,-0.24,47.67%,-0.23%,15
27,妙蛙花,54.8,-1.17,47.48%,-0.43%,14
28,水箭龟,54.68,-5.19,47.91%,-2.03%,28
29,太阳伊布,54.5,2.83,47.95%,1.03%,29
30,路卡利欧,54.01,-1.31,46.91%,-0.47%,13
31,狙射树枭,51.76,-2.18,46.09%,-0.81%,18
32,捷拉奥拉,51.57,-4.34,46.81%,-1.28%,26
33,胖可丁,51.54,1.79,47.82%,0.51%,36
34,阿勃梭鲁,51.38,-3.45,46.08%,-1.43%,21
35,烈咬陆鲨,50.55,-10.28,47.75%,-2.8%,38
36,岩殿居蟹,50.54,-3.55,47.03%,-0.73%,33
37,爆肌蚊,47.3,-3.56,45.73%,0.1%,31
38,烈箭鹰,46.19,-2.84,45.65%,-0.38%,32
39,玛力露丽,36.41,-12.43,45.7%,-1.37%,39
