排名,名称,使用人数,使用率,使用率变化,胜场数,胜率
1,甜冷美后,54,17.71%,-3.42%,544,71.39%
2,幸福蛋,51,17.24%,-0.71%,531,71.56%
3,快龙,53,16.13%,-2.3%,489,70.46%
4,班基拉斯,43,15.29%,0.0%,462,70.21%
5,古月鸟,46,12.94%,1.52%,410,73.61%
6,胡帕,35,12.74%,1.92%,401,73.18%
7,怪力,44,11.53%,1.47%,364,73.39%
8,甲贺忍蛙,32,8.39%,-0.86%,251,69.53%
9,冰伊布,30,7.88%,-3.61%,239,70.5%
10,路卡利欧,38,6.51%,-3.73%,191,68.21%
11,闪焰王牌,35,4.42%,-2.1%,130,68.42%
12,卡比兽,22,4.3%,-1.1%,136,73.51%
13,皮卡丘,25,3.63%,-0.39%,109,69.87%
14,坚盾剑怪,26,3.3%,1.51%,110,77.46%
15,呆壳兽,16,3.09%,-1.28%,80,60.15%
15,捷拉奥拉,24,3.09%,-0.81%,96,72.18%
17,耿鬼,14,3.04%,-2.66%,85,64.89%
18,喷火龙,20,3.0%,-0.4%,91,70.54%
18,妖火红狐,21,3.0%,-0.77%,91,70.54%
20,藏饱栗鼠,17,2.86%,0.31%,90,73.17%
21,魔墙人偶,19,2.77%,1.85%,80,67.23%
22,阿罗拉九尾,22,2.63%,0.27%,83,73.45%
23,烈咬陆鲨,15,1.72%,-1.67%,45,60.81%
24,妙蛙花,21,1.44%,-0.01%,46,74.19%
25,阿勃梭鲁,17,1.42%,-0.89%,42,68.85%
26,朽木妖,14,1.39%,0.4%,45,75.0%
27,象牙猪,13,1.3%,0.62%,40,71.43%
28,白蓬蓬,15,1.07%,0.83%,30,65.22%
28,仙子伊布,14,1.07%,-0.37%,33,71.74%
30,水箭龟,17,1.05%,-0.49%,33,73.33%
31,沙奈朵,19,0.91%,-0.62%,26,66.67%
32,烈箭鹰,9,0.79%,-0.98%,21,61.76%
33,爆肌蚊,10,0.7%,-1.45%,16,53.33%
34,狙射树枭,9,0.44%,-0.24%,9,47.37%
35,铝钢龙,6,0.4%,-1.25%,11,64.71%
36,太阳伊布,7,0.37%,-0.21%,11,68.75%
37,玛力露丽,8,0.33%,-0.13%,9,64.29%
38,胖可丁,7,0.28%,-0.04%,9,75.0%
39,岩殿居蟹,2,0.07%,-0.22%,2,66.67%
