排名,名称,使用人数,使用率,使用率变化,胜场数,胜率
1,路卡利欧,95,18.26%,-3.44%,1361,70.63%
2,快龙,81,14.92%,4.27%,1198,76.11%
3,幸福蛋,96,12.36%,4.2%,1011,77.53%
4,甜冷美后,84,10.62%,1.47%,843,75.27%
5,古月鸟,82,10.36%,5.17%,830,75.94%
6,胡帕,60,9.81%,-5.8%,807,77.97%
7,冰伊布,66,9.48%,5.3%,717,71.7%
8,甲贺忍蛙,67,7.15%,-2.69%,505,66.98%
9,怪力,81,6.98%,1.39%,543,73.78%
10,捷拉奥拉,78,6.52%,-0.93%,467,67.88%
11,玛力露丽,32,4.99%,3.14%,376,71.48%
12,藏饱栗鼠,27,4.55%,1.13%,335,69.79%
13,闪焰王牌,57,4.13%,-1.4%,317,72.71%
14,呆壳兽,58,3.53%,-1.23%,291,78.23%
15,耿鬼,42,3.32%,-0.0%,233,66.57%
16,烈咬陆鲨,22,3.25%,-1.21%,227,66.18%
17,皮卡丘,54,3.18%,-2.8%,246,73.21%
18,妖火红狐,44,2.81%,-3.42%,215,72.39%
19,卡比兽,47,2.81%,-1.39%,227,76.69%
20,铝钢龙,24,2.62%,0.77%,198,71.74%
21,仙子伊布,38,2.52%,1.09%,204,76.69%
22,沙奈朵,19,2.48%,-0.37%,182,69.47%
23,象牙猪,21,2.0%,1.55%,149,70.62%
24,朽木妖,32,1.79%,-0.37%,140,74.07%
25,阿勃梭鲁,25,1.77%,-7.54%,134,71.66%
26,魔墙人偶,22,1.65%,0.78%,124,71.26%
27,喷火龙,33,1.44%,0.02%,115,75.66%
28,妙蛙花,32,1.42%,-0.27%,105,70.0%
29,狙射树枭,29,1.4%,-0.26%,102,68.92%
29,烈箭鹰,28,1.4%,0.49%,108,72.97%
31,水箭龟,34,1.2%,-2.2%,86,67.72%
32,坚盾剑怪,35,1.18%,0.36%,85,68.0%
33,阿罗拉九尾,23,1.11%,0.4%,87,74.36%
34,胖可丁,20,1.0%,0.13%,79,75.24%
35,太阳伊布,22,0.72%,0.08%,59,77.63%
36,岩殿居蟹,16,0.4%,0.1%,30,71.43%
37,白蓬蓬,15,0.23%,0.07%,12,50.0%
