排名,名称,排位指数,指数变化,单边获胜率,胜率变化,热度排名
1,古月鸟,80.81,0.42,55.69%,0.0%,3
2,幸福蛋,78.59,1.05,53.86%,0.03%,1
3,快龙,71.88,0.73,54.1%,0.14%,7
4,怪力,71.2,2.16,53.76%,0.65%,5
5,甜冷美后,70.23,-0.35,53.12%,-0.29%,4
6,铝钢龙,63.81,-1.13,52.11%,-0.7%,28
7,喷火龙,63.73,1.04,51.72%,0.45%,17
8,藏饱栗鼠,61.57,-1.09,51.0%,-0.6%,33
9,白蓬蓬,61.5,2.03,50.99%,1.14%,34
10,胡帕,61.35,-2.44,50.47%,-0.77%,23
11,烈咬陆鲨,60.83,0.77,50.55%,0.51%,37
12,魔墙人偶,60.31,2.9,50.21%,0.83%,38
13,卡比兽,59.9,-0.08,49.95%,-0.04%,14
14,水箭龟,59.87,0.65,49.94%,0.29%,22
15,象牙猪,59.7,1.56,49.87%,0.64%,25
16,耿鬼,59.66,0.11,49.8%,0.06%,9
17,皮卡丘,59.29,0.26,49.54%,0.17%,2
18,冰伊布,59.17,0.38,49.5%,0.25%,6
19,妖火红狐,58.92,-1.11,49.47%,-0.54%,16
20,朽木妖,58.86,0.24,49.49%,0.06%,24
21,呆壳兽,58.7,-0.35,49.28%,-0.19%,10
22,阿罗拉九尾,58.2,-1.27,49.25%,-0.54%,26
23,闪焰王牌,57.08,-0.38,48.45%,-0.21%,12
24,甲贺忍蛙,57.03,-0.86,48.3%,-0.51%,8
25,沙奈朵,56.04,-1.1,48.51%,-0.45%,32
26,妙蛙花,55.97,-1.33,47.91%,-0.73%,13
27,捷拉奥拉,55.91,-2.45,48.09%,-1.13%,21
28,坚盾剑怪,55.54,-1.74,47.9%,-0.83%,18
29,仙子伊布,55.36,-2.6,48.16%,-0.99%,27
30,路卡利欧,55.32,-0.43,47.38%,-0.24%,11
31,阿勃梭鲁,54.83,1.74,47.51%,0.75%,20
32,岩殿居蟹,54.08,-1.45,47.76%,-0.55%,30
33,狙射树枭,53.95,-0.12,46.9%,-0.08%,15
34,太阳伊布,51.66,-0.37,46.92%,-0.18%,31
35,爆肌蚊,50.85,-1.27,45.63%,1.04%,19
36,胖可丁,49.75,-0.89,47.31%,-0.05%,36
37,烈箭鹰,49.03,0.39,46.03%,-0.1%,29
38,玛力露丽,48.84,-2.15,47.07%,-0.48%,35
