排名,名称,排位指数,指数变化,单边获胜率,胜率变化,热度排名
1,古月鸟,77.04,3.6,54.72%,-0.89%,4
2,幸福蛋,73.07,-1.34,53.12%,-0.51%,2
3,快龙,70.54,-0.42,54.04%,-0.41%,10
4,怪力,70.35,-0.86,53.38%,-0.46%,5
5,甜冷美后,67.76,3.85,52.74%,1.2%,7
6,藏饱栗鼠,64.56,0.14,52.71%,0.05%,31
7,铝钢龙,64.12,0.36,52.38%,0.1%,28
8,喷火龙,63.04,0.14,51.39%,0.07%,18
9,胡帕,62.02,-5.43,50.64%,-1.47%,19
10,烈咬陆鲨,61.36,4.83,50.88%,1.87%,36
11,耿鬼,61.05,0.02,50.43%,-0.02%,12
12,水箭龟,60.55,1.54,50.27%,0.79%,20
13,魔墙人偶,60.32,0.36,50.22%,0.23%,37
14,朽木妖,59.72,-0.75,49.88%,-0.37%,24
15,白蓬蓬,59.58,-1.95,49.88%,-1.05%,35
16,呆壳兽,59.43,-1.39,49.67%,-0.63%,8
17,皮卡丘,59.35,-0.2,49.58%,-0.13%,3
18,妖火红狐,59.33,-0.77,49.65%,-0.39%,14
19,卡比兽,58.87,0.54,49.4%,0.29%,15
20,阿罗拉九尾,58.58,1.0,49.47%,0.52%,27
21,象牙猪,58.51,0.6,49.39%,0.3%,25
22,捷拉奥拉,57.86,-0.08,48.92%,0.18%,17
23,闪焰王牌,57.38,-2.25,48.61%,-1.18%,11
24,仙子伊布,57.38,-0.1,48.86%,-0.07%,23
25,岩殿居蟹,57.02,2.04,48.85%,0.73%,26
26,冰伊布,56.91,-3.05,47.89%,-2.09%,1
27,路卡利欧,56.77,-1.74,48.03%,-1.0%,6
28,甲贺忍蛙,56.69,-1.76,48.13%,-0.96%,9
29,坚盾剑怪,56.63,1.79,48.44%,1.02%,21
30,妙蛙花,56.44,-0.4,48.21%,-0.1%,16
31,沙奈朵,56.12,2.24,48.66%,0.92%,33
32,阿勃梭鲁,54.56,5.96,47.5%,2.91%,22
33,玛力露丽,53.85,-1.32,47.94%,-0.14%,32
34,狙射树枭,53.84,-2.31,46.78%,-1.02%,13
35,烈箭鹰,50.77,1.01,46.79%,0.89%,29
36,胖可丁,50.1,-3.75,47.15%,-0.7%,34
37,太阳伊布,49.86,0.01,46.45%,0.45%,30
