排名,名称,排位指数,指数变化,单边获胜率,胜率变化,热度排名
1,幸福蛋,91.05,2.44,55.43%,0.49%,1
2,班基拉斯,87.59,-11.09,56.2%,0.62%,2
3,古月鸟,75.61,-1.66,54.56%,-0.35%,4
4,快龙,70.67,-1.73,53.58%,-0.55%,6
5,甜冷美后,65.34,0.21,51.73%,-0.08%,3
6,怪力,64.43,-1.52,51.74%,-0.59%,10
7,铝钢龙,62.82,-0.0,51.67%,0.02%,30
8,喷火龙,62.76,1.52,51.34%,0.73%,21
9,魔墙人偶,61.39,1.75,50.93%,1.01%,35
10,白蓬蓬,60.99,-0.56,50.64%,-0.34%,36
11,藏饱栗鼠,60.67,0.16,50.43%,0.1%,34
12,冰伊布,59.74,0.84,49.85%,0.49%,8
13,卡比兽,59.59,0.96,49.78%,0.48%,13
14,沙奈朵,59.36,1.18,49.73%,0.46%,24
15,妖火红狐,58.81,-2.0,49.43%,-0.96%,17
16,耿鬼,58.58,1.76,49.22%,0.92%,14
17,皮卡丘,58.52,-0.41,49.11%,-0.24%,5
18,闪焰王牌,58.25,1.04,49.0%,0.51%,9
19,呆壳兽,57.8,-0.61,48.8%,-0.32%,11
20,朽木妖,57.77,-0.35,49.03%,-0.18%,22
21,阿罗拉九尾,57.67,-2.25,49.07%,-0.9%,25
22,象牙猪,57.61,-0.61,49.03%,-0.26%,27
23,甲贺忍蛙,57.44,0.74,48.51%,0.31%,7
24,胡帕,57.07,-1.51,48.38%,-0.79%,19
25,仙子伊布,55.48,-1.51,48.17%,-0.61%,23
26,坚盾剑怪,54.96,-0.33,47.37%,-0.3%,12
27,水箭龟,54.42,-0.26,47.84%,-0.07%,29
28,妙蛙花,54.16,-0.64,47.12%,-0.36%,16
29,烈咬陆鲨,54.11,3.56,48.69%,0.94%,38
30,太阳伊布,53.42,-1.07,47.55%,-0.4%,28
31,路卡利欧,53.07,-0.95,46.49%,-0.42%,15
32,阿勃梭鲁,52.88,1.5,46.58%,0.5%,20
33,捷拉奥拉,51.95,0.38,46.77%,-0.04%,26
34,狙射树枭,51.73,-0.04,46.13%,0.04%,18
35,胖可丁,51.67,0.12,47.96%,0.14%,37
36,岩殿居蟹,51.47,0.93,47.3%,0.27%,33
37,玛力露丽,46.02,9.6,46.89%,1.19%,39
38,爆肌蚊,44.67,-2.62,45.21%,-0.52%,32
39,烈箭鹰,42.77,-3.43,44.46%,-1.19%,31
