排名,名称,排位指数,指数变化,单边获胜率,胜率变化,热度排名,选出率
1,妖火红狐,67.1,0.03,52.79%,0.01%,5,17.32%
2,呆壳兽,66.93,1.64,52.06%,0.44%,1,27.75%
3,梦幻,66.31,1.19,52.43%,0.51%,10,14.39%
4,怪力,65.35,-0.2,52.55%,-0.23%,16,11.96%
5,嘟嘟利,65.12,-0.74,52.45%,-0.32%,17,11.84%
6,班基拉斯,64.63,0.59,52.36%,0.24%,22,10.29%
7,勾魂眼,64.38,0.55,52.28%,0.22%,27,9.36%
8,白蓬蓬,64.08,-1.11,52.23%,-0.41%,28,8.85%
9,沙奈朵,64.03,-0.64,51.5%,-0.21%,2,19.03%
10,藏饱栗鼠,63.78,0.72,52.53%,0.4%,46,3.92%
11,皮可西,63.23,0.66,51.18%,0.33%,4,17.63%
12,武道熊师,63.08,-0.4,51.23%,-0.04%,3,18.01%
13,古月鸟,63.04,1.29,51.83%,0.75%,36,6.19%
14,铝钢龙,62.17,1.32,51.48%,0.91%,47,3.83%
15,魔墙人偶,61.66,-1.14,51.08%,-0.69%,40,5.23%
16,冰伊布,61.61,0.57,50.75%,0.29%,15,12.72%
17,卡比兽,61.45,0.76,50.7%,0.37%,20,10.94%
18,幸福蛋,61.21,-0.7,50.62%,-0.28%,26,9.55%
19,水箭龟,60.67,-0.09,50.3%,-0.05%,12,13.98%
20,烈咬陆鲨,60.14,-2.02,50.09%,-1.31%,41,5.08%
21,胡帕,60.0,-1.27,50.0%,-0.66%,37,6.11%
22,仙子伊布,59.67,1.05,49.85%,0.45%,21,10.89%
23,妙蛙花,59.67,-0.2,49.82%,-0.11%,6,16.71%
24,坚盾剑怪,59.28,0.64,49.66%,0.33%,18,11.41%
25,象牙猪,58.98,0.48,49.47%,0.28%,9,14.81%
26,闪焰王牌,58.64,0.86,49.37%,0.37%,24,10.09%
27,胖可丁,58.22,1.01,49.54%,0.35%,45,4.2%
28,玛力露丽,58.09,1.46,49.19%,0.63%,25,9.88%
29,甲贺忍蛙,57.9,-0.8,48.78%,-0.47%,7,16.46%
30,皮卡丘,57.65,0.23,48.8%,0.13%,11,14.01%
31,喷火龙,57.54,-2.01,49.18%,-0.67%,42,4.89%
32,多龙巴鲁托,57.16,-0.55,48.87%,-0.17%,30,8.38%
33,耿鬼,56.89,-0.74,48.62%,-0.34%,33,7.39%
34,路卡利欧,56.62,-1.28,48.5%,-0.55%,23,10.23%
35,太阳伊布,56.49,-1.19,48.34%,-0.58%,19,11.19%
36,烈箭鹰,56.39,2.26,48.42%,0.54%,29,8.43%
37,阿罗拉九尾,55.77,1.49,48.53%,0.53%,35,6.69%
38,甜冷美后,55.58,-1.74,48.58%,-0.49%,38,6.09%
39,狙射树枭,55.16,-0.53,47.56%,-0.27%,13,13.34%
40,阿勃梭鲁,54.69,-1.24,47.82%,-0.47%,31,8.36%
41,花疗环环,54.62,22.11,46.88%,6.56%,8,16.27%
42,巨钳螳螂,54.61,-0.12,47.36%,0.07%,14,13.08%
43,捷拉奥拉,53.8,-0.34,47.81%,-0.16%,34,6.77%
44,朽木妖,53.01,-3.09,47.91%,-0.93%,39,5.45%
45,爆肌蚊,51.63,-0.94,46.85%,-0.4%,32,8.2%
46,岩殿居蟹,50.85,-3.11,47.43%,-0.82%,44,4.52%
47,索罗亚克,48.26,-2.95,46.67%,-0.85%,43,4.72%
48,快龙,46.05,-5.12,47.05%,-0.97%,48,2.78%
