排名,名称,使用人数,使用率,使用率变化,胜场数,胜率
1,武道熊师,59,10.27%,-1.7%,278,70.92%
2,红莲铠骑,55,8.99%,0.16%,255,74.34%
3,火焰鸡,61,8.38%,-2.03%,207,64.69%
4,苍炎刃鬼,63,8.02%,-2.26%,207,67.65%
5,喷火龙,55,5.13%,-0.92%,149,76.02%
6,象牙猪,33,5.11%,0.79%,139,71.28%
6,月亮伊布,45,5.11%,0.55%,137,70.26%
8,暴鲤龙,49,4.9%,0.76%,136,72.73%
9,甜冷美后,40,4.72%,0.09%,123,68.33%
10,密勒顿,43,4.64%,1.4%,123,69.49%
11,甲贺忍蛙,52,4.58%,-1.25%,129,73.71%
12,苍响,46,4.19%,-1.09%,117,73.12%
13,朽木妖,44,4.01%,0.51%,113,73.86%
14,叶伊布,35,3.9%,-0.61%,100,67.11%
15,幸福蛋,32,3.8%,1.03%,118,81.38%
16,白蓬蓬,34,3.64%,0.3%,91,65.47%
17,巨钳螳螂,31,3.2%,0.95%,85,69.67%
18,嘟嘟利,39,3.17%,0.33%,93,76.86%
19,皮卡丘,33,3.12%,0.26%,82,68.91%
20,谜拟丘,42,3.04%,0.77%,69,59.48%
21,路卡利欧,36,2.54%,-0.08%,78,80.41%
22,妙蛙花,23,2.41%,1.07%,57,61.96%
23,索罗亚克,33,2.31%,0.41%,56,63.64%
24,胡帕,27,2.15%,0.23%,55,67.07%
25,阿勃梭鲁,19,2.1%,0.58%,55,68.75%
25,魔幻假面喵,10,2.1%,1.57%,59,73.75%
27,凤王,27,1.7%,0.58%,46,70.77%
28,呆壳兽,21,1.65%,0.29%,45,71.43%
29,烈咬陆鲨,29,1.55%,-0.06%,40,67.8%
30,岩殿居蟹,21,1.52%,0.29%,43,74.14%
31,千面避役,25,1.47%,-0.76%,38,67.86%
32,水箭龟,23,1.36%,0.83%,32,61.54%
33,勾魂眼,11,1.28%,0.03%,35,71.43%
34,梦幻,27,1.21%,-1.24%,33,71.74%
35,耿鬼,18,1.15%,-0.12%,31,70.45%
35,卡比兽,17,1.15%,0.84%,34,77.27%
37,巨金怪,18,1.13%,0.36%,29,67.44%
38,沙奈朵,16,1.1%,-0.7%,25,59.52%
39,快龙,22,0.97%,-0.7%,28,75.68%
40,烈箭鹰,13,0.94%,0.24%,29,80.56%
41,妖火红狐,24,0.92%,0.19%,28,80.0%
42,爆肌蚊,19,0.89%,-0.19%,30,88.24%
43,超梦Y,14,0.86%,-0.3%,23,69.7%
44,古月鸟,14,0.84%,-0.04%,23,71.88%
45,皮可西,12,0.76%,0.06%,20,68.97%
46,捷拉奥拉,19,0.71%,-0.11%,17,62.96%
47,闪焰王牌,18,0.68%,-0.18%,21,80.77%
47,怪力,14,0.68%,-0.22%,18,69.23%
49,魔墙人偶,15,0.6%,-0.06%,18,78.26%
49,太阳伊布,11,0.6%,-0.08%,13,56.52%
51,花疗环环,12,0.55%,-0.15%,14,66.67%
52,水晶灯火灵,10,0.52%,-0.05%,18,90.0%
52,多龙巴鲁托,7,0.52%,0.15%,13,65.0%
54,坚盾剑怪,14,0.5%,0.1%,10,52.63%
54,仙子伊布,10,0.5%,0.26%,11,57.89%
56,胖可丁,10,0.47%,-0.28%,16,88.89%
57,狙射树枭,12,0.45%,-0.26%,12,70.59%
58,玛力露丽,8,0.34%,0.14%,8,61.54%
59,超梦X,5,0.26%,0.09%,8,80.0%
59,冰伊布,8,0.26%,-0.07%,7,70.0%
61,黏美龙,6,0.16%,0.03%,4,66.67%
62,班基拉斯,2,0.13%,-0.02%,2,40.0%
63,拉普拉斯,4,0.1%,-0.14%,3,75.0%
64,阿罗拉九尾,3,0.08%,-0.03%,2,66.67%
65,藏饱栗鼠,2,0.05%,-0.01%,1,50.0%
65,铝钢龙,2,0.05%,-0.04%,1,50.0%
65,列阵兵,2,0.05%,-0.01%,2,100.0%
