排名,名称,使用人数,使用率,使用率变化,胜场数,胜率
1,梦幻,82,33.04%,-5.15%,1844,74.84%
2,魔墙人偶,89,30.51%,2.7%,1701,74.77%
3,嘟嘟利,50,17.57%,0.77%,970,74.05%
4,坚盾剑怪,70,12.03%,-1.18%,668,74.47%
5,甜冷美后,61,11.56%,4.25%,634,73.55%
6,冰伊布,22,5.62%,-0.63%,315,75.18%
7,路卡利欧,48,5.42%,1.1%,287,71.04%
8,玛力露丽,58,5.38%,-1.9%,300,74.81%
9,阿勃梭鲁,39,5.36%,-0.54%,279,69.75%
10,耿鬼,22,4.92%,1.71%,271,73.84%
11,索罗亚克,19,4.68%,0.0%,219,62.75%
12,妙蛙花,53,4.08%,4.0%,202,66.45%
13,甲贺忍蛙,44,3.34%,-2.19%,181,72.69%
14,卡比兽,26,3.31%,1.15%,177,71.66%
15,幸福蛋,27,3.07%,0.49%,157,68.56%
16,妖火红狐,34,2.67%,0.74%,142,71.36%
17,喷火龙,34,2.49%,0.93%,140,75.27%
18,象牙猪,26,2.21%,-1.29%,117,70.91%
19,巨钳螳螂,30,2.16%,-1.83%,104,64.6%
20,怪力,25,1.84%,1.09%,100,72.99%
21,白蓬蓬,23,1.38%,1.32%,68,66.02%
22,藏饱栗鼠,5,1.22%,0.31%,69,75.82%
23,烈咬陆鲨,16,1.18%,1.07%,63,71.59%
24,皮可西,17,1.1%,-3.37%,52,63.41%
25,胖可丁,10,1.09%,0.81%,65,80.25%
26,班基拉斯,20,1.06%,-2.08%,53,67.09%
27,呆壳兽,14,1.01%,0.88%,57,76.0%
28,快龙,15,0.95%,-0.17%,56,78.87%
29,胡帕,9,0.82%,0.56%,37,60.66%
29,闪焰王牌,19,0.82%,0.02%,43,70.49%
31,朽木妖,11,0.7%,0.32%,33,63.46%
31,爆肌蚊,11,0.7%,-0.07%,42,80.77%
33,皮卡丘,14,0.62%,0.34%,30,65.22%
34,铝钢龙,12,0.55%,0.38%,31,75.61%
35,狙射树枭,23,0.51%,-0.46%,24,63.16%
36,捷拉奥拉,12,0.5%,0.25%,24,64.86%
37,烈箭鹰,9,0.47%,-0.05%,25,71.43%
38,沙奈朵,8,0.46%,0.15%,28,82.35%
39,古月鸟,10,0.27%,-0.08%,14,70.0%
40,阿罗拉九尾,10,0.23%,0.15%,12,70.59%
40,水箭龟,9,0.23%,0.05%,9,52.94%
42,仙子伊布,6,0.17%,-0.06%,11,84.62%
43,岩殿居蟹,5,0.13%,0.11%,7,70.0%
44,太阳伊布,4,0.07%,-0.15%,2,40.0%
