排名,名称,使用人数,使用率,使用率变化,胜场数,胜率
1,千面避役,69,10.72%,5.35%,366,71.76%
2,暴鲤龙,66,8.7%,4.31%,292,70.53%
3,苍响,64,8.05%,2.51%,292,76.24%
4,叶伊布,63,7.84%,1.54%,270,72.39%
5,月亮伊布,66,6.39%,1.87%,223,73.36%
6,阿罗拉雷丘,61,5.84%,-5.13%,210,75.54%
7,爆肌蚊,66,5.72%,0.94%,174,63.97%
8,超梦Y,63,5.32%,1.31%,176,69.57%
9,阿勃梭鲁,48,4.9%,-0.96%,160,68.67%
10,嘟嘟利,44,4.6%,2.13%,166,75.8%
11,索罗亚克,63,4.56%,1.47%,158,72.81%
12,水君,46,4.54%,-1.46%,169,78.24%
13,巨金怪,52,4.45%,2.19%,145,68.4%
14,甜冷美后,55,4.41%,0.54%,148,70.48%
15,卡比兽,44,4.39%,1.76%,142,67.94%
16,可达鸭,42,4.22%,1.3%,147,73.13%
17,胡帕,31,4.14%,2.01%,144,73.1%
18,耿鬼,28,4.1%,2.09%,150,76.92%
19,幸福蛋,41,3.99%,-0.21%,136,71.58%
20,武道熊师,41,3.89%,1.97%,143,77.3%
21,魔幻假面喵,30,3.34%,-2.01%,117,73.58%
22,巨钳螳螂,42,3.32%,0.67%,112,70.89%
23,烈箭鹰,43,3.28%,-2.65%,111,71.15%
24,甲贺忍蛙,50,3.24%,-0.33%,107,69.48%
25,象牙猪,39,2.54%,0.53%,86,71.07%
26,火焰鸡,45,2.48%,-0.3%,85,72.03%
27,路卡利欧,36,2.42%,0.73%,87,75.65%
28,谜拟丘,38,2.19%,0.66%,66,63.46%
29,伽勒尔烈焰马,22,2.1%,0.06%,74,74.0%
30,冰伊布,34,1.89%,0.75%,62,68.89%
31,捷拉奥拉,37,1.87%,-4.09%,59,66.29%
32,妙蛙花,25,1.79%,-0.52%,61,71.76%
33,魔墙人偶,24,1.7%,1.04%,59,72.84%
34,苍炎刃鬼,25,1.66%,0.46%,52,65.82%
34,梦幻,31,1.66%,0.2%,58,73.42%
36,坚盾剑怪,34,1.62%,-1.09%,55,71.43%
37,岩殿居蟹,28,1.47%,1.09%,49,70.0%
38,皮可西,26,1.45%,0.5%,52,75.36%
39,达克莱伊,35,1.43%,-0.08%,44,64.71%
40,怪力,31,1.37%,0.09%,44,67.69%
41,白蓬蓬,21,1.28%,0.2%,49,80.33%
42,狙射树枭,34,1.26%,0.42%,45,75.0%
43,朽木妖,24,1.24%,-0.67%,49,83.05%
44,花疗环环,20,1.22%,-0.36%,41,70.69%
45,密勒顿,33,1.13%,0.22%,35,64.81%
45,列阵兵,17,1.13%,0.72%,46,85.19%
47,凤王,16,1.05%,0.49%,33,66.0%
48,快龙,17,1.03%,-0.58%,38,77.55%
48,呆壳兽,25,1.03%,0.23%,28,57.14%
48,水箭龟,24,1.03%,-0.17%,37,75.51%
51,闪焰王牌,15,0.9%,-0.74%,29,67.44%
52,太阳伊布,24,0.82%,0.2%,26,66.67%
53,勾魂眼,8,0.8%,0.24%,29,76.32%
54,烈咬陆鲨,23,0.78%,-0.32%,29,78.38%
55,玛力露丽,5,0.67%,0.32%,21,65.62%
56,红莲铠骑,20,0.65%,0.28%,24,77.42%
57,皮卡丘,20,0.63%,-0.12%,21,70.0%
58,拉普拉斯,14,0.61%,-0.31%,25,86.21%
59,沙奈朵,14,0.57%,0.24%,23,85.19%
60,巨锻匠,12,0.5%,0.3%,18,75.0%
60,喷火龙,11,0.5%,-0.18%,18,75.0%
62,妖火红狐,12,0.36%,-0.1%,11,64.71%
63,藏饱栗鼠,7,0.34%,0.26%,15,93.75%
64,仙子伊布,11,0.32%,0.0%,11,73.33%
64,多龙巴鲁托,6,0.32%,-0.14%,12,80.0%
64,超梦X,9,0.32%,0.26%,11,73.33%
67,古月鸟,11,0.29%,0.18%,6,42.86%
68,班基拉斯,8,0.27%,-0.17%,11,84.62%
69,胖可丁,8,0.25%,0.1%,9,75.0%
70,阿罗拉九尾,7,0.23%,-0.03%,8,72.73%
71,水晶灯火灵,5,0.15%,-0.07%,7,100.0%
72,铝钢龙,6,0.13%,0.08%,4,66.67%
73,黏美龙,3,0.06%,-0.04%,3,100.0%
