排名,名称,排位指数,指数变化,单边获胜率,胜率变化,热度排名,选出率
1,妖火红狐,67.07,0.51,52.78%,0.14%,5,17.94%
2,嘟嘟利,65.86,2.73,52.77%,1.31%,15,11.76%
3,怪力,65.55,1.43,52.78%,0.64%,20,10.98%
4,呆壳兽,65.29,-0.46,51.62%,-0.42%,1,26.73%
5,白蓬蓬,65.19,-0.2,52.64%,0.02%,22,10.32%
6,梦幻,65.12,0.45,51.92%,0.08%,9,14.86%
7,沙奈朵,64.67,-1.07,51.71%,-0.4%,4,19.23%
8,班基拉斯,64.03,-1.0,52.12%,-0.41%,26,9.41%
9,勾魂眼,63.83,1.62,52.06%,0.91%,28,8.9%
10,武道熊师,63.49,0.43,51.27%,0.31%,2,20.54%
11,藏饱栗鼠,63.07,0.21,52.13%,0.22%,47,3.64%
12,魔墙人偶,62.8,-0.12,51.77%,0.13%,39,5.69%
13,皮可西,62.57,-0.18,50.85%,-0.06%,3,20.5%
14,烈咬陆鲨,62.16,-0.36,51.4%,-0.26%,43,4.68%
15,幸福蛋,61.91,-0.28,50.9%,-0.1%,18,11.12%
16,古月鸟,61.75,-1.84,51.08%,-1.07%,38,5.95%
17,胡帕,61.27,3.71,50.66%,1.93%,30,8.14%
18,冰伊布,61.04,0.22,50.46%,0.03%,12,14.19%
19,铝钢龙,60.85,-3.79,50.57%,-2.48%,46,4.32%
20,水箭龟,60.77,0.43,50.35%,0.19%,14,13.04%
21,卡比兽,60.68,0.83,50.33%,0.4%,19,11.11%
22,妙蛙花,59.87,0.31,49.93%,0.17%,8,16.29%
23,喷火龙,59.55,-0.11,49.85%,-0.03%,41,5.04%
24,甲贺忍蛙,58.7,-0.11,49.25%,-0.06%,6,16.38%
25,坚盾剑怪,58.64,-0.13,49.33%,-0.14%,17,11.29%
26,仙子伊布,58.62,-0.32,49.4%,-0.13%,24,9.91%
27,象牙猪,58.5,-1.74,49.19%,-0.91%,7,16.37%
28,路卡利欧,57.9,0.68,49.05%,0.33%,21,10.63%
29,闪焰王牌,57.78,0.44,49.0%,0.22%,23,10.02%
30,多龙巴鲁托,57.71,-0.51,49.04%,-0.15%,27,9.15%
31,太阳伊布,57.69,0.55,48.92%,0.22%,16,11.41%
32,耿鬼,57.62,-0.44,48.96%,-0.2%,32,7.26%
33,皮卡丘,57.42,0.07,48.67%,0.06%,10,14.74%
34,甜冷美后,57.33,-1.17,49.07%,-0.41%,36,6.17%
35,胖可丁,57.2,1.29,49.19%,0.25%,45,4.41%
36,玛力露丽,56.63,-0.78,48.56%,-0.3%,25,9.8%
37,朽木妖,56.1,0.73,48.84%,0.04%,40,5.18%
38,阿勃梭鲁,55.93,1.11,48.29%,0.4%,29,8.31%
39,狙射树枭,55.69,-0.54,47.83%,-0.3%,13,13.27%
40,巨钳螳螂,54.73,-1.85,47.29%,-0.75%,11,14.28%
41,阿罗拉九尾,54.29,-2.31,48.0%,-0.68%,33,7.25%
42,捷拉奥拉,54.14,-2.76,47.97%,-0.98%,37,6.0%
43,烈箭鹰,54.13,3.0,47.88%,0.57%,34,6.73%
44,岩殿居蟹,53.95,-0.89,48.25%,-0.31%,42,4.72%
45,爆肌蚊,52.57,-1.73,47.25%,-0.59%,31,8.12%
46,索罗亚克,51.21,5.12,47.52%,1.04%,44,4.59%
47,快龙,51.17,3.29,48.02%,0.23%,48,2.69%
48,花疗环环,32.52,-6.5,40.32%,0.88%,35,6.26%
