排名,名称,排位指数,指数变化,单边获胜率,胜率变化,热度排名,选出率
1,武道熊师,70.15,2.8,54.65%,1.35%,20,11.44%
2,魔墙人偶,69.66,1.73,54.1%,0.57%,11,14.11%
3,白蓬蓬,65.7,0.66,52.39%,0.31%,10,15.02%
4,铝钢龙,64.8,0.82,53.02%,0.72%,39,5.3%
5,勾魂眼,64.53,-0.6,51.81%,-0.4%,7,16.29%
6,古月鸟,64.1,1.67,52.43%,0.93%,36,6.28%
7,怪力,64.06,0.01,52.13%,-0.02%,26,9.71%
8,梦幻,63.67,1.43,51.67%,0.62%,25,9.75%
9,班基拉斯,63.42,0.2,51.97%,0.16%,33,7.06%
10,沙奈朵,62.82,-0.83,51.01%,-0.19%,4,19.98%
11,藏饱栗鼠,62.38,0.23,51.64%,0.17%,45,3.19%
12,呆壳兽,62.26,0.69,50.94%,0.26%,6,16.68%
13,幸福蛋,62.19,0.38,50.86%,0.13%,12,14.01%
14,妖火红狐,62.13,-1.45,51.0%,-0.59%,16,13.12%
15,巨钳螳螂,61.87,0.67,50.6%,0.2%,1,25.49%
16,烈咬陆鲨,61.74,1.66,51.15%,1.1%,42,4.21%
17,仙子伊布,60.93,0.24,50.5%,0.14%,27,9.17%
18,嘟嘟利,60.26,-2.41,50.12%,-1.21%,24,9.95%
19,水箭龟,60.23,0.79,50.11%,0.38%,22,11.19%
20,卡比兽,60.04,0.12,50.02%,0.06%,19,11.95%
21,甲贺忍蛙,59.75,-0.66,49.84%,-0.3%,2,21.85%
22,耿鬼,59.69,0.85,49.86%,0.41%,28,8.41%
23,象牙猪,59.54,-1.81,49.73%,-0.77%,3,20.6%
24,妙蛙花,59.45,-1.09,49.71%,-0.51%,9,15.6%
25,冰伊布,59.34,1.17,49.74%,0.48%,29,8.03%
26,闪焰王牌,58.81,1.12,49.32%,0.65%,5,17.74%
27,玛力露丽,58.38,-0.7,49.2%,-0.32%,15,13.13%
28,喷火龙,58.21,1.07,49.29%,0.4%,35,6.81%
29,皮卡丘,57.75,0.51,48.79%,0.26%,8,16.12%
30,坚盾剑怪,57.75,0.23,49.14%,0.09%,30,7.83%
31,路卡利欧,57.74,0.77,48.87%,0.31%,18,12.76%
32,阿罗拉九尾,57.35,-1.83,48.77%,-0.83%,21,11.21%
33,甜冷美后,57.21,-0.36,48.94%,-0.09%,32,7.15%
34,太阳伊布,56.56,0.13,48.46%,0.1%,23,10.46%
35,狙射树枭,56.25,-0.63,48.06%,-0.27%,13,13.58%
36,爆肌蚊,55.08,-0.19,47.53%,0.22%,14,13.4%
37,多龙巴鲁托,54.73,0.0,46.63%,0.0%,17,13.0%
38,胖可丁,54.62,-0.49,48.42%,-0.04%,40,5.19%
39,捷拉奥拉,54.04,0.25,47.81%,0.18%,34,6.96%
40,烈箭鹰,53.99,0.49,47.96%,0.21%,37,6.04%
41,阿勃梭鲁,53.61,-0.49,47.42%,-0.15%,31,7.73%
42,岩殿居蟹,51.52,-2.08,47.51%,-0.45%,41,4.93%
43,索罗亚克,48.8,1.19,46.03%,-0.66%,38,5.32%
44,皮可西,47.89,3.29,46.84%,0.01%,44,3.22%
45,朽木妖,46.69,1.77,47.21%,0.8%,43,3.28%
46,快龙,45.95,-0.01,47.03%,0.1%,46,2.76%
47,胡帕,45.93,1.34,47.61%,0.42%,47,2.57%
