排名,名称,排位指数,指数变化,单边获胜率,胜率变化,热度排名,选出率
1,花疗环环,104.28,-21.51,59.07%,-2.02%,3,34.65%
2,苍响,102.72,-34.57,58.31%,-2.47%,2,37.91%
3,勾魂眼,71.08,-5.02,54.19%,-1.2%,12,12.61%
4,呆壳兽,70.66,3.73,53.31%,0.91%,4,24.98%
5,嘟嘟利,67.91,3.25,54.11%,1.6%,16,9.88%
6,梦幻,66.67,-2.46,53.55%,-0.66%,24,8.06%
7,朽木妖,64.0,-8.19,51.35%,-1.84%,5,22.62%
8,太阳伊布,63.64,1.75,50.84%,0.4%,1,38.87%
9,古月鸟,63.54,1.26,52.15%,0.71%,33,5.94%
10,妖火红狐,63.29,2.92,51.77%,1.57%,19,8.92%
11,水箭龟,62.54,3.15,51.08%,1.39%,7,15.71%
12,冰伊布,62.09,-2.34,51.09%,-0.92%,17,9.67%
13,皮可西,61.96,6.66,51.11%,2.8%,26,6.96%
14,武道熊师,61.72,3.82,50.78%,1.79%,11,13.23%
15,魔墙人偶,60.97,9.54,50.69%,2.47%,44,3.41%
16,胡帕,60.96,4.76,50.6%,1.65%,37,4.81%
17,怪力,60.89,1.9,50.49%,0.9%,22,8.53%
18,幸福蛋,60.21,4.92,50.13%,1.36%,34,5.11%
19,藏饱栗鼠,60.17,0.88,50.12%,0.23%,47,2.59%
20,胖可丁,59.69,10.85,49.92%,2.78%,41,4.09%
21,多龙巴鲁托,59.52,3.08,49.84%,1.0%,31,6.25%
22,白蓬蓬,59.23,-0.7,49.68%,-0.29%,23,8.31%
23,索罗亚克,58.69,14.54,49.24%,3.25%,6,17.77%
24,喷火龙,56.39,13.44,48.01%,2.82%,8,15.69%
25,烈咬陆鲨,55.79,10.9,49.02%,1.65%,45,2.99%
26,沙奈朵,55.46,-1.58,47.81%,-0.71%,15,11.8%
27,卡比兽,55.18,5.73,48.57%,1.1%,35,5.06%
28,仙子伊布,54.69,0.96,47.89%,0.34%,21,8.56%
29,铝钢龙,52.84,-1.58,48.71%,-0.32%,49,2.35%
30,皮卡丘,52.39,-0.15,46.42%,-0.14%,13,12.07%
31,狙射树枭,52.34,-0.68,46.06%,-0.37%,10,13.62%
32,象牙猪,52.33,4.43,47.36%,1.28%,27,6.88%
33,路卡利欧,52.26,0.57,47.31%,0.13%,25,6.97%
34,甲贺忍蛙,51.92,0.13,45.56%,0.05%,9,14.3%
35,妙蛙花,51.03,0.85,45.88%,0.33%,14,11.91%
36,闪焰王牌,49.47,1.53,45.72%,0.62%,20,8.68%
37,黏美龙,49.04,0.07,45.37%,0.53%,18,9.0%
38,耿鬼,48.36,3.18,45.63%,1.52%,30,6.26%
39,烈箭鹰,47.83,1.16,45.7%,0.35%,28,6.59%
40,阿勃梭鲁,46.89,3.82,45.47%,1.32%,29,6.37%
41,班基拉斯,43.11,0.8,46.62%,0.49%,46,2.77%
42,爆肌蚊,42.79,9.75,45.59%,1.19%,40,4.37%
43,巨钳螳螂,42.38,0.44,44.1%,0.04%,32,6.14%
44,岩殿居蟹,41.98,10.91,45.74%,1.53%,43,3.75%
45,捷拉奥拉,41.5,2.11,44.78%,0.38%,39,4.46%
46,坚盾剑怪,40.99,2.26,45.22%,0.67%,36,4.82%
47,玛力露丽,40.18,2.99,45.05%,0.71%,38,4.49%
48,阿罗拉九尾,37.53,0.15,44.5%,-0.39%,42,3.84%
49,甜冷美后,32.65,4.26,45.24%,0.06%,48,2.54%
50,快龙,26.16,-8.66,44.69%,-0.37%,50,2.14%
