排名,名称,使用人数,使用率,使用率变化,胜场数,胜率
1,月亮伊布,96,18.44%,6.63%,1465,75.01%
2,叶伊布,73,14.51%,4.61%,1110,72.22%
3,索罗亚克,83,12.13%,1.27%,952,74.09%
4,水晶灯火灵,85,10.5%,6.07%,833,74.91%
5,冰伊布,78,8.21%,-3.45%,654,75.17%
6,苍响,47,6.7%,-10.52%,515,72.54%
7,拉普拉斯,83,5.91%,-3.46%,481,76.84%
8,梦幻,60,5.16%,1.11%,398,72.76%
9,武道熊师,64,4.65%,1.65%,358,72.76%
10,皮可西,61,4.42%,-0.14%,353,75.43%
11,嘟嘟利,55,4.22%,-1.65%,314,70.25%
12,快龙,49,3.79%,3.64%,286,71.32%
13,阿罗拉九尾,62,3.02%,1.14%,240,75.0%
14,妖火红狐,60,2.98%,-1.14%,221,69.94%
15,妙蛙花,47,2.85%,1.79%,210,69.54%
16,呆壳兽,45,2.53%,-2.07%,187,69.78%
17,太阳伊布,35,2.47%,0.93%,188,71.76%
18,水箭龟,46,2.38%,0.96%,189,75.0%
19,勾魂眼,21,2.33%,1.51%,185,74.9%
20,白蓬蓬,47,2.07%,-0.54%,168,76.71%
21,爆肌蚊,41,1.92%,0.45%,135,66.5%
22,玛力露丽,42,1.78%,1.35%,139,73.54%
23,怪力,42,1.69%,-0.23%,129,72.07%
23,闪焰王牌,31,1.69%,0.97%,121,67.6%
25,花疗环环,30,1.45%,-2.73%,98,63.64%
26,沙奈朵,40,1.44%,0.08%,113,74.34%
27,狙射树枭,51,1.39%,-0.3%,100,68.03%
28,卡比兽,23,1.36%,0.25%,101,70.14%
29,幸福蛋,39,1.34%,-0.12%,103,72.54%
30,甲贺忍蛙,28,1.29%,-1.41%,87,63.5%
31,胡帕,32,1.25%,-2.1%,101,76.52%
32,坚盾剑怪,47,1.23%,0.83%,83,63.85%
33,路卡利欧,28,1.04%,0.28%,68,61.82%
34,仙子伊布,28,0.9%,-0.05%,62,65.26%
35,烈箭鹰,31,0.87%,-1.18%,67,72.83%
36,巨钳螳螂,35,0.76%,-1.1%,59,73.75%
37,皮卡丘,23,0.65%,-0.06%,59,85.51%
38,耿鬼,14,0.63%,0.41%,46,68.66%
39,古月鸟,26,0.6%,-0.01%,41,64.06%
40,朽木妖,26,0.51%,-0.65%,42,77.78%
41,魔墙人偶,24,0.48%,-0.87%,39,76.47%
42,烈咬陆鲨,13,0.42%,0.02%,37,82.22%
43,多龙巴鲁托,18,0.4%,-0.23%,30,71.43%
44,捷拉奥拉,13,0.38%,-0.12%,30,75.0%
44,甜冷美后,16,0.38%,0.12%,28,70.0%
46,阿勃梭鲁,19,0.37%,-0.08%,28,71.79%
47,象牙猪,15,0.36%,0.04%,27,71.05%
48,藏饱栗鼠,13,0.3%,-0.0%,23,71.88%
49,喷火龙,16,0.27%,-0.13%,17,58.62%
50,班基拉斯,5,0.25%,0.13%,20,74.07%
50,黏美龙,13,0.25%,0.08%,18,66.67%
52,胖可丁,12,0.25%,-0.12%,20,76.92%
53,岩殿居蟹,7,0.16%,-0.0%,11,64.71%
53,铝钢龙,7,0.16%,-0.02%,9,52.94%
