排名,名称,排位指数,指数变化,单边获胜率,胜率变化,热度排名,选出率
1,武道熊师,71.17,-2.31,54.58%,-0.48%,14,14.33%
2,魔墙人偶,68.11,-1.23,53.4%,-0.27%,10,15.18%
3,巨钳螳螂,66.28,-2.76,51.65%,-0.58%,1,31.63%
4,梦幻,66.0,-0.36,52.25%,-0.07%,12,14.72%
5,勾魂眼,65.54,-2.89,52.24%,-0.93%,7,16.24%
6,白蓬蓬,65.36,2.27,52.31%,1.0%,11,14.82%
7,怪力,63.93,2.44,52.04%,1.27%,24,10.48%
8,古月鸟,63.63,-0.14,52.09%,-0.12%,33,6.86%
9,藏饱栗鼠,63.45,0.55,52.36%,0.34%,45,3.51%
10,铝钢龙,63.3,-0.11,52.11%,-0.13%,40,4.73%
11,班基拉斯,63.23,-1.24,51.8%,-0.73%,30,7.88%
12,呆壳兽,62.96,2.03,51.06%,0.71%,2,22.13%
13,嘟嘟利,62.72,-2.35,51.23%,-0.98%,15,13.21%
14,妖火红狐,62.05,-0.93,50.91%,-0.42%,13,14.47%
15,烈咬陆鲨,61.32,0.91,50.9%,0.62%,44,4.08%
16,沙奈朵,61.14,1.56,50.43%,0.67%,5,17.84%
17,仙子伊布,59.98,2.3,49.99%,1.04%,21,11.04%
18,耿鬼,59.65,2.23,49.85%,0.91%,31,7.6%
19,水箭龟,59.35,-1.06,49.68%,-0.52%,19,11.6%
20,幸福蛋,59.16,1.39,49.52%,0.79%,8,15.43%
21,卡比兽,59.1,-0.47,49.55%,-0.22%,16,12.25%
22,冰伊布,59.06,1.07,49.62%,0.44%,28,8.42%
23,象牙猪,58.71,0.55,49.27%,0.32%,3,18.67%
24,妙蛙花,58.49,0.01,49.21%,0.0%,9,15.21%
25,甲贺忍蛙,57.98,1.09,48.8%,0.58%,4,17.87%
26,闪焰王牌,57.69,1.3,48.92%,0.62%,22,10.8%
27,坚盾剑怪,57.64,2.32,49.16%,0.9%,32,7.4%
28,皮卡丘,57.2,1.67,48.48%,0.88%,6,16.51%
29,路卡利欧,57.02,-0.22,48.56%,-0.17%,18,12.08%
30,多龙巴鲁托,56.93,0.9,48.64%,0.41%,25,10.29%
31,喷火龙,56.78,2.23,48.9%,0.56%,36,5.5%
32,玛力露丽,56.61,-0.27,48.45%,-0.11%,20,11.1%
33,甜冷美后,56.57,0.05,48.83%,0.06%,34,6.63%
34,太阳伊布,56.46,0.06,48.39%,0.04%,23,10.74%
35,胡帕,56.27,4.13,49.01%,0.52%,46,3.2%
36,狙射树枭,55.55,-0.44,47.83%,-0.26%,17,12.22%
37,朽木妖,55.54,2.2,48.93%,0.74%,43,4.38%
38,阿罗拉九尾,55.06,-0.6,48.05%,-0.19%,27,8.44%
39,捷拉奥拉,53.85,-0.79,47.91%,-0.22%,35,6.12%
40,阿勃梭鲁,53.82,0.28,47.56%,-0.1%,29,8.13%
41,岩殿居蟹,53.11,3.68,47.92%,0.84%,38,5.0%
42,烈箭鹰,52.81,0.11,47.81%,0.1%,37,5.34%
43,胖可丁,52.75,2.69,47.87%,0.45%,39,4.98%
44,爆肌蚊,50.79,-4.07,46.47%,-1.47%,26,8.59%
45,皮可西,48.85,-6.15,46.87%,-1.78%,42,4.5%
46,索罗亚克,45.44,-4.37,45.87%,-1.81%,41,4.71%
47,快龙,45.07,-0.57,47.07%,-0.49%,47,2.49%
