排名,名称,排位指数,指数变化,单边获胜率,胜率变化,热度排名,选出率
1,魔墙人偶,96.11,-36.55,56.6%,-2.6%,1,42.1%
2,梦幻,80.58,1.67,54.53%,0.86%,2,33.33%
3,甜冷美后,66.58,3.52,52.66%,1.33%,10,15.62%
4,喷火龙,66.28,-1.89,52.12%,-0.57%,4,22.45%
5,铝钢龙,64.99,2.18,53.09%,1.26%,35,5.41%
6,藏饱栗鼠,64.49,3.59,53.11%,2.47%,39,3.44%
7,坚盾剑怪,63.73,-0.44,51.27%,0.04%,5,20.82%
8,班基拉斯,63.47,1.58,51.86%,0.88%,24,9.03%
9,耿鬼,61.95,-0.31,50.7%,-0.08%,6,19.73%
10,冰伊布,61.69,-4.94,50.63%,-1.38%,9,18.47%
11,古月鸟,61.3,-1.98,50.73%,-0.84%,32,6.48%
12,象牙猪,60.44,1.51,50.23%,0.7%,21,10.38%
13,幸福蛋,60.31,0.18,50.13%,0.07%,16,11.97%
14,甲贺忍蛙,60.05,2.22,50.02%,1.25%,8,19.18%
15,快龙,60.03,9.05,50.02%,2.43%,37,4.92%
16,玛力露丽,59.5,19.91,49.67%,4.1%,3,24.18%
17,卡比兽,59.47,0.99,49.72%,0.55%,14,12.18%
18,怪力,59.19,1.34,49.66%,0.62%,25,8.75%
19,阿勃梭鲁,58.91,0.62,49.36%,0.4%,7,19.2%
20,闪焰王牌,58.79,2.25,49.41%,1.05%,17,11.64%
21,嘟嘟利,58.29,5.43,49.19%,2.84%,19,10.97%
22,仙子伊布,57.63,2.92,49.18%,0.9%,31,6.53%
23,妖火红狐,56.98,1.16,48.53%,0.45%,12,12.82%
24,路卡利欧,56.92,1.28,48.55%,0.59%,18,11.08%
25,皮卡丘,56.76,1.57,48.31%,0.81%,11,15.33%
26,狙射树枭,56.59,1.94,48.29%,0.89%,13,12.57%
27,朽木妖,55.97,2.97,48.45%,1.16%,30,6.79%
28,呆壳兽,55.93,6.87,48.15%,1.76%,20,10.59%
29,捷拉奥拉,55.77,1.32,48.35%,0.52%,28,7.74%
30,胖可丁,55.05,5.6,48.02%,0.95%,29,7.35%
31,爆肌蚊,55.02,24.09,47.45%,2.69%,15,12.11%
32,阿罗拉九尾,54.5,1.09,48.37%,0.42%,36,5.24%
33,太阳伊布,54.17,0.67,47.46%,0.28%,23,9.73%
34,水箭龟,54.11,-0.41,47.28%,-0.76%,22,10.26%
35,白蓬蓬,54.02,2.92,48.78%,0.42%,41,2.64%
36,岩殿居蟹,53.58,1.33,48.16%,0.7%,38,4.86%
37,烈咬陆鲨,53.31,-1.71,48.61%,-0.31%,40,2.66%
38,沙奈朵,53.16,0.73,47.66%,0.25%,34,5.82%
39,烈箭鹰,53.1,-2.98,47.31%,-0.91%,26,8.36%
40,妙蛙花,47.96,0.81,46.07%,0.42%,33,6.1%
41,巨钳螳螂,38.14,0.0,38.05%,0.0%,27,7.76%
42,胡帕,25.17,31.71,45.74%,2.72%,42,1.7%
