排名,名称,使用人数,使用率,使用率变化,胜场数,胜率
1,阿勃梭鲁,150,17.92%,14.83%,1398,74.76%
2,烈箭鹰,134,14.87%,13.87%,1149,74.03%
3,魔幻假面喵,92,13.08%,12.5%,1037,75.97%
4,耿鬼,91,10.21%,9.36%,803,75.4%
5,卡比兽,95,9.84%,7.75%,767,74.68%
6,苍响,66,4.4%,1.94%,342,74.51%
7,坚盾剑怪,99,3.93%,-3.66%,287,70.0%
8,月亮伊布,82,3.07%,-0.69%,236,73.75%
9,幸福蛋,67,2.74%,-0.96%,213,74.48%
10,千面避役,83,2.52%,-8.13%,189,71.86%
11,甲贺忍蛙,85,2.35%,-1.77%,187,76.33%
12,花疗环环,38,2.06%,1.64%,155,72.09%
13,甜冷美后,68,1.99%,-4.69%,136,65.38%
14,火焰鸡,62,1.98%,-2.64%,149,71.98%
15,胖可丁,27,1.96%,1.62%,168,81.95%
15,怪力,60,1.96%,-1.29%,157,76.59%
17,皮可西,39,1.85%,0.82%,161,83.42%
18,索罗亚克,69,1.83%,-2.72%,134,70.16%
19,苍炎刃鬼,63,1.78%,-2.53%,134,72.04%
20,胡帕,38,1.65%,-0.15%,121,70.35%
21,闪焰王牌,44,1.62%,0.88%,118,69.82%
22,路卡利欧,58,1.61%,-0.85%,120,71.43%
23,太阳伊布,53,1.5%,-0.48%,115,73.25%
24,可达鸭,48,1.49%,-0.81%,113,72.9%
24,叶伊布,54,1.49%,-2.93%,122,78.71%
26,朽木妖,47,1.44%,-0.86%,103,68.67%
27,超梦Y,51,1.19%,-3.44%,83,66.94%
28,爆肌蚊,50,1.16%,-2.41%,79,65.29%
28,水君,8,1.16%,0.0%,102,84.3%
28,捷拉奥拉,51,1.16%,-0.66%,83,68.6%
31,水箭龟,54,1.14%,-1.66%,81,68.07%
32,皮卡丘,46,1.08%,0.42%,79,69.91%
33,烈咬陆鲨,40,1.06%,-2.87%,79,71.17%
34,谜拟丘,64,1.05%,-3.89%,74,67.27%
35,白蓬蓬,43,1.03%,-1.22%,71,66.36%
36,武道熊师,50,0.88%,-4.46%,64,69.57%
36,沙奈朵,28,0.88%,-0.18%,64,69.57%
38,象牙猪,33,0.87%,-1.14%,57,62.64%
39,藏饱栗鼠,14,0.84%,0.76%,70,79.55%
40,勾魂眼,22,0.78%,-0.6%,55,67.9%
41,密勒顿,37,0.77%,-4.04%,60,75.0%
42,巨钳螳螂,35,0.76%,-2.81%,52,65.82%
43,冰伊布,51,0.75%,-1.16%,53,67.95%
44,黏美龙,13,0.67%,-0.12%,52,74.29%
45,快龙,27,0.66%,0.34%,50,72.46%
46,达克莱伊,40,0.62%,-2.34%,48,73.85%
47,巨金怪,27,0.61%,-2.53%,45,70.31%
48,岩殿居蟹,30,0.57%,-0.83%,44,73.33%
49,呆壳兽,35,0.54%,-0.76%,37,66.07%
49,狙射树枭,33,0.54%,-0.02%,31,55.36%
51,巨锻匠,24,0.5%,-1.99%,30,57.69%
52,梦幻,33,0.48%,-0.53%,35,70.0%
52,嘟嘟利,37,0.48%,-2.74%,36,72.0%
54,凤王,34,0.44%,-0.93%,31,67.39%
55,玛力露丽,20,0.43%,-0.07%,31,68.89%
56,超梦X,13,0.38%,-0.52%,26,65.0%
57,多龙巴鲁托,21,0.34%,0.24%,25,69.44%
58,魔墙人偶,24,0.32%,0.08%,26,78.79%
58,红莲铠骑,26,0.32%,-1.69%,21,63.64%
60,喷火龙,16,0.3%,-0.63%,27,87.1%
60,暴鲤龙,15,0.3%,-1.05%,26,83.87%
62,古月鸟,22,0.28%,-0.12%,19,65.52%
63,妙蛙花,18,0.25%,-0.78%,19,73.08%
64,拉普拉斯,13,0.24%,0.08%,20,80.0%
65,阿罗拉九尾,17,0.21%,-0.08%,17,77.27%
66,班基拉斯,14,0.19%,-0.34%,10,50.0%
66,仙子伊布,12,0.19%,0.01%,14,70.0%
68,妖火红狐,12,0.14%,-0.07%,11,73.33%
69,伽勒尔烈焰马,9,0.1%,-0.46%,5,50.0%
70,铝钢龙,4,0.09%,-0.02%,6,66.67%
70,水晶灯火灵,7,0.09%,-0.26%,3,33.33%
72,列阵兵,1,0.01%,-0.04%,1,100.0%
