排名,名称,使用人数,使用率,使用率变化,胜场数,胜率
1,千面避役,75,13.26%,-0.62%,476,68.89%
2,路卡利欧,62,10.06%,3.11%,346,66.03%
3,索罗亚克,56,8.21%,-1.38%,283,66.12%
4,岩殿居蟹,53,8.08%,1.82%,301,71.5%
5,冰伊布,69,7.37%,-1.44%,267,69.53%
6,皮可西,48,6.79%,-0.92%,236,66.67%
7,火焰鸡,44,6.72%,-0.37%,234,66.86%
8,水箭龟,62,6.55%,0.29%,242,70.97%
9,爆肌蚊,55,6.05%,1.76%,216,68.57%
10,叶伊布,63,5.64%,1.5%,207,70.41%
11,梦幻,51,5.57%,1.34%,205,70.69%
12,朽木妖,52,5.41%,1.43%,195,69.15%
13,白蓬蓬,39,4.63%,0.86%,161,66.8%
14,快龙,43,4.49%,-0.5%,180,76.92%
15,嘟嘟利,44,4.3%,0.28%,171,76.34%
16,多龙巴鲁托,22,4.15%,1.65%,167,77.31%
17,谜拟丘,49,3.95%,0.37%,137,66.5%
18,沙奈朵,42,3.8%,0.98%,138,69.7%
19,魔幻假面喵,33,3.42%,1.48%,122,68.54%
20,阿勃梭鲁,28,3.22%,0.31%,120,71.43%
21,胡帕,30,3.19%,0.13%,118,71.08%
22,太阳伊布,49,3.15%,0.15%,110,67.07%
23,月亮伊布,44,2.59%,-1.25%,83,61.48%
24,妙蛙花,45,2.55%,-0.17%,93,69.92%
25,仙子伊布,42,2.4%,0.16%,88,70.4%
26,水晶灯火灵,33,2.21%,0.81%,77,66.96%
27,幸福蛋,29,1.82%,-0.29%,67,70.53%
28,怪力,38,1.69%,0.65%,59,67.05%
29,巨钳螳螂,28,1.59%,-0.23%,48,57.83%
29,魔墙人偶,20,1.59%,0.09%,58,69.88%
31,武道熊师,32,1.54%,-1.75%,55,68.75%
32,巨金怪,25,1.46%,-0.08%,49,64.47%
32,象牙猪,22,1.46%,-0.06%,60,78.95%
34,甜冷美后,27,1.34%,0.19%,50,71.43%
35,狙射树枭,37,1.31%,-0.17%,48,70.59%
36,烈咬陆鲨,27,1.27%,-1.23%,43,65.15%
37,勾魂眼,20,1.21%,0.18%,42,66.67%
38,妖火红狐,26,1.15%,0.38%,39,65.0%
39,呆壳兽,24,1.13%,-0.72%,38,64.41%
40,古月鸟,24,1.06%,0.26%,37,67.27%
41,卡比兽,24,1.02%,-0.92%,34,64.15%
42,胖可丁,17,1.0%,0.41%,34,65.38%
43,闪焰王牌,19,0.98%,0.56%,39,76.47%
44,捷拉奥拉,13,0.92%,-0.25%,32,66.67%
45,坚盾剑怪,18,0.88%,-0.16%,29,63.04%
46,花疗环环,21,0.81%,-0.84%,28,66.67%
46,烈箭鹰,21,0.81%,-0.15%,25,59.52%
48,皮卡丘,24,0.63%,-0.66%,19,57.58%
49,黏美龙,17,0.61%,-0.06%,22,68.75%
50,甲贺忍蛙,15,0.58%,-0.98%,21,70.0%
51,玛力露丽,11,0.56%,0.12%,18,62.07%
52,阿罗拉九尾,16,0.48%,-0.96%,15,60.0%
53,班基拉斯,8,0.46%,0.28%,19,79.17%
54,拉普拉斯,13,0.35%,0.14%,12,66.67%
55,暴鲤龙,7,0.31%,-0.09%,13,81.25%
56,耿鬼,12,0.27%,-0.16%,9,64.29%
57,喷火龙,10,0.23%,-0.11%,7,58.33%
58,藏饱栗鼠,9,0.19%,-0.08%,6,60.0%
59,铝钢龙,2,0.1%,-0.1%,3,60.0%
