排名,名称,排位指数,指数变化,单边获胜率,胜率变化,热度排名,选出率
1,苍响,137.29,-0.2,60.78%,0.26%,1,55.13%
2,花疗环环,125.79,6.54,61.09%,1.22%,2,40.96%
3,勾魂眼,76.1,-0.88,55.39%,-0.29%,6,14.91%
4,朽木妖,72.2,-0.1,53.19%,-0.07%,4,32.43%
5,梦幻,69.13,0.62,54.21%,0.28%,14,11.52%
6,呆壳兽,66.93,-1.21,52.4%,-0.41%,5,21.78%
7,嘟嘟利,64.67,-0.03,52.51%,-0.02%,17,8.97%
8,冰伊布,64.43,-1.75,52.01%,-0.72%,9,13.87%
9,古月鸟,62.28,0.98,51.44%,0.63%,31,5.09%
10,太阳伊布,61.9,-1.79,50.44%,-0.41%,3,38.88%
11,妖火红狐,60.37,-0.02,50.2%,-0.01%,18,8.8%
12,白蓬蓬,59.92,0.76,49.97%,0.29%,22,7.31%
13,水箭龟,59.39,0.22,49.69%,0.11%,7,14.29%
14,藏饱栗鼠,59.29,3.3,49.89%,0.51%,48,2.27%
15,怪力,58.99,0.31,49.59%,0.11%,20,8.21%
16,武道熊师,57.9,-0.42,48.99%,-0.21%,13,11.66%
17,沙奈朵,57.04,-0.48,48.52%,-0.23%,11,12.71%
18,多龙巴鲁托,56.45,1.44,48.84%,0.49%,28,6.07%
19,胡帕,56.2,-4.08,48.95%,-1.23%,39,3.77%
20,皮可西,55.3,-1.07,48.31%,-0.34%,30,5.55%
21,幸福蛋,55.29,3.4,48.77%,1.07%,36,4.0%
22,铝钢龙,54.43,-3.96,49.03%,-0.68%,47,2.29%
23,仙子伊布,53.73,-0.5,47.55%,-0.18%,21,8.18%
24,狙射树枭,53.02,0.13,46.43%,-0.02%,10,13.65%
25,皮卡丘,52.54,0.48,46.56%,0.15%,15,11.29%
26,甲贺忍蛙,51.79,0.59,45.51%,0.2%,8,14.23%
27,路卡利欧,51.7,0.98,47.18%,0.22%,24,6.4%
28,魔墙人偶,51.43,-2.26,48.22%,-0.47%,45,2.99%
29,妙蛙花,50.18,0.46,45.55%,0.18%,12,11.7%
30,卡比兽,49.45,-1.54,47.47%,-0.31%,40,3.7%
31,黏美龙,48.97,-2.25,44.84%,-0.28%,16,10.22%
32,胖可丁,48.84,3.95,47.14%,0.39%,42,3.51%
33,闪焰王牌,47.94,-1.45,45.1%,-0.47%,19,8.58%
34,象牙猪,47.9,-2.13,46.08%,-0.58%,29,5.91%
35,烈箭鹰,46.67,-2.75,45.35%,-0.9%,25,6.29%
36,耿鬼,45.18,-0.96,44.11%,-0.66%,23,6.64%
37,烈咬陆鲨,44.89,-1.36,47.37%,-0.18%,46,2.72%
38,索罗亚克,44.15,0.15,45.99%,0.14%,32,4.8%
39,阿勃梭鲁,43.06,-1.22,44.15%,-0.78%,26,6.24%
40,喷火龙,42.95,2.09,45.19%,0.0%,35,4.23%
41,班基拉斯,42.31,1.3,46.13%,0.78%,44,3.0%
42,巨钳螳螂,41.94,-1.25,44.06%,-0.02%,27,6.13%
43,捷拉奥拉,39.4,0.07,44.4%,0.05%,34,4.45%
44,坚盾剑怪,38.73,2.08,44.55%,0.07%,33,4.55%
45,阿罗拉九尾,37.38,4.0,44.89%,1.09%,38,3.82%
46,玛力露丽,37.19,-0.52,44.34%,-0.13%,36,4.0%
47,快龙,34.83,9.25,45.06%,0.98%,50,2.16%
48,爆肌蚊,33.04,0.05,44.4%,0.31%,41,3.69%
49,岩殿居蟹,31.06,0.69,44.21%,-0.27%,43,3.25%
50,甜冷美后,28.39,12.75,45.18%,1.34%,49,2.26%
