排名,名称,排位指数,指数变化,单边获胜率,胜率变化,热度排名,选出率
1,铝钢龙,67.84,-2.51,53.81%,-1.44%,20,11.47%
2,魔墙人偶,65.86,2.34,52.72%,1.06%,17,12.31%
3,白蓬蓬,65.45,3.27,52.28%,1.25%,13,14.34%
4,藏饱栗鼠,64.63,-0.01,53.25%,-0.08%,44,3.12%
5,沙奈朵,64.53,2.1,51.4%,0.53%,1,25.5%
6,梦幻,64.2,1.34,52.13%,0.38%,31,8.06%
7,勾魂眼,64.19,-1.66,51.8%,-0.43%,12,14.75%
8,卡比兽,64.05,-9.68,51.51%,-2.76%,10,15.72%
9,嘟嘟利,63.44,-2.07,51.92%,-1.31%,34,6.57%
10,班基拉斯,63.32,-1.95,51.83%,-1.0%,29,8.12%
11,妖火红狐,63.23,-0.87,51.58%,-0.56%,18,11.77%
12,玛力露丽,62.93,-2.72,51.15%,-1.1%,7,18.38%
13,古月鸟,62.86,2.62,51.82%,1.66%,40,4.63%
14,怪力,62.58,3.55,51.44%,1.82%,27,8.35%
15,武道熊师,61.52,-1.76,50.64%,-0.75%,15,14.09%
16,象牙猪,60.65,0.08,50.24%,0.0%,5,19.49%
17,幸福蛋,60.43,-7.72,50.17%,-3.22%,14,14.11%
18,水箭龟,60.12,1.83,50.06%,0.85%,22,10.72%
19,呆壳兽,59.98,-1.74,49.99%,-0.9%,16,13.57%
20,阿罗拉九尾,59.93,-1.37,49.96%,-0.59%,9,15.79%
21,耿鬼,59.81,3.05,49.91%,1.43%,24,9.13%
22,甲贺忍蛙,59.7,0.75,49.82%,0.47%,2,21.23%
23,烈咬陆鲨,59.57,1.84,49.85%,0.91%,35,6.53%
24,冰伊布,59.53,1.62,49.81%,0.65%,30,8.11%
25,巨钳螳螂,59.3,-1.18,49.59%,-0.61%,3,20.76%
26,闪焰王牌,59.16,-1.54,49.51%,-0.72%,4,19.96%
27,仙子伊布,59.0,0.09,49.55%,0.06%,23,10.57%
28,妙蛙花,58.88,-0.53,49.37%,-0.29%,6,18.44%
29,路卡利欧,58.6,-1.02,49.32%,-0.49%,19,11.64%
30,甜冷美后,58.46,-2.1,49.33%,-0.94%,25,8.66%
31,坚盾剑怪,57.05,-3.3,48.83%,-1.36%,28,8.13%
32,狙射树枭,56.7,-1.45,48.19%,-0.72%,8,16.22%
33,皮卡丘,56.54,-0.54,48.21%,-0.23%,11,14.92%
34,太阳伊布,55.58,-3.64,48.01%,-1.63%,21,10.83%
35,喷火龙,54.7,1.25,47.71%,1.07%,26,8.45%
36,捷拉奥拉,54.48,3.26,47.9%,1.61%,33,7.42%
37,阿勃梭鲁,53.77,3.1,47.49%,1.59%,32,7.99%
38,胖可丁,52.2,1.54,47.37%,0.37%,38,5.7%
39,岩殿居蟹,51.58,2.39,47.39%,0.88%,39,5.25%
40,烈箭鹰,51.46,5.15,47.01%,2.26%,37,5.88%
41,索罗亚克,51.08,-2.35,46.87%,-0.31%,36,6.43%
42,爆肌蚊,50.95,3.55,47.86%,1.11%,42,3.81%
43,快龙,50.93,-3.68,47.52%,-0.68%,41,4.2%
44,朽木妖,46.61,-4.72,47.12%,-0.55%,43,3.41%
45,胡帕,45.69,-8.13,47.45%,-1.58%,46,2.34%
46,皮可西,35.93,-10.1,45.81%,-1.21%,45,2.73%
