排名,名称,使用人数,使用率,使用率变化,胜场数,胜率
1,火焰鸡,68,9.8%,0.41%,346,73.46%
2,梦幻,63,9.34%,0.91%,310,69.04%
3,千面避役,67,7.45%,1.58%,251,70.11%
4,朽木妖,57,7.26%,1.52%,245,70.2%
5,巨钳螳螂,60,6.91%,-2.16%,234,70.48%
6,甜冷美后,42,6.85%,2.37%,231,70.21%
7,谜拟丘,54,5.14%,0.04%,170,68.83%
8,暴鲤龙,49,4.99%,0.67%,175,72.92%
9,索罗亚克,52,4.87%,-0.49%,151,64.53%
10,叶伊布,60,4.79%,-1.21%,160,69.57%
11,水箭龟,63,4.14%,-0.51%,140,70.35%
11,胡帕,38,4.14%,0.93%,135,67.84%
11,列阵兵,22,4.14%,2.77%,142,71.36%
14,嘟嘟利,46,3.93%,-2.54%,128,67.72%
15,仙子伊布,55,3.89%,0.94%,141,75.4%
16,月亮伊布,51,3.64%,-0.65%,120,68.57%
17,快龙,33,3.14%,0.11%,107,70.86%
18,路卡利欧,44,3.04%,-1.52%,102,69.86%
18,幸福蛋,36,3.04%,0.21%,99,67.81%
20,白蓬蓬,35,2.89%,0.85%,95,68.35%
21,坚盾剑怪,41,2.85%,1.21%,89,64.96%
22,冰伊布,49,2.83%,-0.41%,96,70.59%
23,岩殿居蟹,32,2.68%,0.82%,94,72.87%
24,太阳伊布,43,2.31%,0.24%,73,65.77%
24,烈箭鹰,27,2.31%,0.77%,93,83.78%
26,阿勃梭鲁,25,1.81%,0.33%,67,77.01%
27,水晶灯火灵,26,1.73%,-0.14%,60,72.29%
27,妖火红狐,34,1.73%,0.07%,59,71.08%
29,花疗环环,24,1.62%,0.14%,56,71.79%
30,魔墙人偶,26,1.52%,-0.32%,55,75.34%
31,魔幻假面喵,20,1.44%,-0.17%,61,88.41%
32,捷拉奥拉,17,1.42%,-0.05%,49,72.06%
32,象牙猪,23,1.42%,0.63%,53,77.94%
34,妙蛙花,24,1.27%,-0.09%,41,67.21%
35,武道熊师,26,1.21%,-0.34%,39,67.24%
36,狙射树枭,30,1.17%,0.01%,45,80.36%
36,藏饱栗鼠,12,1.17%,-0.83%,32,57.14%
38,呆壳兽,27,1.1%,0.02%,37,69.81%
39,古月鸟,20,0.89%,0.14%,26,60.47%
40,怪力,21,0.85%,-0.49%,28,68.29%
41,甲贺忍蛙,20,0.77%,0.03%,22,59.46%
42,爆肌蚊,15,0.6%,-0.52%,18,62.07%
43,皮卡丘,20,0.58%,-0.19%,21,75.0%
43,沙奈朵,19,0.58%,-0.11%,20,71.43%
43,闪焰王牌,18,0.58%,-0.75%,19,67.86%
46,烈咬陆鲨,14,0.56%,-0.26%,20,74.07%
47,多龙巴鲁托,9,0.48%,-0.02%,20,86.96%
48,勾魂眼,12,0.44%,-0.47%,18,85.71%
49,皮可西,13,0.42%,0.03%,11,55.0%
49,玛力露丽,8,0.42%,-0.12%,16,80.0%
51,卡比兽,11,0.29%,-0.28%,11,78.57%
51,胖可丁,5,0.29%,-0.45%,9,64.29%
51,阿罗拉九尾,10,0.29%,-0.05%,10,71.43%
54,铝钢龙,9,0.23%,0.17%,7,63.64%
55,黏美龙,10,0.21%,-0.15%,7,70.0%
55,耿鬼,7,0.21%,-0.3%,10,100.0%
55,巨金怪,6,0.21%,-0.46%,5,50.0%
58,喷火龙,8,0.19%,-0.4%,6,66.67%
59,班基拉斯,6,0.12%,-0.18%,2,33.33%
60,拉普拉斯,1,0.02%,-0.18%,1,100.0%
