排名,名称,排位指数,指数变化,单边获胜率,胜率变化,热度排名,选出率
1,妖火红狐,66.56,4.51,52.64%,1.73%,8,16.71%
2,呆壳兽,65.74,2.78,52.04%,0.98%,2,22.23%
3,沙奈朵,65.74,4.6,52.11%,1.68%,4,18.59%
4,白蓬蓬,65.39,0.03,52.62%,0.31%,17,11.31%
5,班基拉斯,65.04,1.81,52.53%,0.73%,24,10.21%
6,梦幻,64.67,-1.33,51.84%,-0.41%,11,13.36%
7,铝钢龙,64.64,1.35,53.05%,0.94%,45,4.21%
8,怪力,64.12,0.19,52.14%,0.1%,25,10.04%
9,古月鸟,63.59,-0.04,52.15%,0.06%,37,6.2%
10,嘟嘟利,63.13,0.41,51.46%,0.23%,14,12.34%
11,武道熊师,63.06,-8.11,50.96%,-3.62%,1,24.82%
12,魔墙人偶,62.92,-5.18,51.64%,-1.76%,34,6.95%
13,藏饱栗鼠,62.86,-0.6,51.91%,-0.45%,47,3.56%
14,皮可西,62.75,13.9,50.91%,4.04%,3,20.28%
15,烈咬陆鲨,62.52,1.2,51.66%,0.76%,42,4.45%
16,勾魂眼,62.21,-3.32,51.15%,-1.09%,28,9.5%
17,幸福蛋,62.19,3.03,51.0%,1.48%,16,11.51%
18,冰伊布,60.81,1.75,50.43%,0.81%,27,9.68%
19,水箭龟,60.34,0.99,50.16%,0.48%,13,12.47%
20,象牙猪,60.24,1.53,50.1%,0.83%,6,17.18%
21,卡比兽,59.86,0.75,49.93%,0.38%,18,11.0%
22,喷火龙,59.66,2.87,49.88%,0.98%,40,5.06%
23,妙蛙花,59.56,1.06,49.76%,0.55%,9,16.36%
24,仙子伊布,58.94,-1.04,49.53%,-0.46%,26,9.89%
25,甲贺忍蛙,58.82,0.84,49.31%,0.51%,7,16.94%
26,坚盾剑怪,58.78,1.13,49.47%,0.31%,29,8.61%
27,甜冷美后,58.5,1.93,49.48%,0.65%,36,6.29%
28,多龙巴鲁托,58.22,1.3,49.19%,0.55%,20,10.75%
29,耿鬼,58.06,-1.59,49.16%,-0.69%,33,7.05%
30,胡帕,57.56,1.28,48.73%,-0.28%,15,12.01%
31,玛力露丽,57.41,0.81,48.86%,0.41%,23,10.24%
32,皮卡丘,57.35,0.15,48.61%,0.13%,10,15.1%
33,闪焰王牌,57.34,-0.35,48.78%,-0.14%,21,10.48%
34,路卡利欧,57.22,0.2,48.72%,0.16%,19,10.76%
35,太阳伊布,57.14,0.67,48.7%,0.31%,22,10.34%
36,捷拉奥拉,56.9,3.05,48.95%,1.04%,38,5.77%
37,阿罗拉九尾,56.6,1.54,48.68%,0.63%,30,8.1%
38,巨钳螳螂,56.58,-9.7,48.04%,-3.61%,4,18.59%
39,狙射树枭,56.24,0.69,48.13%,0.3%,12,12.71%
40,胖可丁,55.91,3.17,48.94%,1.07%,46,4.17%
41,朽木妖,55.37,-0.16,48.8%,-0.13%,43,4.38%
42,岩殿居蟹,54.84,1.73,48.56%,0.64%,41,4.59%
43,阿勃梭鲁,54.82,1.0,47.89%,0.33%,32,8.02%
44,爆肌蚊,54.31,3.52,47.84%,1.37%,31,8.05%
45,烈箭鹰,51.13,-1.68,47.31%,-0.5%,39,5.38%
46,快龙,47.88,2.81,47.79%,0.72%,48,2.41%
47,索罗亚克,46.09,0.65,46.48%,0.61%,44,4.24%
48,花疗环环,39.01,0.0,39.44%,0.0%,35,6.44%
