排名,名称,排位指数,指数变化,单边获胜率,胜率变化,热度排名,选出率
1,魔墙人偶,87.98,-23.69,55.9%,-2.26%,2,33.7%
2,梦幻,83.84,-11.84,55.22%,-0.99%,3,26.94%
3,白蓬蓬,70.11,21.12,53.26%,5.13%,6,17.71%
4,嘟嘟利,69.36,-4.53,53.4%,-1.04%,9,14.92%
5,妙蛙花,65.08,23.37,50.93%,5.47%,1,37.89%
6,铝钢龙,64.1,-0.41,52.41%,-0.09%,30,6.94%
7,喷火龙,64.01,1.63,51.59%,0.65%,8,15.48%
8,藏饱栗鼠,63.12,0.24,52.14%,0.08%,44,3.12%
9,班基拉斯,62.59,-0.95,51.44%,-0.42%,26,8.06%
10,古月鸟,61.98,1.56,51.38%,1.1%,41,3.76%
11,甜冷美后,61.81,-1.27,50.86%,-0.49%,15,12.07%
12,玛力露丽,61.49,1.4,50.59%,0.56%,6,17.71%
13,坚盾剑怪,60.46,-3.12,50.19%,-1.02%,14,12.75%
14,怪力,60.4,2.2,50.23%,0.91%,29,7.03%
15,烈咬陆鲨,60.37,6.22,50.18%,1.27%,23,9.16%
16,象牙猪,60.34,0.34,50.16%,0.16%,13,12.91%
17,冰伊布,59.74,0.54,49.88%,0.28%,21,10.44%
18,幸福蛋,59.44,2.69,49.71%,1.09%,20,10.54%
19,甲贺忍蛙,58.74,1.01,49.2%,0.47%,4,23.82%
20,耿鬼,58.43,-0.56,49.16%,-0.26%,17,11.67%
21,妖火红狐,58.28,2.37,49.17%,1.1%,16,11.9%
22,路卡利欧,58.19,0.12,49.13%,0.04%,18,11.55%
23,呆壳兽,57.61,4.42,49.07%,1.52%,27,7.91%
24,阿罗拉九尾,57.45,8.59,49.22%,2.33%,37,5.38%
25,巨钳螳螂,57.29,0.22,48.47%,0.27%,5,18.7%
26,闪焰王牌,56.92,-0.76,48.61%,-0.28%,21,10.44%
27,岩殿居蟹,56.92,5.05,48.84%,0.87%,31,6.89%
28,卡比兽,56.92,-0.15,48.68%,0.02%,24,8.99%
29,索罗亚克,56.78,0.0,48.04%,0.0%,11,13.84%
30,阿勃梭鲁,56.53,-2.62,48.2%,-1.3%,12,12.95%
31,皮卡丘,56.42,2.27,48.2%,1.14%,10,13.93%
32,狙射树枭,56.12,1.98,48.11%,0.91%,19,11.37%
33,快龙,55.82,-1.69,48.99%,-0.3%,43,3.52%
34,捷拉奥拉,55.43,0.78,48.33%,0.21%,28,7.12%
35,沙奈朵,55.26,3.47,48.5%,1.23%,36,5.44%
36,胡帕,54.5,78.55,48.44%,5.72%,42,3.58%
37,水箭龟,52.25,-0.94,47.44%,-0.23%,38,5.31%
38,胖可丁,52.1,0.74,47.68%,0.18%,39,5.06%
39,朽木妖,51.82,-1.03,47.22%,-0.48%,33,6.12%
40,太阳伊布,51.81,3.97,47.01%,1.32%,32,6.82%
41,烈箭鹰,51.79,-0.27,47.24%,-0.11%,34,5.92%
42,仙子伊布,49.79,-1.98,47.06%,-0.49%,40,4.71%
43,爆肌蚊,44.09,-3.82,45.22%,-1.02%,35,5.7%
44,皮可西,42.46,-7.03,42.84%,-1.44%,25,8.54%
