排名,名称,使用人数,使用率,使用率变化,胜场数,胜率
1,武道熊师,69,21.8%,4.42%,802,73.92%
2,梦幻,70,19.0%,-1.57%,678,71.67%
3,妖火红狐,72,18.18%,7.44%,689,76.13%
4,嘟嘟利,59,13.54%,-4.01%,497,73.74%
5,巨钳螳螂,52,10.08%,-11.37%,352,70.12%
6,皮可西,44,8.86%,7.72%,319,72.34%
7,勾魂眼,25,8.36%,-5.05%,315,75.72%
8,胡帕,48,7.13%,5.5%,251,70.7%
9,冰伊布,42,6.47%,4.36%,236,73.29%
10,甜冷美后,39,6.09%,-0.11%,212,69.97%
11,路卡利欧,51,5.64%,0.65%,200,71.17%
12,沙奈朵,38,5.18%,1.87%,189,73.26%
13,卡比兽,39,4.82%,1.49%,179,74.58%
14,呆壳兽,42,4.68%,-1.93%,154,66.09%
15,幸福蛋,29,4.22%,-0.57%,152,72.38%
16,怪力,35,4.04%,0.2%,146,72.64%
16,索罗亚克,32,4.04%,1.32%,147,73.13%
18,坚盾剑怪,40,3.8%,2.55%,140,74.07%
19,甲贺忍蛙,35,3.03%,-1.24%,101,66.89%
20,班基拉斯,32,2.35%,-0.35%,70,59.83%
21,玛力露丽,26,2.13%,0.77%,78,73.58%
22,古月鸟,33,2.11%,-1.27%,73,69.52%
23,象牙猪,31,1.99%,-1.29%,70,70.71%
23,水箭龟,35,1.99%,0.05%,71,71.72%
25,魔墙人偶,30,1.85%,-7.43%,69,75.0%
26,狙射树枭,25,1.81%,0.34%,78,86.67%
27,多龙巴鲁托,24,1.67%,0.69%,54,65.06%
27,藏饱栗鼠,24,1.67%,-0.11%,55,66.27%
29,阿勃梭鲁,30,1.65%,0.43%,55,67.07%
30,妙蛙花,28,1.59%,0.48%,56,70.89%
31,仙子伊布,28,1.51%,0.39%,53,70.67%
32,白蓬蓬,27,1.31%,-1.78%,46,70.77%
33,爆肌蚊,22,1.1%,0.32%,37,67.27%
34,烈咬陆鲨,18,0.92%,-0.79%,37,80.43%
34,太阳伊布,22,0.92%,-0.68%,34,73.91%
36,阿罗拉九尾,16,0.88%,-0.2%,33,75.0%
36,烈箭鹰,20,0.88%,-0.28%,32,72.73%
38,皮卡丘,17,0.7%,-0.9%,23,65.71%
39,闪焰王牌,13,0.68%,-0.69%,25,73.53%
40,岩殿居蟹,10,0.54%,0.08%,16,59.26%
41,朽木妖,10,0.34%,-0.12%,12,70.59%
42,胖可丁,8,0.32%,0.03%,12,75.0%
43,快龙,11,0.24%,-0.41%,10,83.33%
44,耿鬼,10,0.22%,-0.36%,9,81.82%
45,捷拉奥拉,4,0.1%,-0.14%,3,60.0%
45,铝钢龙,5,0.1%,-0.28%,5,100.0%
47,喷火龙,4,0.08%,-0.08%,3,75.0%
