排名,名称,使用人数,使用率,使用率变化,胜场数,胜率
1,月亮伊布,76,23.52%,0.44%,1004,75.21%
2,叶伊布,61,16.68%,-1.63%,684,72.23%
3,索罗亚克,67,16.63%,0.64%,656,69.49%
4,千面避役,29,13.79%,0.0%,544,69.48%
5,皮可西,44,8.49%,2.0%,354,73.44%
6,快龙,32,6.87%,-3.91%,286,73.33%
7,水晶灯火灵,48,6.43%,-3.27%,248,67.95%
8,阿罗拉九尾,40,5.85%,-0.74%,231,69.58%
9,拉普拉斯,44,5.8%,2.57%,241,73.25%
10,梦幻,52,5.53%,-2.22%,219,69.75%
11,武道熊师,41,4.46%,-0.96%,198,78.26%
12,胡帕,32,4.44%,-1.56%,192,76.19%
13,妖火红狐,44,4.23%,0.97%,159,66.25%
14,嘟嘟利,38,3.66%,0.41%,156,75.0%
15,呆壳兽,28,3.01%,-0.03%,129,75.44%
16,冰伊布,39,2.87%,-2.31%,103,63.19%
17,白蓬蓬,29,2.73%,-0.77%,109,70.32%
18,巨钳螳螂,25,2.5%,0.08%,91,64.08%
19,爆肌蚊,28,2.38%,1.07%,92,68.15%
20,妙蛙花,37,2.13%,0.17%,83,68.6%
21,卡比兽,10,1.99%,1.09%,79,69.91%
22,水箭龟,34,1.92%,0.43%,78,71.56%
23,苍响,15,1.74%,0.94%,74,74.75%
24,狙射树枭,25,1.71%,-0.11%,72,74.23%
24,朽木妖,26,1.71%,0.45%,75,77.32%
24,幸福蛋,23,1.71%,-0.73%,61,62.89%
27,路卡利欧,26,1.64%,0.26%,66,70.97%
28,喷火龙,9,1.53%,1.24%,61,70.11%
29,沙奈朵,27,1.51%,-0.79%,59,68.6%
30,怪力,24,1.44%,0.53%,65,79.27%
31,捷拉奥拉,12,1.39%,0.12%,46,58.23%
32,古月鸟,15,1.34%,0.83%,50,65.79%
33,闪焰王牌,11,0.97%,0.35%,41,74.55%
34,玛力露丽,17,0.95%,0.04%,42,77.78%
35,烈箭鹰,14,0.86%,0.47%,33,67.35%
36,太阳伊布,21,0.85%,-1.84%,33,68.75%
37,烈咬陆鲨,10,0.81%,0.09%,32,69.57%
38,甲贺忍蛙,18,0.74%,-0.37%,25,59.52%
38,勾魂眼,8,0.74%,-0.4%,27,64.29%
40,魔墙人偶,17,0.72%,0.35%,27,65.85%
41,坚盾剑怪,15,0.7%,-0.96%,28,70.0%
42,皮卡丘,12,0.69%,0.05%,21,53.85%
43,花疗环环,15,0.65%,0.41%,25,67.57%
44,藏饱栗鼠,10,0.41%,-0.07%,16,69.57%
45,甜冷美后,10,0.37%,0.11%,14,66.67%
45,仙子伊布,12,0.37%,-0.51%,16,76.19%
47,多龙巴鲁托,9,0.33%,-0.22%,10,52.63%
48,耿鬼,8,0.26%,-0.26%,11,73.33%
49,阿勃梭鲁,10,0.25%,-0.1%,9,64.29%
50,班基拉斯,6,0.19%,-0.2%,9,81.82%
50,黏美龙,7,0.19%,-0.0%,5,45.45%
52,胖可丁,7,0.18%,-0.02%,6,60.0%
53,象牙猪,7,0.14%,-0.04%,5,62.5%
54,铝钢龙,6,0.12%,0.06%,5,71.43%
