排名,名称,排位指数,指数变化,单边获胜率,胜率变化,热度排名,选出率
1,勾魂眼,90.47,11.43,56.48%,1.43%,1,37.17%
2,魔墙人偶,70.64,-2.64,53.93%,-0.14%,6,17.41%
3,铝钢龙,66.0,-0.59,53.36%,-0.45%,30,7.78%
4,甜冷美后,64.57,1.57,51.55%,0.49%,5,18.98%
5,班基拉斯,64.1,-0.08,52.18%,-0.1%,26,9.2%
6,沙奈朵,63.07,0.63,51.12%,0.25%,4,19.82%
7,幸福蛋,62.95,-0.47,51.27%,-0.32%,21,10.56%
8,白蓬蓬,62.87,-0.73,51.4%,-0.2%,20,10.96%
9,藏饱栗鼠,62.06,0.47,51.5%,0.36%,44,3.0%
10,喷火龙,62.02,-0.75,50.81%,-0.31%,8,16.21%
11,烈咬陆鲨,61.84,-1.55,51.18%,-0.98%,38,4.87%
12,古月鸟,61.46,0.53,50.98%,0.34%,41,4.27%
13,玛力露丽,61.37,0.38,50.56%,0.15%,7,16.72%
14,怪力,61.01,2.34,50.55%,1.1%,28,8.64%
15,嘟嘟利,60.76,-2.98,50.39%,-1.16%,31,7.7%
16,仙子伊布,59.98,-1.94,49.99%,-0.64%,10,16.01%
17,水箭龟,59.92,0.5,49.96%,0.26%,16,12.56%
18,路卡利欧,59.77,-0.13,49.88%,-0.07%,13,14.66%
19,妙蛙花,59.59,-0.58,49.76%,-0.3%,3,20.33%
20,象牙猪,59.27,-0.82,49.62%,-0.42%,12,14.71%
21,甲贺忍蛙,58.92,-1.42,49.35%,-0.77%,2,20.55%
22,索罗亚克,58.58,1.03,49.2%,0.67%,9,16.03%
23,妖火红狐,58.41,-0.65,49.26%,-0.29%,19,11.28%
24,冰伊布,58.31,0.03,49.26%,0.01%,22,9.59%
25,呆壳兽,58.28,-0.48,49.18%,-0.2%,17,12.35%
26,耿鬼,57.97,0.24,49.06%,0.08%,23,9.33%
27,梦幻,57.96,-7.32,49.14%,-2.62%,32,7.58%
28,巨钳螳螂,57.88,-0.48,48.94%,-0.22%,14,14.07%
29,坚盾剑怪,57.54,-0.54,48.96%,-0.21%,27,8.96%
30,闪焰王牌,56.77,-2.41,48.45%,-1.15%,18,11.4%
31,皮卡丘,56.25,-0.74,47.98%,-0.41%,11,15.94%
32,胖可丁,56.23,2.4,48.75%,0.71%,37,5.22%
33,卡比兽,56.21,-1.64,48.37%,-0.65%,24,9.3%
34,狙射树枭,55.58,0.1,47.73%,0.04%,15,13.55%
35,太阳伊布,54.15,0.9,47.82%,0.33%,33,7.45%
36,捷拉奥拉,53.46,-3.11,47.42%,-1.27%,29,7.96%
37,快龙,53.15,-0.56,48.38%,-0.07%,43,3.46%
38,阿罗拉九尾,53.09,-3.74,47.52%,-1.31%,34,7.2%
39,阿勃梭鲁,52.75,0.8,46.78%,0.22%,25,9.23%
40,爆肌蚊,52.31,3.34,47.98%,1.14%,39,4.64%
41,岩殿居蟹,51.66,-2.0,47.34%,-0.56%,36,5.69%
42,烈箭鹰,51.17,1.68,46.96%,0.53%,35,6.31%
43,朽木妖,50.14,0.07,47.38%,0.11%,40,4.63%
44,皮可西,43.84,-0.93,45.56%,0.75%,42,4.23%
45,胡帕,35.47,-5.69,47.18%,0.22%,45,1.95%
