排名,名称,使用人数,使用率,使用率变化,胜场数,胜率
1,捷拉奥拉,61,11.77%,2.25%,401,73.58%
2,阿勃梭鲁,75,11.4%,-2.66%,387,73.3%
3,叶伊布,74,10.19%,1.06%,347,73.52%
4,烈箭鹰,72,9.05%,-4.81%,284,67.78%
5,千面避役,61,6.48%,0.83%,195,65.0%
6,超梦Y,52,5.59%,2.27%,194,74.9%
7,魔幻假面喵,45,5.31%,-1.05%,186,75.61%
8,甜冷美后,58,5.14%,-2.58%,175,73.53%
9,暴鲤龙,52,4.88%,1.51%,165,73.01%
10,月亮伊布,55,4.43%,0.42%,148,72.2%
11,水君,38,4.41%,0.74%,164,80.39%
12,朽木妖,40,3.65%,1.39%,126,74.56%
13,耿鬼,40,3.52%,-0.33%,121,74.23%
14,索罗亚克,52,3.5%,0.32%,111,68.52%
15,坚盾剑怪,36,3.43%,-0.72%,113,71.07%
16,梦幻,42,3.41%,1.84%,106,67.09%
17,达克莱伊,37,3.35%,2.01%,106,68.39%
18,武道熊师,46,3.17%,1.63%,110,74.83%
18,巨钳螳螂,40,3.17%,2.39%,99,67.35%
20,苍炎刃鬼,22,3.07%,0.21%,105,73.94%
20,幸福蛋,36,3.07%,-1.31%,94,66.2%
22,可达鸭,32,3.05%,0.3%,110,78.01%
23,闪焰王牌,33,2.72%,-1.24%,105,83.33%
24,胡帕,28,2.68%,-0.32%,87,70.16%
25,苍响,42,2.57%,0.31%,77,64.71%
26,巨金怪,54,2.55%,0.84%,80,67.8%
27,谜拟丘,44,2.53%,-0.17%,72,61.54%
28,火焰鸡,42,2.42%,-0.35%,83,74.11%
29,卡比兽,34,2.07%,-0.42%,57,59.38%
29,嘟嘟利,30,2.07%,0.55%,69,71.88%
31,甲贺忍蛙,38,1.99%,-0.09%,70,76.09%
32,花疗环环,32,1.9%,-0.84%,57,64.77%
33,怪力,32,1.77%,-0.83%,67,81.71%
34,冰伊布,36,1.71%,0.6%,60,75.95%
35,妙蛙花,17,1.66%,0.9%,58,75.32%
36,皮卡丘,24,1.62%,-1.29%,48,64.0%
37,路卡利欧,30,1.58%,0.42%,49,67.12%
38,象牙猪,31,1.56%,0.33%,48,66.67%
39,呆壳兽,27,1.47%,0.36%,46,67.65%
40,爆肌蚊,34,1.32%,0.16%,40,65.57%
41,凤王,21,1.25%,-0.27%,46,79.31%
42,水箭龟,19,1.17%,-0.26%,35,64.81%
42,烈咬陆鲨,28,1.17%,-0.1%,34,62.96%
44,列阵兵,22,0.89%,0.54%,31,75.61%
45,太阳伊布,14,0.78%,-0.03%,29,80.56%
46,班基拉斯,12,0.71%,0.27%,23,69.7%
47,沙奈朵,14,0.69%,0.18%,24,75.0%
48,白蓬蓬,16,0.67%,0.0%,22,70.97%
49,狙射树枭,20,0.65%,0.35%,24,80.0%
49,妖火红狐,16,0.65%,0.37%,24,80.0%
51,皮可西,19,0.6%,-0.73%,19,67.86%
52,喷火龙,10,0.56%,0.17%,23,88.46%
52,密勒顿,18,0.56%,-0.25%,13,50.0%
54,红莲铠骑,11,0.54%,0.17%,17,68.0%
55,巨锻匠,9,0.52%,0.06%,21,87.5%
56,魔墙人偶,10,0.48%,0.22%,18,81.82%
57,岩殿居蟹,12,0.43%,0.13%,14,70.0%
58,勾魂眼,10,0.41%,-0.37%,13,68.42%
59,阿罗拉九尾,8,0.28%,0.05%,9,69.23%
60,多龙巴鲁托,8,0.26%,0.14%,9,75.0%
60,快龙,5,0.26%,-0.02%,9,75.0%
62,拉普拉斯,10,0.24%,0.05%,11,100.0%
62,玛力露丽,7,0.24%,0.05%,5,45.45%
64,仙子伊布,9,0.22%,0.12%,8,80.0%
65,古月鸟,9,0.19%,-0.31%,6,66.67%
65,胖可丁,8,0.19%,0.06%,9,100.0%
67,伽勒尔烈焰马,4,0.17%,0.01%,5,62.5%
68,藏饱栗鼠,7,0.15%,0.11%,5,71.43%
68,水晶灯火灵,7,0.15%,-0.19%,4,57.14%
70,超梦X,6,0.13%,-0.03%,6,100.0%
71,黏美龙,3,0.06%,-0.05%,2,66.67%
72,铝钢龙,2,0.04%,0.02%,2,100.0%
