排名,名称,排位指数,指数变化,单边获胜率,胜率变化,热度排名,选出率
1,武道熊师,72.41,2.26,55.14%,0.49%,15,13.47%
2,魔墙人偶,70.1,0.43,54.19%,0.09%,10,14.65%
3,白蓬蓬,66.8,1.09,52.97%,0.58%,13,13.85%
4,梦幻,65.37,1.71,52.29%,0.62%,24,10.22%
5,巨钳螳螂,64.39,2.52,51.31%,0.71%,1,28.12%
6,幸福蛋,64.24,2.05,51.62%,0.76%,9,14.82%
7,铝钢龙,63.57,-1.23,52.29%,-0.73%,39,5.3%
8,怪力,63.57,-0.49,51.85%,-0.28%,25,9.93%
9,勾魂眼,63.52,-1.0,51.29%,-0.52%,3,19.61%
10,古月鸟,63.21,-0.89,51.91%,-0.52%,35,6.31%
11,沙奈朵,62.86,0.04,51.06%,0.05%,5,18.51%
12,班基拉斯,62.82,-0.59,51.63%,-0.34%,33,6.89%
13,妖火红狐,62.63,0.5,51.2%,0.2%,14,13.73%
14,烈咬陆鲨,61.7,-0.04,51.14%,-0.01%,42,4.06%
15,呆壳兽,61.53,-0.73,50.63%,-0.31%,7,17.47%
16,藏饱栗鼠,61.37,-1.0,50.97%,-0.67%,45,3.19%
17,妙蛙花,60.89,1.44,50.4%,0.69%,11,14.58%
18,仙子伊布,60.31,-0.62,50.17%,-0.33%,27,8.65%
19,耿鬼,60.21,0.52,50.11%,0.25%,29,7.73%
20,卡比兽,60.09,0.04,50.04%,0.02%,19,12.08%
21,水箭龟,59.5,-0.72,49.76%,-0.35%,21,11.3%
22,象牙猪,59.39,-0.15,49.64%,-0.09%,2,20.5%
23,冰伊布,59.35,0.01,49.75%,0.01%,28,7.98%
24,闪焰王牌,59.3,0.49,49.63%,0.31%,12,14.26%
25,甲贺忍蛙,59.22,-0.53,49.53%,-0.31%,4,19.01%
26,嘟嘟利,58.86,-1.4,49.43%,-0.69%,17,12.79%
27,路卡利欧,58.43,0.7,49.23%,0.36%,20,11.76%
28,阿罗拉九尾,58.11,0.77,49.17%,0.4%,26,9.88%
29,皮卡丘,57.9,0.15,48.88%,0.09%,8,16.02%
30,甜冷美后,57.6,0.4,49.1%,0.16%,32,6.97%
31,坚盾剑怪,57.47,-0.28,49.05%,-0.09%,31,7.4%
32,喷火龙,56.71,-1.5,48.76%,-0.53%,37,6.06%
33,太阳伊布,56.47,-0.09,48.43%,-0.03%,23,10.34%
34,狙射树枭,56.06,-0.18,48.06%,0.0%,18,12.57%
35,玛力露丽,56.06,-2.32,48.12%,-1.08%,16,12.81%
36,捷拉奥拉,56.02,1.98,48.53%,0.72%,34,6.43%
37,多龙巴鲁托,54.78,0.05,46.96%,0.33%,6,17.94%
38,阿勃梭鲁,54.13,0.52,47.71%,0.29%,30,7.47%
39,岩殿居蟹,53.56,2.04,48.21%,0.7%,41,4.73%
40,爆肌蚊,53.32,-1.76,47.08%,-0.45%,22,10.41%
41,胖可丁,52.99,-1.63,47.8%,-0.62%,40,5.16%
42,胡帕,52.14,6.22,48.75%,1.14%,47,2.46%
43,烈箭鹰,50.42,-3.57,47.07%,-0.89%,38,5.76%
44,朽木妖,47.35,0.66,47.42%,0.21%,44,3.49%
45,皮可西,45.5,-2.39,46.17%,-0.67%,43,4.01%
46,快龙,40.42,-5.54,46.43%,-0.6%,46,2.76%
47,索罗亚克,40.32,-8.48,43.8%,-2.23%,36,6.08%
