排名,名称,排位指数,指数变化,单边获胜率,胜率变化,热度排名,选出率
1,魔墙人偶,67.93,1.29,53.53%,0.49%,16,13.02%
2,武道熊师,67.35,2.37,53.3%,0.89%,18,12.14%
3,勾魂眼,65.13,-0.77,52.21%,-0.26%,13,14.48%
4,白蓬蓬,65.04,-0.02,52.08%,0.0%,9,15.54%
5,怪力,64.05,1.51,52.15%,0.8%,24,9.75%
6,铝钢龙,63.98,-2.96,52.3%,-1.2%,35,7.05%
7,沙奈朵,63.64,1.23,51.2%,0.42%,2,22.8%
8,妖火红狐,63.58,0.09,51.59%,-0.04%,14,13.92%
9,班基拉斯,63.22,1.43,51.81%,0.79%,32,7.43%
10,嘟嘟利,62.67,0.78,51.33%,0.34%,27,9.06%
11,古月鸟,62.43,0.82,51.5%,0.51%,37,5.68%
12,梦幻,62.24,-2.47,51.05%,-1.16%,25,9.55%
13,藏饱栗鼠,62.15,0.45,51.47%,0.33%,42,3.42%
14,幸福蛋,61.81,0.13,50.73%,0.05%,15,13.9%
15,呆壳兽,61.57,-0.9,50.68%,-0.42%,8,15.82%
16,象牙猪,61.35,0.92,50.5%,0.34%,4,20.1%
17,巨钳螳螂,61.21,0.34,50.4%,0.09%,1,24.36%
18,仙子伊布,60.69,0.42,50.36%,0.22%,23,10.11%
19,妙蛙花,60.54,1.06,50.22%,0.51%,6,17.02%
20,甲贺忍蛙,60.41,0.87,50.14%,0.42%,3,21.07%
21,烈咬陆鲨,60.08,2.54,50.05%,0.79%,40,4.92%
22,卡比兽,59.92,1.03,49.96%,0.54%,17,12.21%
23,水箭龟,59.44,-0.62,49.73%,-0.3%,20,11.5%
24,阿罗拉九尾,59.18,1.71,49.6%,0.9%,19,11.75%
25,玛力露丽,59.08,-3.03,49.52%,-1.32%,12,14.82%
26,耿鬼,58.84,-0.37,49.45%,-0.16%,26,9.37%
27,冰伊布,58.17,0.96,49.26%,0.42%,28,8.64%
28,闪焰王牌,57.69,-1.31,48.67%,-0.78%,5,18.66%
29,甜冷美后,57.57,-1.21,49.03%,-0.47%,31,7.59%
30,坚盾剑怪,57.52,-1.01,49.05%,-0.36%,30,8.02%
31,皮卡丘,57.24,-0.32,48.53%,-0.17%,7,16.19%
32,喷火龙,57.14,-0.47,48.89%,-0.12%,34,7.08%
33,路卡利欧,56.97,0.44,48.56%,0.19%,21,11.49%
34,狙射树枭,56.88,0.58,48.33%,0.33%,11,14.99%
35,太阳伊布,56.42,-1.85,48.36%,-0.84%,22,11.06%
36,爆肌蚊,55.27,6.52,47.31%,0.58%,10,15.04%
37,胖可丁,55.11,-0.7,48.46%,-0.22%,39,5.3%
38,阿勃梭鲁,54.1,-0.01,47.57%,-0.03%,29,8.32%
39,捷拉奥拉,53.79,-0.25,47.63%,-0.13%,33,7.21%
40,岩殿居蟹,53.6,0.48,47.96%,0.11%,38,5.51%
41,烈箭鹰,53.51,1.6,47.75%,0.79%,36,6.55%
42,索罗亚克,47.61,-0.15,46.69%,0.4%,41,4.72%
43,快龙,45.97,-2.06,46.93%,-0.26%,43,3.36%
44,朽木妖,44.92,1.08,46.41%,-0.42%,44,3.35%
45,皮可西,44.6,0.25,46.83%,0.14%,45,3.07%
46,胡帕,44.59,-4.38,47.19%,-0.71%,46,2.63%
