排名,名称,排位指数,指数变化,单边获胜率,胜率变化,热度排名,选出率
1,呆壳兽,67.15,0.22,52.14%,0.08%,1,27.61%
2,沙奈朵,66.15,2.12,52.21%,0.71%,2,20.11%
3,班基拉斯,65.74,1.11,52.99%,0.63%,25,9.87%
4,白蓬蓬,64.61,0.53,52.47%,0.24%,29,9.36%
5,怪力,63.62,-1.74,51.78%,-0.77%,17,11.62%
6,妖火红狐,63.59,-3.51,51.47%,-1.32%,5,16.6%
7,铝钢龙,63.57,1.4,52.41%,0.93%,46,3.97%
8,勾魂眼,63.35,-1.03,51.69%,-0.59%,23,10.41%
9,武道熊师,62.53,-0.56,51.09%,-0.14%,6,15.84%
10,嘟嘟利,62.47,-2.65,51.23%,-1.22%,22,10.43%
11,藏饱栗鼠,62.3,-1.48,51.59%,-0.94%,47,3.78%
12,皮可西,61.95,-1.28,50.79%,-0.39%,10,14.35%
13,古月鸟,61.75,-1.3,51.07%,-0.76%,36,5.97%
14,烈咬陆鲨,61.45,1.31,50.93%,0.84%,42,5.04%
15,妙蛙花,61.32,1.65,50.51%,0.69%,3,18.95%
16,梦幻,61.29,-5.02,50.53%,-1.9%,13,12.75%
17,水箭龟,61.26,0.59,50.55%,0.25%,8,15.1%
18,仙子伊布,61.26,1.59,50.63%,0.78%,18,11.3%
19,魔墙人偶,61.06,-0.6,50.7%,-0.38%,44,4.88%
20,象牙猪,60.7,1.72,50.32%,0.85%,11,14.25%
21,幸福蛋,60.55,-0.67,50.3%,-0.32%,33,7.65%
22,喷火龙,60.55,3.0,50.33%,1.15%,39,5.6%
23,冰伊布,60.15,-1.46,50.07%,-0.68%,15,12.5%
24,甲贺忍蛙,59.11,1.21,49.47%,0.69%,4,17.46%
25,多龙巴鲁托,58.84,1.68,49.55%,0.68%,32,7.88%
26,太阳伊布,58.52,2.03,49.29%,0.95%,16,11.87%
27,皮卡丘,58.1,0.45,48.98%,0.18%,7,15.66%
28,闪焰王牌,57.96,-0.68,49.01%,-0.36%,20,11.2%
29,卡比兽,57.78,-3.67,48.96%,-1.74%,19,11.24%
30,坚盾剑怪,57.76,-1.52,48.96%,-0.7%,21,10.84%
31,玛力露丽,57.65,-0.44,48.98%,-0.21%,24,10.09%
32,胖可丁,57.63,-0.58,49.36%,-0.18%,45,4.18%
33,朽木妖,57.58,4.57,49.26%,1.35%,40,5.21%
34,耿鬼,57.49,0.6,48.86%,0.24%,31,7.95%
35,狙射树枭,57.42,2.26,48.66%,1.1%,12,14.11%
36,阿罗拉九尾,56.71,0.94,48.79%,0.26%,35,7.28%
37,烈箭鹰,56.53,0.14,48.43%,0.01%,26,9.78%
38,花疗环环,56.38,1.76,48.02%,1.14%,9,14.58%
39,阿勃梭鲁,56.01,1.32,48.25%,0.43%,27,9.62%
40,路卡利欧,55.82,-0.81,48.18%,-0.32%,27,9.62%
41,岩殿居蟹,55.78,4.94,48.66%,1.23%,38,5.68%
42,巨钳螳螂,55.67,1.07,47.89%,0.53%,14,12.6%
43,胡帕,55.44,-4.56,48.61%,-1.39%,43,5.03%
44,甜冷美后,54.52,-1.06,48.28%,-0.3%,37,5.85%
45,捷拉奥拉,54.08,0.28,47.73%,-0.08%,34,7.55%
46,爆肌蚊,53.62,1.98,47.54%,0.69%,30,8.17%
47,快龙,50.59,4.54,47.84%,0.79%,48,2.76%
48,索罗亚克,47.06,-1.2,46.31%,-0.36%,41,5.18%
