排名,名称,使用人数,使用率,使用率变化,胜场数,胜率
1,梦幻,68,22.64%,7.09%,743,72.56%
2,苍响,61,16.34%,5.21%,514,69.55%
3,千面避役,75,12.34%,-3.53%,407,72.94%
4,武道熊师,45,9.4%,3.26%,298,70.12%
5,皮可西,43,8.23%,2.39%,259,69.62%
6,谜拟丘,45,7.85%,-1.6%,244,68.73%
7,索罗亚克,53,7.61%,0.19%,225,65.41%
8,胡帕,43,7.36%,1.34%,229,68.77%
9,月亮伊布,47,5.33%,2.0%,173,71.78%
10,冰伊布,49,5.29%,-4.11%,160,66.95%
11,嘟嘟利,46,4.58%,0.85%,139,67.15%
12,火焰鸡,34,3.98%,-0.58%,131,72.78%
13,爆肌蚊,31,3.76%,1.61%,109,64.12%
14,水箭龟,51,3.74%,-1.14%,114,67.46%
15,朽木妖,45,3.56%,-1.27%,124,77.02%
16,卡比兽,37,3.47%,-0.04%,103,65.61%
17,呆壳兽,38,3.23%,0.09%,108,73.97%
18,妙蛙花,41,2.45%,-1.59%,72,64.86%
19,叶伊布,25,2.37%,0.4%,73,68.22%
20,勾魂眼,13,2.26%,-0.14%,69,67.65%
21,超梦Y,14,2.01%,1.01%,64,70.33%
22,拉普拉斯,33,1.75%,-0.69%,59,74.68%
23,阿勃梭鲁,17,1.59%,0.38%,46,63.89%
23,岩殿居蟹,23,1.59%,0.03%,52,72.22%
25,太阳伊布,23,1.57%,0.84%,54,76.06%
26,花疗环环,26,1.33%,-0.11%,43,71.67%
27,幸福蛋,19,1.26%,-0.47%,39,68.42%
28,路卡利欧,27,1.24%,-0.12%,32,57.14%
29,坚盾剑怪,21,1.13%,0.31%,35,68.63%
30,狙射树枭,18,1.02%,-0.42%,35,76.09%
31,烈箭鹰,19,0.88%,-0.01%,26,65.0%
32,快龙,15,0.86%,-0.03%,22,56.41%
33,水晶灯火灵,14,0.82%,-2.17%,23,62.16%
34,妖火红狐,18,0.8%,-0.58%,22,61.11%
35,阿罗拉九尾,11,0.73%,0.23%,27,81.82%
36,捷拉奥拉,11,0.71%,0.3%,22,68.75%
37,烈咬陆鲨,17,0.69%,0.14%,25,80.65%
38,喷火龙,14,0.66%,-0.47%,23,76.67%
39,皮卡丘,14,0.64%,-0.28%,21,72.41%
40,魔墙人偶,11,0.6%,0.17%,17,62.96%
40,白蓬蓬,16,0.6%,-0.68%,20,74.07%
40,甲贺忍蛙,13,0.6%,0.05%,18,66.67%
43,黏美龙,8,0.55%,0.05%,17,68.0%
44,闪焰王牌,11,0.53%,0.15%,15,62.5%
45,仙子伊布,11,0.51%,0.27%,18,78.26%
46,甜冷美后,10,0.49%,0.03%,15,68.18%
47,沙奈朵,13,0.46%,-0.38%,19,90.48%
48,古月鸟,9,0.4%,0.17%,11,61.11%
49,超梦X,12,0.38%,-1.03%,14,82.35%
49,玛力露丽,9,0.38%,0.19%,12,70.59%
51,巨钳螳螂,12,0.35%,0.07%,9,56.25%
52,耿鬼,7,0.33%,-0.05%,11,73.33%
53,多龙巴鲁托,5,0.27%,-0.01%,10,83.33%
53,怪力,10,0.27%,-0.45%,6,50.0%
55,象牙猪,7,0.24%,-0.03%,8,72.73%
56,班基拉斯,7,0.2%,-0.03%,8,88.89%
57,藏饱栗鼠,2,0.13%,0.06%,4,66.67%
58,胖可丁,4,0.09%,-0.05%,2,50.0%
58,铝钢龙,3,0.09%,-0.06%,2,50.0%
