排名,名称,排位指数,指数变化,单边获胜率,胜率变化,热度排名,选出率
1,魔墙人偶,111.68,7.49,58.16%,-0.01%,1,52.8%
2,梦幻,95.68,-3.69,56.21%,-1.57%,2,41.66%
3,嘟嘟利,73.89,1.94,54.44%,-0.35%,7,18.12%
4,铝钢龙,64.51,-0.79,52.5%,-0.65%,23,7.98%
5,坚盾剑怪,63.57,-2.71,51.21%,-1.05%,5,20.05%
6,班基拉斯,63.54,-2.03,51.86%,-1.02%,21,9.75%
7,甜冷美后,63.09,-1.83,51.35%,-0.81%,11,14.83%
8,藏饱栗鼠,62.88,1.0,52.06%,0.81%,40,3.58%
9,喷火龙,62.38,1.09,50.94%,0.47%,10,16.47%
10,古月鸟,60.42,5.79,50.28%,2.02%,37,4.22%
11,玛力露丽,60.08,-4.22,50.03%,-1.44%,4,21.68%
12,象牙猪,60.0,1.29,50.0%,0.6%,14,13.06%
13,冰伊布,59.2,-0.95,49.6%,-0.47%,15,12.7%
14,阿勃梭鲁,59.15,0.71,49.5%,0.43%,6,19.27%
15,耿鬼,58.99,-0.22,49.42%,-0.11%,8,17.27%
16,怪力,58.21,1.99,49.32%,0.79%,25,7.19%
17,路卡利欧,58.07,1.09,49.09%,0.43%,16,11.69%
18,甲贺忍蛙,57.74,0.03,48.73%,0.08%,9,16.51%
19,闪焰王牌,57.69,2.04,48.89%,1.16%,19,11.24%
20,快龙,57.51,-2.2,49.29%,-0.62%,36,4.28%
21,巨钳螳螂,57.07,-2.29,48.2%,-1.38%,3,24.1%
22,卡比兽,57.07,0.22,48.66%,0.14%,20,10.06%
23,幸福蛋,56.75,-1.65,48.62%,-0.63%,22,8.37%
24,妖火红狐,55.9,-3.93,48.07%,-1.85%,17,11.5%
25,捷拉奥拉,54.65,4.26,48.12%,2.16%,27,6.87%
26,皮卡丘,54.15,-2.21,47.06%,-1.07%,13,14.01%
27,烈咬陆鲨,54.15,5.45,48.91%,4.1%,41,2.44%
28,狙射树枭,54.13,-2.89,47.2%,-1.33%,18,11.4%
29,呆壳兽,53.19,-1.49,47.55%,-0.37%,24,7.76%
30,水箭龟,53.19,1.46,47.67%,0.85%,30,5.71%
31,朽木妖,52.85,-1.73,47.7%,-0.32%,33,5.2%
32,烈箭鹰,52.06,5.26,47.35%,2.67%,29,5.99%
33,岩殿居蟹,51.87,3.86,47.97%,1.87%,38,4.11%
34,沙奈朵,51.79,0.36,47.27%,0.22%,32,5.22%
35,仙子伊布,51.77,-2.44,47.55%,-0.35%,35,5.03%
36,胖可丁,51.36,0.05,47.5%,0.57%,31,5.24%
37,皮可西,49.48,-6.92,44.28%,-3.62%,12,14.61%
38,白蓬蓬,48.99,2.07,48.13%,4.12%,42,2.04%
39,阿罗拉九尾,48.86,-2.12,46.89%,-0.1%,34,5.18%
40,爆肌蚊,47.92,-5.14,46.24%,-1.26%,28,6.04%
41,太阳伊布,47.84,-5.86,45.69%,-1.77%,26,7.04%
42,妙蛙花,41.7,-0.36,45.46%,1.49%,39,4.03%
43,胡帕,-24.05,-32.49,42.72%,-2.27%,43,1.33%
