排名,名称,使用人数,使用率,使用率变化,胜场数,胜率
1,武道熊师,104,8.98%,1.34%,677,75.73%
2,甜冷美后,83,8.28%,1.21%,658,79.76%
3,坚盾剑怪,86,7.67%,7.1%,601,78.66%
4,幸福蛋,95,6.63%,3.54%,518,78.48%
5,苍响,82,6.55%,5.59%,507,77.76%
6,苍炎刃鬼,89,5.74%,0.71%,414,72.38%
7,甲贺忍蛙,97,5.49%,2.0%,390,71.3%
8,索罗亚克,96,5.14%,0.54%,370,72.27%
9,阿勃梭鲁,69,4.64%,-0.1%,350,75.76%
10,火焰鸡,84,4.32%,0.85%,329,76.51%
11,烈咬陆鲨,82,4.31%,-1.99%,323,75.29%
12,密勒顿,88,4.05%,-2.75%,298,73.95%
13,超梦Y,70,3.82%,-1.5%,305,80.05%
14,路卡利欧,66,3.46%,1.76%,250,72.46%
15,可达鸭,62,3.28%,0.29%,276,84.4%
16,达克莱伊,51,2.92%,0.34%,218,74.91%
17,闪焰王牌,52,2.79%,1.82%,198,71.22%
18,千面避役,51,2.77%,-0.31%,199,72.1%
19,月亮伊布,88,2.7%,-2.51%,201,74.72%
20,嘟嘟利,79,2.64%,-2.41%,194,73.76%
21,谜拟丘,73,2.6%,-1.82%,191,73.75%
22,白蓬蓬,48,2.59%,-0.95%,202,78.29%
23,花疗环环,49,2.45%,1.93%,167,68.44%
24,巨钳螳螂,65,2.4%,-1.2%,173,72.38%
25,朽木妖,67,2.37%,0.1%,177,75.0%
25,爆肌蚊,69,2.37%,-2.23%,168,71.19%
27,怪力,74,2.27%,-0.2%,175,77.43%
28,水箭龟,58,2.15%,-1.34%,162,75.7%
29,叶伊布,56,1.98%,-1.74%,137,69.54%
30,狙射树枭,39,1.59%,0.57%,110,69.62%
31,卡比兽,55,1.51%,-0.99%,117,78.0%
32,冰伊布,49,1.5%,-1.04%,119,79.87%
33,巨锻匠,36,1.46%,-5.66%,118,81.38%
34,烈箭鹰,37,1.4%,0.31%,88,63.31%
35,沙奈朵,43,1.35%,-0.01%,98,73.13%
36,胡帕,39,1.32%,-2.13%,105,80.15%
37,梦幻,44,1.13%,-1.09%,90,79.65%
38,象牙猪,47,1.04%,-0.7%,73,70.19%
38,耿鬼,30,1.04%,-0.79%,67,64.42%
40,皮可西,37,1.01%,-0.94%,77,76.24%
41,巨金怪,45,0.98%,-2.03%,69,70.41%
42,魔幻假面喵,21,0.97%,-0.98%,80,82.47%
43,呆壳兽,46,0.93%,-0.29%,69,74.19%
44,妖火红狐,23,0.89%,-0.63%,74,83.15%
45,太阳伊布,51,0.87%,-0.51%,64,73.56%
46,魔墙人偶,32,0.79%,0.32%,70,88.61%
47,皮卡丘,44,0.77%,-0.56%,58,75.32%
48,多龙巴鲁托,23,0.69%,0.58%,46,66.67%
49,捷拉奥拉,32,0.68%,-0.07%,44,64.71%
50,黏美龙,30,0.58%,0.47%,44,75.86%
51,红莲铠骑,21,0.56%,-0.37%,46,82.14%
52,藏饱栗鼠,19,0.54%,-0.25%,42,77.78%
53,暴鲤龙,22,0.52%,-0.63%,35,67.31%
54,阿罗拉九尾,20,0.51%,-0.46%,33,64.71%
55,快龙,23,0.5%,0.23%,41,82.0%
56,妙蛙花,24,0.48%,-0.58%,34,70.83%
57,岩殿居蟹,26,0.47%,-0.32%,39,82.98%
58,胖可丁,24,0.46%,0.26%,35,76.09%
59,仙子伊布,25,0.3%,-0.33%,22,73.33%
60,凤王,16,0.29%,-0.23%,25,86.21%
61,玛力露丽,16,0.28%,0.21%,19,67.86%
62,水晶灯火灵,19,0.25%,-0.75%,17,68.0%
63,勾魂眼,9,0.23%,-0.25%,18,78.26%
64,喷火龙,14,0.22%,-0.44%,15,68.18%
65,班基拉斯,15,0.21%,-0.22%,17,80.95%
66,拉普拉斯,11,0.2%,0.02%,12,60.0%
67,超梦X,9,0.15%,-0.05%,9,60.0%
68,古月鸟,10,0.12%,-0.13%,9,75.0%
69,列阵兵,6,0.08%,-0.55%,5,62.5%
70,铝钢龙,2,0.02%,-0.03%,1,50.0%
