排名,名称,使用人数,使用率,使用率变化,胜场数,胜率
1,梦幻,62,24.8%,-8.24%,1131,75.5%
2,魔墙人偶,69,24.67%,-5.84%,1098,73.69%
3,嘟嘟利,48,20.28%,2.71%,911,74.37%
4,索罗亚克,38,13.25%,8.56%,569,71.12%
5,甜冷美后,39,11.41%,-0.15%,515,74.75%
6,坚盾剑怪,37,8.61%,-3.42%,398,76.54%
7,玛力露丽,34,5.91%,0.53%,259,72.55%
8,路卡利欧,48,5.58%,0.16%,239,70.92%
9,妙蛙花,52,5.2%,1.12%,212,67.52%
10,冰伊布,25,4.55%,-1.07%,206,74.91%
11,巨钳螳螂,24,3.71%,1.55%,163,72.77%
12,烈咬陆鲨,15,3.63%,2.45%,162,73.97%
13,妖火红狐,30,3.51%,0.84%,147,69.34%
14,白蓬蓬,27,3.38%,2.0%,139,68.14%
15,幸福蛋,27,3.11%,0.04%,135,71.81%
16,象牙猪,29,3.1%,0.88%,139,74.33%
17,甲贺忍蛙,32,2.81%,-0.52%,133,78.24%
18,阿罗拉九尾,21,2.72%,2.49%,113,68.9%
19,卡比兽,24,2.52%,-0.8%,110,72.37%
20,怪力,21,2.09%,0.25%,77,61.11%
21,喷火龙,24,1.64%,-0.86%,74,74.75%
22,胡帕,18,1.41%,0.59%,57,67.06%
23,皮卡丘,22,1.32%,0.71%,44,55.0%
24,皮可西,13,1.29%,0.19%,56,71.79%
25,耿鬼,11,1.11%,-3.81%,46,68.66%
26,班基拉斯,17,1.01%,-0.05%,39,63.93%
27,岩殿居蟹,8,0.88%,0.74%,38,71.7%
28,闪焰王牌,18,0.78%,-0.04%,29,61.7%
29,阿勃梭鲁,15,0.75%,-4.62%,30,66.67%
30,呆壳兽,13,0.71%,-0.29%,29,67.44%
31,沙奈朵,9,0.58%,0.12%,22,62.86%
32,烈箭鹰,11,0.55%,0.08%,24,72.73%
32,爆肌蚊,11,0.55%,-0.15%,21,63.64%
34,快龙,14,0.4%,-0.55%,18,75.0%
35,胖可丁,12,0.38%,-0.71%,14,60.87%
36,古月鸟,9,0.31%,0.05%,10,52.63%
37,铝钢龙,9,0.3%,-0.25%,15,83.33%
37,藏饱栗鼠,11,0.3%,-0.92%,11,61.11%
37,水箭龟,8,0.3%,0.07%,14,77.78%
40,捷拉奥拉,6,0.28%,-0.21%,11,64.71%
40,朽木妖,10,0.28%,-0.42%,9,52.94%
42,太阳伊布,7,0.26%,0.2%,10,62.5%
43,仙子伊布,7,0.25%,0.07%,10,66.67%
44,狙射树枭,10,0.23%,-0.28%,9,64.29%
