排名,名称,使用人数,使用率,使用率变化,胜场数,胜率
1,魔幻假面喵,81,11.43%,-8.35%,536,70.71%
2,阿勃梭鲁,95,11.3%,-3.82%,540,72.1%
3,烈箭鹰,108,10.92%,-2.47%,501,69.2%
4,耿鬼,74,8.19%,-4.11%,390,71.82%
5,水君,35,7.12%,-0.54%,339,71.82%
6,坚盾剑怪,72,5.84%,1.86%,249,64.34%
7,甜冷美后,52,5.67%,3.93%,272,72.34%
8,卡比兽,72,5.58%,-6.42%,250,67.57%
9,千面避役,63,4.95%,3.28%,228,69.51%
10,幸福蛋,48,4.55%,2.0%,218,72.19%
11,火焰鸡,64,4.49%,0.66%,205,68.79%
12,苍响,45,3.69%,-0.57%,168,68.57%
13,月亮伊布,51,3.24%,1.33%,152,70.7%
14,怪力,52,2.84%,1.18%,125,66.49%
15,甲贺忍蛙,51,2.82%,1.1%,128,68.45%
16,可达鸭,41,2.79%,0.29%,140,75.68%
17,捷拉奥拉,48,2.67%,-1.36%,120,67.8%
18,胡帕,31,2.52%,1.84%,125,74.85%
19,索罗亚克,51,2.47%,0.69%,106,64.63%
20,烈咬陆鲨,46,2.43%,1.71%,123,76.4%
21,苍炎刃鬼,44,2.32%,0.98%,107,69.48%
22,叶伊布,36,2.19%,1.08%,103,71.03%
23,武道熊师,40,2.08%,1.74%,93,67.39%
24,朽木妖,38,1.98%,0.25%,99,75.57%
25,超梦Y,40,1.89%,1.31%,81,64.8%
26,路卡利欧,47,1.82%,-0.05%,78,64.46%
27,巨钳螳螂,31,1.69%,1.12%,82,73.21%
28,水箭龟,42,1.67%,0.23%,73,65.77%
29,谜拟丘,50,1.6%,0.33%,68,64.15%
30,凤王,26,1.51%,0.74%,77,77.0%
31,梦幻,28,1.48%,0.54%,69,70.41%
32,花疗环环,34,1.42%,-0.15%,67,71.28%
33,象牙猪,32,1.28%,0.73%,62,72.94%
34,冰伊布,31,1.27%,0.47%,64,76.19%
35,密勒顿,28,1.24%,0.96%,53,64.63%
36,闪焰王牌,37,1.22%,-0.13%,58,71.6%
37,皮卡丘,22,1.18%,0.28%,48,61.54%
38,皮可西,25,1.13%,-0.43%,55,73.33%
39,巨金怪,37,1.04%,0.43%,48,69.57%
40,白蓬蓬,19,1.0%,0.32%,50,75.76%
41,嘟嘟利,35,0.94%,0.69%,40,64.52%
42,沙奈朵,19,0.83%,0.1%,27,49.09%
43,爆肌蚊,30,0.8%,-0.3%,32,60.38%
44,暴鲤龙,24,0.66%,0.44%,36,81.82%
45,达克莱伊,21,0.62%,0.34%,28,68.29%
45,太阳伊布,27,0.62%,-0.13%,30,73.17%
45,妙蛙花,18,0.62%,0.15%,30,73.17%
48,呆壳兽,25,0.56%,-0.04%,26,70.27%
48,班基拉斯,13,0.56%,0.27%,26,70.27%
50,阿罗拉九尾,20,0.53%,0.36%,27,77.14%
51,红莲铠骑,20,0.47%,0.15%,23,74.19%
52,巨锻匠,13,0.42%,0.23%,21,75.0%
52,胖可丁,13,0.42%,-0.34%,22,78.57%
54,岩殿居蟹,13,0.33%,0.07%,15,68.18%
55,狙射树枭,14,0.32%,-0.14%,14,66.67%
56,勾魂眼,7,0.3%,-0.51%,14,70.0%
57,魔墙人偶,17,0.29%,0.13%,15,78.95%
57,快龙,11,0.29%,-0.1%,11,57.89%
57,妖火红狐,13,0.29%,-0.02%,16,84.21%
60,喷火龙,16,0.27%,-0.05%,12,66.67%
61,玛力露丽,9,0.23%,0.06%,10,66.67%
62,古月鸟,10,0.21%,-0.18%,9,64.29%
63,仙子伊布,5,0.18%,0.1%,11,91.67%
64,多龙巴鲁托,9,0.14%,-0.0%,8,88.89%
64,列阵兵,4,0.14%,0.04%,7,77.78%
66,超梦X,6,0.12%,0.07%,5,62.5%
67,拉普拉斯,7,0.11%,-0.0%,5,71.43%
67,水晶灯火灵,7,0.11%,-0.02%,5,71.43%
69,藏饱栗鼠,3,0.05%,0.03%,3,100.0%
69,黏美龙,3,0.05%,-0.07%,2,66.67%
71,铝钢龙,1,0.02%,0.0%,1,100.0%
71,伽勒尔烈焰马,1,0.02%,-0.04%,1,100.0%
