排名,名称,使用人数,使用率,使用率变化,胜场数,胜率
1,苍响,71,39.13%,5.51%,2583,74.01%
2,花疗环环,74,18.13%,0.3%,1166,72.11%
3,拉普拉斯,77,14.32%,0.3%,921,72.12%
4,呆壳兽,71,8.25%,0.64%,532,72.28%
5,索罗亚克,52,7.75%,0.4%,472,68.31%
6,嘟嘟利,57,6.83%,1.87%,438,71.92%
7,勾魂眼,34,6.32%,-0.52%,411,72.87%
8,武道熊师,56,5.96%,-0.18%,399,75.0%
9,太阳伊布,80,5.52%,-1.24%,343,69.72%
10,妖火红狐,52,3.39%,-0.04%,224,74.17%
11,冰伊布,38,3.16%,1.72%,186,65.96%
12,水晶灯火灵,19,2.78%,0.0%,157,63.31%
13,捷拉奥拉,11,2.56%,2.47%,172,75.44%
14,梦幻,40,2.44%,-0.42%,148,67.89%
15,古月鸟,22,2.37%,-1.38%,145,68.72%
15,水箭龟,34,2.37%,1.07%,155,73.46%
17,沙奈朵,32,2.28%,-1.33%,154,75.86%
18,怪力,45,1.91%,-0.72%,123,72.35%
19,狙射树枭,20,1.51%,0.39%,97,71.85%
20,朽木妖,35,1.39%,0.71%,107,86.29%
21,路卡利欧,30,1.2%,0.37%,75,70.09%
22,巨钳螳螂,24,1.15%,0.03%,71,68.93%
22,皮可西,17,1.15%,0.39%,79,76.7%
24,仙子伊布,31,1.14%,-0.16%,67,65.69%
25,妙蛙花,20,1.08%,-0.05%,67,69.79%
26,爆肌蚊,25,1.03%,0.23%,56,60.87%
27,卡比兽,17,0.68%,0.39%,40,65.57%
28,甲贺忍蛙,22,0.66%,-0.43%,37,62.71%
29,喷火龙,24,0.59%,0.09%,44,83.02%
30,胡帕,17,0.55%,0.08%,32,65.31%
31,魔墙人偶,12,0.41%,-0.09%,26,70.27%
31,闪焰王牌,20,0.41%,-0.21%,24,64.86%
33,白蓬蓬,11,0.38%,-0.42%,20,58.82%
33,阿勃梭鲁,15,0.38%,-0.42%,22,64.71%
35,多龙巴鲁托,12,0.36%,-0.67%,22,68.75%
36,藏饱栗鼠,14,0.31%,0.08%,17,60.71%
37,烈箭鹰,15,0.3%,-0.49%,18,66.67%
37,皮卡丘,13,0.3%,-0.17%,19,70.37%
39,幸福蛋,16,0.29%,-0.39%,12,46.15%
39,铝钢龙,2,0.29%,0.2%,18,69.23%
41,耿鬼,13,0.28%,-0.01%,18,72.0%
41,坚盾剑怪,14,0.28%,0.04%,17,68.0%
43,黏美龙,8,0.26%,0.17%,13,56.52%
44,烈咬陆鲨,15,0.25%,0.1%,18,81.82%
45,甜冷美后,11,0.2%,0.11%,13,72.22%
46,快龙,7,0.16%,-0.05%,9,64.29%
47,班基拉斯,8,0.11%,0.02%,5,50.0%
48,岩殿居蟹,5,0.08%,-0.22%,3,42.86%
48,玛力露丽,5,0.08%,0.05%,4,57.14%
50,象牙猪,4,0.07%,-0.14%,3,50.0%
50,胖可丁,5,0.07%,-0.14%,5,83.33%
52,阿罗拉九尾,3,0.03%,-0.05%,1,33.33%
