,一共游戏场数,6251
,,预知未来	瞬间移动	逃脱按键,113,75.33%,6
,,精神击破	自我再生	速度强化,64,82.05%,5
,,精神击破	自我再生	伤药	,55,78.57%,7
,,预知未来	自我再生	万灵药,24,85.71%,6
,,精神击破	自我再生	逃脱按键,22,81.48%,8
,,预知未来	自我再生	逃脱按键,20,83.33%,10
,,精神击破	自我再生	万灵药,12,66.67%,6
,,精神击破	瞬间移动	逃脱按键,10,76.92%,3
,,精神击破	瞬间移动	万灵药,5,71.43%,2
,,预知未来	自我再生	伤药	,5,71.43%,4
,,预知未来	瞬间移动	万灵药,1,100.0%,1
,,精神击破	瞬间移动	速度强化,1,50.0%,2
,,预知未来	自我再生	速度强化,1,50.0%,2
,,精神击破	瞬间移动	伤药	,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,力量头带	弱点保险	气势头带,19,79.17%,8
,,力量头带	焦点镜	锐利之爪,60,75.0%,4
,,力量头带	气势头带	猛攻哑铃,15,83.33%,3
,,力量头带	弱点保险	猛攻哑铃,9,90.0%,3
,,力量头带	弱点保险	焦点镜,6,60.0%,3
,,力量头带	弱点保险	锐利之爪,72,76.6%,2
,,弱点保险	气势头带	猛攻哑铃,23,82.14%,2
,,学习装置	弱点保险	气势头带,4,57.14%,2
,,力量头带	学习装置	气势头带,2,66.67%,2
,,力量头带	气势头带	焦点镜,2,50.0%,2
,,咒术手镯	弱点保险	轻石,44,80.0%,1
,,亿奥斯饼干	学习装置	气势头带,33,86.84%,1
,,力量头带	咒术手镯	弱点保险,19,90.48%,1
,,亿奥斯饼干	弱点保险	猛攻哑铃,15,75.0%,1
,,力量头带	弱点保险	连打围巾,6,85.71%,1
,,力量头带	咒术手镯	气势头带,4,57.14%,1
,,咒术手镯	学习装置	气势头带,0,0.0%,1
,,学习装置	气势头带	焦点镜,0,0.0%,1
6,索罗亚克,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,53,5.49%,232,67.64%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,亞樹,41,70.69%
,,DdL_N'shiro_,28,68.29%
,,UpperHandYT,13,92.86%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,暗袭要害	居合劈	万灵药,138,67.65%,36
,,出奇一击	暗影爪	万灵药,65,66.33%,16
,,暗袭要害	暗影爪	万灵药,10,66.67%,8
,,暗袭要害	居合劈	伤药	,5,100.0%,1
,,暗袭要害	居合劈	速度强化,5,83.33%,1
,,出奇一击	居合劈	速度强化,2,100.0%,1
,,暗袭要害	居合劈	逃脱按键,2,66.67%,1
,,出奇一击	居合劈	万灵药,2,40.0%,5
,,出奇一击	居合劈	伤药	,1,100.0%,1
,,暗袭要害	居合劈	攻击强化,1,100.0%,1
,,出奇一击	居合劈	逃脱按键,1,50.0%,1
,,出奇一击	暗影爪	逃脱按键,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,弱点保险	气势头带	猛攻哑铃,111,69.81%,24
,,力量头带	连打围巾	锐利之爪,49,67.12%,7
,,弱点保险	猛攻哑铃	锐利之爪,21,70.0%,5
,,力量头带	弱点保险	锐利之爪,7,63.64%,4
,,弱点保险	猛攻哑铃	轻石,7,53.85%,4
,,亿奥斯饼干	弱点保险	猛攻哑铃,14,87.5%,2
,,弱点保险	猛攻哑铃	能量增幅器,10,66.67%,2
,,亿奥斯饼干	猛攻哑铃	轻石,7,53.85%,1
,,力量头带	弱点保险	连打围巾,3,60.0%,1
,,气势头带	猛攻哑铃	轻石,2,33.33%,1
,,猛攻哑铃	能量增幅器	轻石,1,100.0%,1
,,咒术手镯	猛攻哑铃	轻石,0,0.0%,1
7,皮可西,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,39,4.59%,207,72.13%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,QMZ,47,78.33%
,,MYSヤMangchi,18,81.82%
,,Rise/demon鬼,16,66.67%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,月光		重力		速度强化,137,72.87%,30
,,月光		看我嘛	速度强化,39,67.24%,26
,,月光		重力		逃脱按键,19,79.17%,4
,,月光		看我嘛	逃脱按键,8,80.0%,3
,,月光		重力		脱壳忍者玩偶,2,100.0%,1
,,月光		看我嘛	脱壳忍者玩偶,1,50.0%,1
,,吸取之吻	看我嘛	逃脱按键,1,33.33%,2
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,学习装置	救援屏障	进击眼镜,49,65.33%,12
,,博识眼镜	学习装置	进击眼镜,37,80.43%,11
,,博识眼镜	学习装置	气势头带,35,74.47%,5
,,学习装置	气势头带	进击眼镜,24,72.73%,4
,,博识眼镜	学习装置	援助头巾,51,77.27%,2
,,学习装置	贝壳之铃	进击眼镜,6,75.0%,1
,,学习装置	能量增幅器	进击眼镜,1,50.0%,1
,,穿透汤匙	能量增幅器	进击眼镜,1,25.0%,1
,,学习装置	援助头巾	进击眼镜,0,0.0%,1
8,卡比兽,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,40,4.46%,210,75.27%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,竜舞青龍,75,76.53%
,,9Lana,19,86.36%
,,PikaDiff_TTV,16,94.12%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,重磅冲撞	哈欠		逃脱按键,167,73.25%,30
,,重磅冲撞	哈欠		速度强化,22,81.48%,5
,,重磅冲撞	挡路		速度强化,9,81.82%,2
,,重磅冲撞	挡路		逃脱按键,8,88.89%,8
,,抓狂		哈欠		速度强化,2,100.0%,2
,,抓狂		哈欠		逃脱按键,1,100.0%,1
,,重磅冲撞	挡路		伤药	,1,100.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,学习装置	救援屏障	气势头带,199,75.67%,35
,,学习装置	气势头带	轻石,10,76.92%,2
,,力量头带	焦点镜	连打围巾,1,100.0%,1
,,学习装置	得分护盾	气势头带,0,0.0%,1
,,亿奥斯饼干	学习装置	气势头带,0,0.0%,1
9,火焰鸡,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,45,4.05%,178,70.36%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,DarkBluTTV,36,83.72%
,,JuanEnriqueM,12,75.0%
,,4lbert_w,11,64.71%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,火焰拳	真气弹	逃脱按键,92,76.67%,32
,,过热		火焰踢	逃脱按键,80,65.04%,31
,,火焰拳	真气弹	万灵药,5,62.5%,2
,,过热		火焰踢	万灵药,1,50.0%,1
