排名,名称,排位指数,指数变化,单边获胜率,胜率变化,热度排名,选出率
1,魔墙人偶,104.19,9.78,58.17%,1.36%,1,43.12%
2,梦幻,99.37,16.72,57.78%,2.86%,2,33.03%
3,嘟嘟利,71.95,8.24,54.79%,3.18%,15,12.29%
4,坚盾剑怪,66.28,2.95,52.26%,1.12%,9,17.86%
5,班基拉斯,65.57,1.23,52.88%,0.62%,22,9.17%
6,铝钢龙,65.3,0.36,53.15%,0.21%,32,6.23%
7,甜冷美后,64.92,-1.25,52.16%,-0.33%,11,14.0%
8,玛力露丽,64.31,3.91,51.47%,1.35%,4,21.02%
9,藏饱栗鼠,61.88,-2.89,51.25%,-1.91%,42,3.37%
10,喷火龙,61.29,-3.43,50.47%,-1.17%,7,19.23%
11,冰伊布,60.15,-0.39,50.07%,-0.16%,14,12.5%
12,妖火红狐,59.84,3.18,49.92%,1.53%,17,11.53%
13,快龙,59.71,-2.74,49.91%,-1.55%,39,4.95%
14,巨钳螳螂,59.37,24.65,49.58%,10.44%,3,27.88%
15,耿鬼,59.21,-2.31,49.53%,-1.01%,8,19.08%
16,象牙猪,58.71,-0.93,49.4%,-0.43%,16,11.61%
17,阿勃梭鲁,58.44,-0.19,49.07%,-0.12%,5,20.46%
18,幸福蛋,58.41,-0.56,49.25%,-0.21%,21,9.23%
19,甲贺忍蛙,57.7,-1.67,48.65%,-0.98%,6,19.38%
20,狙射树枭,57.02,1.74,48.53%,0.89%,18,11.18%
21,路卡利欧,56.98,-0.34,48.66%,-0.05%,20,9.97%
22,卡比兽,56.85,-3.13,48.52%,-1.47%,19,10.55%
23,皮可西,56.41,0.0,47.9%,0.0%,13,12.79%
24,皮卡丘,56.36,-1.56,48.13%,-0.76%,10,14.57%
25,怪力,56.22,-4.02,48.53%,-1.6%,27,7.58%
26,闪焰王牌,55.65,-2.84,47.73%,-1.54%,12,13.23%
27,呆壳兽,54.68,-0.05,47.92%,0.18%,24,7.91%
28,古月鸟,54.63,-4.15,48.26%,-1.34%,38,5.1%
29,朽木妖,54.58,-0.11,48.02%,0.03%,36,5.92%
30,仙子伊布,54.22,-2.51,47.9%,-0.96%,30,6.47%
31,太阳伊布,53.7,-0.1,47.46%,0.07%,25,7.72%
32,爆肌蚊,53.05,-0.98,47.5%,0.11%,29,6.65%
33,水箭龟,51.73,-3.24,46.82%,-1.13%,28,7.25%
34,沙奈朵,51.43,0.51,47.05%,0.09%,34,6.14%
35,胖可丁,51.31,-3.25,46.93%,-0.98%,31,6.24%
36,阿罗拉九尾,50.98,-2.32,46.99%,-0.83%,33,6.15%
37,捷拉奥拉,50.38,-3.17,45.96%,-1.65%,23,8.27%
38,烈咬陆鲨,48.7,-7.08,44.81%,-4.42%,40,4.26%
39,岩殿居蟹,48.01,-0.44,46.1%,-0.69%,37,5.14%
40,白蓬蓬,46.92,-4.3,44.01%,-4.15%,41,3.91%
41,烈箭鹰,46.8,-6.68,44.68%,-2.78%,26,7.65%
42,妙蛙花,42.06,0.16,43.97%,-0.47%,35,5.98%
43,胡帕,8.44,9.9,44.99%,0.64%,43,1.28%
