排名,名称,排位指数,指数变化,单边获胜率,胜率变化,热度排名
1,魔墙人偶,124.61,-19.73,58.56%,-2.87%,1
2,冰伊布,67.94,10.56,52.23%,3.69%,3
3,古月鸟,67.39,-2.43,52.93%,-0.89%,15
4,喷火龙,66.81,1.78,52.55%,0.34%,8
5,梦幻,66.48,7.01,51.22%,1.54%,2
6,坚盾剑怪,62.25,2.64,50.75%,0.96%,6
7,班基拉斯,62.19,-2.2,51.02%,-0.53%,13
8,耿鬼,62.18,-1.71,50.71%,-0.63%,4
9,铝钢龙,61.73,-0.57,51.17%,-0.34%,35
10,甜冷美后,61.72,-1.42,50.76%,-0.49%,9
11,藏饱栗鼠,61.31,-0.7,50.81%,-0.36%,31
12,阿勃梭鲁,59.84,2.4,49.9%,1.29%,5
13,怪力,59.62,-2.33,49.82%,-1.06%,17
14,仙子伊布,59.38,-0.19,49.78%,-0.05%,27
15,卡比兽,59.23,2.51,49.61%,1.12%,16
16,烈咬陆鲨,58.95,3.08,49.81%,0.78%,38
17,幸福蛋,58.93,-1.94,49.44%,-0.85%,19
18,妖火红狐,58.36,-3.48,49.2%,-1.66%,14
19,象牙猪,57.66,-1.18,49.07%,-0.5%,24
20,路卡利欧,57.44,-1.7,48.68%,-0.86%,11
21,甲贺忍蛙,57.12,-3.4,48.36%,-1.82%,7
22,捷拉奥拉,56.91,3.8,48.79%,1.63%,23
23,皮卡丘,56.58,-0.12,48.27%,0.07%,12
24,闪焰王牌,56.08,-1.14,48.1%,-0.36%,18
25,烈箭鹰,56.04,-0.33,47.85%,-0.11%,10
26,白蓬蓬,55.78,-4.58,49.18%,-1.07%,40
27,快龙,54.16,-4.35,48.27%,-1.07%,34
28,狙射树枭,53.99,0.2,47.37%,0.41%,22
29,朽木妖,53.38,-2.27,47.4%,-0.85%,25
30,太阳伊布,53.2,-5.1,47.18%,-1.99%,20
31,阿罗拉九尾,53.12,-4.95,48.04%,-1.29%,33
32,沙奈朵,52.93,-3.31,47.71%,-0.86%,29
33,水箭龟,51.22,-2.44,47.07%,-0.5%,32
34,胖可丁,51.2,-3.85,47.32%,-0.91%,30
35,妙蛙花,49.91,-4.41,45.82%,-1.38%,21
36,呆壳兽,49.77,-3.31,46.34%,-0.73%,26
37,岩殿居蟹,48.8,-4.61,46.47%,-0.99%,28
38,爆肌蚊,35.33,-6.97,44.47%,0.42%,36
39,胡帕,34.49,-20.61,43.67%,-3.97%,37
40,玛力露丽,31.93,-15.13,44.94%,-2.0%,39
