排名,名称,排位指数,指数变化,单边获胜率,胜率变化,热度排名,选出率
1,苍响,146.24,0.0,63.66%,0.0%,1,43.34%
2,花疗环环,90.66,34.28,56.67%,8.65%,3,29.6%
3,朽木妖,72.12,14.54,53.51%,4.25%,4,27.48%
4,梦幻,68.79,7.5,53.96%,3.43%,15,11.28%
5,勾魂眼,67.48,4.13,53.51%,1.82%,16,10.74%
6,太阳伊布,65.75,7.23,51.35%,2.06%,2,37.83%
7,嘟嘟利,65.63,3.15,52.98%,1.75%,19,9.17%
8,呆壳兽,65.2,-1.95,51.57%,-0.57%,5,26.3%
9,古月鸟,63.27,1.52,52.02%,0.95%,33,5.47%
10,冰伊布,63.19,3.05,51.45%,1.38%,8,13.67%
11,怪力,61.75,-1.87,50.95%,-0.83%,21,8.51%
12,妖火红狐,61.67,-1.92,50.8%,-0.67%,10,12.31%
13,藏饱栗鼠,61.29,-1.01,50.95%,-0.64%,49,2.57%
14,白蓬蓬,60.25,-4.36,50.14%,-2.33%,24,8.25%
15,铝钢龙,60.0,-3.57,50.0%,-2.41%,48,3.09%
16,幸福蛋,59.13,-1.42,49.66%,-0.64%,25,7.46%
17,胡帕,58.38,2.95,49.57%,0.96%,42,3.95%
18,沙奈朵,58.23,-7.92,49.07%,-3.14%,7,14.77%
19,武道熊师,58.06,-4.47,49.07%,-2.02%,12,11.65%
20,水箭龟,56.82,-4.44,48.49%,-2.06%,11,11.97%
21,皮可西,56.69,-5.26,48.46%,-2.33%,17,10.09%
22,魔墙人偶,55.46,-5.6,48.95%,-1.75%,43,3.9%
23,狙射树枭,54.48,-2.94,47.39%,-1.27%,14,11.31%
24,路卡利欧,54.13,-1.69,47.88%,-0.3%,28,6.6%
25,仙子伊布,53.75,-7.51,47.45%,-3.18%,23,8.45%
26,皮卡丘,53.37,-4.73,46.97%,-2.01%,13,11.58%
27,妙蛙花,52.96,-8.35,46.34%,-4.17%,6,15.35%
28,胖可丁,52.73,-4.9,47.96%,-1.4%,40,4.52%
29,甲贺忍蛙,52.36,-6.74,45.89%,-3.58%,9,13.36%
30,烈箭鹰,51.87,-4.66,46.83%,-1.6%,26,7.38%
31,闪焰王牌,51.45,-6.51,46.32%,-2.69%,20,8.77%
32,象牙猪,51.38,-9.32,46.38%,-3.94%,18,9.61%
33,卡比兽,51.23,-6.55,47.18%,-1.78%,29,6.16%
34,耿鬼,51.21,-6.28,46.45%,-2.41%,27,7.17%
35,喷火龙,49.7,-10.85,46.89%,-3.44%,41,4.4%
36,班基拉斯,49.09,-16.65,46.32%,-6.67%,35,5.29%
37,玛力露丽,48.99,-8.66,46.42%,-2.56%,30,6.11%
38,巨钳螳螂,48.19,-7.48,45.13%,-2.76%,22,8.47%
39,索罗亚克,47.65,0.6,46.24%,-0.07%,37,5.22%
40,多龙巴鲁托,47.58,-11.26,46.55%,-3.0%,39,4.57%
41,烈咬陆鲨,47.49,-13.96,47.57%,-3.36%,47,3.18%
42,坚盾剑怪,47.15,-10.61,45.95%,-3.01%,31,6.09%
43,捷拉奥拉,46.46,-7.61,45.77%,-1.96%,36,5.23%
44,阿勃梭鲁,45.46,-10.55,45.01%,-3.24%,32,5.84%
45,阿罗拉九尾,40.75,-15.96,45.13%,-3.66%,38,4.91%
46,快龙,39.76,-10.83,45.18%,-2.66%,44,3.74%
47,爆肌蚊,39.55,-14.06,44.35%,-3.19%,34,5.42%
48,岩殿居蟹,38.53,-17.25,45.46%,-3.2%,45,3.56%
49,甜冷美后,32.93,-21.59,44.48%,-3.8%,46,3.45%
