排名,名称,排位指数,指数变化,单边获胜率,胜率变化,热度排名,选出率
1,苍响,130.35,-10.34,59.86%,-3.94%,1,55.4%
2,花疗环环,111.08,7.62,58.71%,0.53%,2,40.42%
3,朽木妖,74.25,0.57,53.76%,0.25%,4,31.0%
4,勾魂眼,73.67,3.54,54.97%,0.83%,8,13.15%
5,梦幻,68.72,0.74,54.12%,0.54%,16,10.76%
6,嘟嘟利,66.25,0.11,53.23%,0.15%,17,9.66%
7,冰伊布,65.19,-0.09,52.25%,0.0%,7,14.02%
8,呆壳兽,65.08,1.76,51.78%,0.7%,5,21.5%
9,太阳伊布,64.54,1.73,51.05%,0.38%,3,38.49%
10,古月鸟,62.76,0.28,51.72%,0.21%,30,5.59%
11,藏饱栗鼠,60.73,-0.31,50.54%,-0.22%,50,2.41%
12,妖火红狐,60.18,1.38,50.1%,0.63%,18,9.28%
13,白蓬蓬,60.17,0.96,50.1%,0.4%,22,7.34%
14,沙奈朵,58.32,0.96,49.17%,0.51%,10,12.59%
15,皮可西,58.31,-0.33,49.33%,-0.06%,24,6.49%
16,水箭龟,58.25,0.95,49.09%,0.49%,6,14.34%
17,多龙巴鲁托,57.91,-0.09,49.32%,0.02%,29,5.9%
18,怪力,57.57,-2.49,49.06%,-0.97%,21,7.69%
19,胡帕,57.55,-2.61,49.33%,-0.77%,40,3.93%
20,武道熊师,56.92,-1.83,48.57%,-0.81%,15,11.3%
21,幸福蛋,56.01,-2.04,48.79%,-0.55%,32,4.97%
22,仙子伊布,54.77,-1.22,47.89%,-0.44%,20,8.03%
23,铝钢龙,53.99,-1.74,48.82%,-0.23%,47,2.64%
24,黏美龙,53.76,0.0,46.08%,0.0%,14,11.34%
25,狙射树枭,53.55,-1.44,46.84%,-0.71%,12,12.21%
26,路卡利欧,52.78,-1.44,47.53%,-0.28%,26,6.36%
27,甲贺忍蛙,52.71,0.66,46.14%,0.41%,9,13.14%
28,皮卡丘,51.79,0.21,46.29%,0.25%,13,11.42%
29,闪焰王牌,51.66,1.36,46.58%,0.74%,19,8.54%
30,卡比兽,51.08,-0.33,47.51%,0.16%,38,4.22%
31,妙蛙花,50.77,-2.04,45.72%,-0.71%,11,12.4%
32,魔墙人偶,50.27,-4.51,47.98%,-0.86%,44,3.29%
33,胖可丁,49.68,-0.89,47.78%,0.18%,43,3.3%
34,象牙猪,48.79,0.92,46.26%,0.79%,25,6.43%
35,班基拉斯,47.12,-0.38,46.68%,0.52%,42,3.75%
36,索罗亚克,46.6,-2.63,46.42%,-0.3%,34,4.46%
37,耿鬼,46.41,-3.41,44.91%,-0.97%,27,6.21%
38,烈箭鹰,45.46,-3.76,45.2%,-0.92%,28,6.16%
39,巨钳螳螂,44.41,2.23,44.44%,1.29%,23,6.99%
40,烈咬陆鲨,43.49,-2.89,46.99%,-0.39%,46,2.88%
41,玛力露丽,42.95,-3.48,45.55%,-0.41%,36,4.28%
42,捷拉奥拉,42.51,-1.21,44.94%,-0.17%,33,4.59%
43,坚盾剑怪,41.6,-5.32,45.0%,-1.0%,35,4.45%
44,阿勃梭鲁,41.53,-1.9,44.3%,-0.09%,31,5.51%
45,喷火龙,41.34,-6.11,45.16%,-1.3%,41,3.92%
46,阿罗拉九尾,40.0,2.55,44.94%,0.86%,39,3.94%
47,岩殿居蟹,38.48,-2.14,45.45%,-0.31%,45,3.23%
48,爆肌蚊,34.63,-3.71,43.79%,-0.66%,37,4.25%
49,快龙,28.0,-12.34,43.91%,-1.79%,49,2.43%
50,甜冷美后,25.21,-9.68,44.54%,-0.68%,48,2.52%
