排名,名称,排位指数,指数变化,单边获胜率,胜率变化,热度排名,选出率
1,铝钢龙,66.94,-0.89,53.5%,-0.31%,22,10.63%
2,魔墙人偶,66.64,0.77,53.04%,0.32%,17,12.46%
3,勾魂眼,65.9,1.71,52.47%,0.67%,10,15.64%
4,白蓬蓬,65.06,-0.38,52.08%,-0.2%,11,15.3%
5,武道熊师,64.98,3.46,52.41%,1.77%,20,11.1%
6,梦幻,64.71,0.51,52.21%,0.08%,27,8.98%
7,妖火红狐,63.5,0.27,51.63%,0.05%,15,13.35%
8,怪力,62.55,-0.04,51.35%,-0.09%,25,9.61%
9,呆壳兽,62.46,2.48,51.1%,1.11%,12,14.73%
10,沙奈朵,62.41,-2.12,50.78%,-0.62%,1,24.2%
11,玛力露丽,62.11,-0.82,50.84%,-0.31%,6,17.63%
12,嘟嘟利,61.89,-1.55,50.99%,-0.93%,32,7.8%
13,班基拉斯,61.79,-1.53,51.02%,-0.81%,34,7.43%
14,藏饱栗鼠,61.7,-2.93,51.14%,-2.11%,42,3.94%
15,幸福蛋,61.68,1.25,50.68%,0.51%,13,13.5%
16,古月鸟,61.61,-1.26,50.99%,-0.83%,36,5.57%
17,巨钳螳螂,60.87,1.57,50.31%,0.72%,2,21.88%
18,象牙猪,60.44,-0.21,50.16%,-0.08%,4,20.44%
19,仙子伊布,60.27,1.27,50.14%,0.59%,23,10.44%
20,水箭龟,60.06,-0.06,50.03%,-0.03%,18,12.37%
21,甲贺忍蛙,59.54,-0.16,49.72%,-0.1%,3,21.15%
22,妙蛙花,59.48,0.6,49.71%,0.34%,5,18.31%
23,耿鬼,59.21,-0.59,49.61%,-0.3%,24,10.37%
24,闪焰王牌,59.01,-0.15,49.45%,-0.06%,7,17.19%
25,卡比兽,58.89,-5.16,49.42%,-2.09%,14,13.38%
26,甜冷美后,58.79,0.33,49.5%,0.17%,29,8.28%
27,坚盾剑怪,58.53,1.48,49.41%,0.58%,30,8.18%
28,太阳伊布,58.27,2.69,49.2%,1.19%,21,11.0%
29,喷火龙,57.61,2.91,49.01%,1.3%,31,7.93%
30,皮卡丘,57.56,1.02,48.7%,0.49%,9,15.72%
31,烈咬陆鲨,57.54,-2.04,49.26%,-0.59%,40,5.18%
32,阿罗拉九尾,57.47,-2.46,48.7%,-1.26%,16,13.03%
33,冰伊布,57.22,-2.31,48.84%,-0.97%,26,9.16%
34,路卡利欧,56.53,-2.07,48.37%,-0.95%,19,11.47%
35,狙射树枭,56.3,-0.4,48.0%,-0.19%,8,15.76%
36,胖可丁,55.81,3.61,48.68%,1.31%,37,5.55%
37,阿勃梭鲁,54.11,0.34,47.6%,0.11%,28,8.3%
38,捷拉奥拉,54.03,-0.45,47.76%,-0.14%,33,7.54%
39,岩殿居蟹,53.12,1.54,47.85%,0.46%,39,5.48%
40,烈箭鹰,51.9,0.45,46.96%,-0.05%,35,6.8%
41,胡帕,48.97,3.28,47.9%,0.45%,46,2.41%
42,爆肌蚊,48.76,-2.19,46.73%,-1.13%,41,4.93%
43,快龙,48.03,-2.9,47.19%,-0.33%,43,3.62%
44,索罗亚克,47.76,-3.32,46.29%,-0.58%,38,5.5%
45,皮可西,44.35,8.42,46.69%,0.88%,45,2.98%
46,朽木妖,43.85,-2.77,46.83%,-0.29%,44,3.36%
