排名,名称,排位指数,指数变化,单边获胜率,胜率变化,热度排名,选出率
1,武道熊师,70.68,-1.73,54.33%,-0.81%,10,14.24%
2,魔墙人偶,69.5,-0.6,54.04%,-0.15%,9,14.49%
3,勾魂眼,64.37,0.84,51.75%,0.46%,7,16.55%
4,铝钢龙,64.22,0.65,52.65%,0.36%,41,4.76%
5,白蓬蓬,63.99,-2.81,51.73%,-1.24%,11,14.16%
6,巨钳螳螂,63.71,-0.68,51.03%,-0.28%,1,30.49%
7,班基拉斯,63.65,0.82,52.06%,0.43%,32,7.35%
8,古月鸟,63.04,-0.17,51.82%,-0.09%,36,6.41%
9,梦幻,62.71,-2.67,51.21%,-1.08%,25,10.08%
10,沙奈朵,62.49,-0.37,50.94%,-0.12%,5,18.33%
11,怪力,62.3,-1.27,51.18%,-0.67%,22,10.73%
12,幸福蛋,62.28,-1.96,50.93%,-0.69%,15,13.28%
13,藏饱栗鼠,61.98,0.61,51.41%,0.44%,46,2.96%
14,呆壳兽,61.96,0.43,50.76%,0.13%,3,18.68%
15,烈咬陆鲨,61.81,0.11,51.21%,0.07%,42,4.31%
16,仙子伊布,61.04,0.73,50.55%,0.38%,26,9.79%
17,妖火红狐,60.97,-1.67,50.44%,-0.76%,13,13.93%
18,象牙猪,60.59,1.21,50.23%,0.59%,2,18.95%
19,妙蛙花,60.14,-0.75,50.06%,-0.34%,8,15.54%
20,嘟嘟利,59.83,0.97,49.92%,0.49%,19,11.54%
21,卡比兽,59.42,-0.67,49.7%,-0.34%,16,13.2%
22,水箭龟,58.96,-0.54,49.5%,-0.26%,21,11.19%
23,太阳伊布,58.77,2.3,49.43%,1.0%,20,11.2%
24,甲贺忍蛙,58.77,-0.45,49.26%,-0.27%,4,18.41%
25,耿鬼,58.72,-1.48,49.43%,-0.68%,31,7.92%
26,闪焰王牌,58.64,-0.66,49.31%,-0.32%,17,12.97%
27,坚盾剑怪,58.35,0.88,49.37%,0.32%,30,8.19%
28,阿罗拉九尾,58.32,0.2,49.26%,0.09%,24,10.19%
29,皮卡丘,58.32,0.42,49.06%,0.18%,6,17.91%
30,狙射树枭,57.86,1.8,48.89%,0.83%,14,13.76%
31,玛力露丽,57.43,1.38,48.79%,0.67%,18,12.04%
32,多龙巴鲁托,57.39,2.61,48.66%,1.7%,12,13.96%
33,喷火龙,57.1,0.39,48.9%,0.14%,37,6.1%
34,冰伊布,56.91,-2.44,48.79%,-0.96%,28,8.39%
35,路卡利欧,56.0,-2.43,48.2%,-1.03%,23,10.63%
36,朽木妖,55.81,8.46,49.01%,1.59%,43,3.65%
37,胖可丁,55.08,2.09,48.52%,0.72%,39,5.18%
38,爆肌蚊,54.54,1.22,47.68%,0.6%,27,9.54%
39,阿勃梭鲁,54.5,0.37,47.76%,0.05%,29,8.33%
40,捷拉奥拉,54.32,-1.7,47.92%,-0.61%,34,6.86%
41,甜冷美后,53.91,-3.69,47.87%,-1.23%,33,7.19%
42,岩殿居蟹,53.3,-0.25,47.89%,-0.32%,38,5.28%
43,烈箭鹰,52.54,2.12,47.45%,0.38%,35,6.54%
44,胡帕,49.22,-2.92,47.97%,-0.78%,47,2.58%
45,快龙,49.08,8.66,47.61%,1.18%,45,3.22%
46,皮可西,48.07,2.57,47.1%,0.93%,44,3.5%
47,索罗亚克,43.2,2.87,44.95%,1.15%,40,5.06%
