排名,名称,排位指数,指数变化,单边获胜率,胜率变化,热度排名,选出率
1,苍响,94.77,-7.96,58.03%,-0.28%,3,30.75%
2,花疗环环,88.44,-15.84,56.21%,-2.86%,2,32.54%
3,拉普拉斯,71.08,0.0,52.58%,0.0%,5,18.38%
4,呆壳兽,66.4,-4.26,52.14%,-1.17%,4,22.34%
5,嘟嘟利,65.66,-2.26,52.75%,-1.36%,15,11.31%
6,太阳伊布,65.41,1.77,51.27%,0.43%,1,38.0%
7,勾魂眼,63.9,-7.18,51.7%,-2.49%,17,10.45%
8,古月鸟,63.19,-0.35,51.8%,-0.35%,28,6.89%
9,水箭龟,63.08,0.54,51.31%,0.23%,8,15.19%
10,铝钢龙,62.62,9.77,51.9%,3.19%,49,2.47%
11,白蓬蓬,62.6,3.37,51.41%,1.73%,22,8.83%
12,朽木妖,61.63,-2.37,50.64%,-0.71%,6,17.94%
13,怪力,61.35,0.47,50.74%,0.25%,23,8.65%
14,胡帕,61.2,0.24,50.73%,0.13%,35,5.18%
15,妖火红狐,60.83,-2.46,50.45%,-1.32%,19,9.3%
16,梦幻,60.65,-6.02,50.36%,-3.19%,26,7.23%
17,皮可西,60.48,-1.49,50.26%,-0.85%,27,7.04%
18,幸福蛋,60.22,0.01,50.14%,0.01%,36,5.09%
19,武道熊师,60.07,-1.65,50.03%,-0.75%,9,14.77%
20,藏饱栗鼠,59.79,-0.38,49.96%,-0.16%,50,2.45%
21,沙奈朵,59.55,4.09,49.78%,1.97%,14,11.81%
22,冰伊布,59.32,-2.77,49.72%,-1.37%,21,8.91%
23,多龙巴鲁托,58.84,-0.68,49.59%,-0.25%,32,6.61%
24,索罗亚克,57.8,-0.88,48.84%,-0.4%,7,15.3%
25,喷火龙,57.69,1.29,48.92%,0.91%,16,11.26%
26,魔墙人偶,57.45,-3.51,49.51%,-1.18%,46,3.21%
27,仙子伊布,57.22,2.53,48.8%,0.91%,18,9.51%
28,胖可丁,55.66,-4.03,48.99%,-0.93%,43,3.84%
29,皮卡丘,55.25,2.87,47.71%,1.29%,12,12.55%
30,妙蛙花,54.89,3.86,47.6%,1.72%,13,12.39%
31,甲贺忍蛙,54.86,2.94,47.14%,1.58%,10,14.65%
32,狙射树枭,54.7,2.36,47.19%,1.13%,11,14.5%
33,闪焰王牌,54.2,4.74,47.39%,1.67%,19,9.3%
34,耿鬼,53.26,4.9,47.18%,1.55%,31,6.74%
35,烈咬陆鲨,51.94,-3.86,48.28%,-0.74%,45,3.4%
36,路卡利欧,51.8,-0.46,46.98%,-0.33%,25,7.4%
37,卡比兽,51.44,-3.74,47.66%,-0.91%,41,4.5%
38,班基拉斯,51.05,7.94,48.01%,1.39%,47,2.93%
39,黏美龙,51.02,1.98,46.35%,0.98%,24,7.89%
40,象牙猪,50.0,-2.33,46.81%,-0.55%,34,6.0%
41,阿勃梭鲁,49.43,2.55,45.98%,0.51%,29,6.88%
42,烈箭鹰,49.07,1.24,45.94%,0.24%,30,6.87%
43,爆肌蚊,47.81,5.02,46.65%,1.06%,40,4.71%
44,捷拉奥拉,47.74,6.24,46.25%,1.47%,39,4.75%
45,巨钳螳螂,45.68,3.3,45.17%,1.07%,33,6.41%
46,岩殿居蟹,45.33,3.35,46.66%,0.92%,44,3.56%
47,玛力露丽,45.24,5.06,45.77%,0.72%,38,4.78%
48,阿罗拉九尾,44.66,7.13,46.48%,1.98%,42,3.87%
49,坚盾剑怪,44.25,3.27,45.94%,0.72%,37,4.96%
50,快龙,43.17,17.01,46.6%,1.91%,51,2.39%
51,甜冷美后,42.72,10.07,46.85%,1.61%,48,2.74%
