排名,名称,使用人数,使用率,使用率变化,胜场数,胜率
1,梦幻,59,38.11%,10.06%,1077,72.77%
2,魔墙人偶,62,25.05%,-1.07%,704,72.35%
3,坚盾剑怪,51,16.79%,0.39%,470,72.09%
4,玛力露丽,42,15.06%,6.86%,415,70.94%
5,甜冷美后,38,13.03%,2.99%,361,71.34%
6,阿勃梭鲁,34,7.03%,-1.53%,211,77.29%
7,路卡利欧,29,6.59%,3.19%,172,67.19%
8,冰伊布,28,6.49%,-1.8%,186,73.81%
9,甲贺忍蛙,22,5.95%,-0.01%,168,72.73%
10,卡比兽,27,5.51%,-1.88%,154,71.96%
11,喷火龙,36,4.81%,-1.86%,140,74.87%
12,幸福蛋,21,4.63%,0.78%,129,71.67%
13,耿鬼,18,4.33%,-0.6%,115,68.45%
14,嘟嘟利,22,4.3%,-3.23%,113,67.66%
15,烈箭鹰,14,4.07%,-0.23%,113,71.52%
16,象牙猪,16,3.99%,2.74%,109,70.32%
17,快龙,26,3.71%,-0.06%,101,70.14%
18,妖火红狐,25,3.14%,1.3%,87,71.31%
19,狙射树枭,22,2.91%,1.39%,75,66.37%
20,胖可丁,20,2.63%,-0.29%,72,70.59%
21,爆肌蚊,23,2.21%,-0.29%,53,61.63%
22,藏饱栗鼠,11,1.34%,-1.66%,37,71.15%
23,班基拉斯,14,1.18%,0.56%,30,65.22%
24,古月鸟,14,1.13%,-1.87%,29,65.91%
25,巨钳螳螂,12,1.0%,-2.22%,21,53.85%
26,朽木妖,9,0.8%,0.26%,17,54.84%
27,怪力,10,0.77%,0.1%,18,60.0%
27,闪焰王牌,14,0.77%,-0.44%,22,73.33%
29,白蓬蓬,5,0.7%,0.25%,17,62.96%
30,水箭龟,16,0.64%,-0.66%,15,60.0%
30,胡帕,7,0.64%,0.37%,18,72.0%
32,捷拉奥拉,9,0.59%,-0.04%,12,52.17%
33,呆壳兽,10,0.54%,-1.07%,9,42.86%
34,仙子伊布,7,0.41%,0.1%,13,81.25%
34,铝钢龙,6,0.41%,0.32%,12,75.0%
34,皮卡丘,6,0.41%,-0.22%,13,81.25%
37,沙奈朵,7,0.36%,0.05%,11,78.57%
38,阿罗拉九尾,9,0.31%,-0.05%,9,75.0%
39,太阳伊布,8,0.28%,-0.21%,5,45.45%
40,妙蛙花,5,0.23%,0.1%,4,44.44%
41,烈咬陆鲨,2,0.05%,0.01%,1,50.0%
42,岩殿居蟹,1,0.03%,-0.02%,0,0.0%
