排名,名称,排位指数,指数变化,单边获胜率,胜率变化,热度排名,选出率
1,卡比兽,73.73,17.52,54.27%,5.9%,6,17.1%
2,铝钢龙,70.35,4.35,55.25%,1.89%,26,9.79%
3,幸福蛋,68.15,5.2,53.39%,2.12%,23,10.56%
4,勾魂眼,65.86,-24.62,52.23%,-4.25%,11,15.18%
5,玛力露丽,65.65,4.28,52.25%,1.69%,7,17.06%
6,嘟嘟利,65.51,4.76,53.23%,2.84%,40,5.34%
7,班基拉斯,65.27,1.17,52.83%,0.65%,31,8.46%
8,藏饱栗鼠,64.64,2.58,53.33%,1.83%,45,2.52%
9,妖火红狐,64.09,5.68,52.14%,2.88%,28,9.43%
10,魔墙人偶,63.52,-7.12,51.66%,-2.27%,17,11.45%
11,武道熊师,63.28,0.0,51.39%,0.0%,14,12.02%
12,梦幻,62.86,4.91,51.75%,2.61%,38,5.66%
13,沙奈朵,62.44,-0.63,50.87%,-0.25%,3,21.12%
14,白蓬蓬,62.18,-0.69,51.03%,-0.37%,16,11.63%
15,呆壳兽,61.72,3.43,50.89%,1.71%,21,10.59%
16,阿罗拉九尾,61.3,8.21,50.55%,3.03%,12,14.45%
17,闪焰王牌,60.7,3.93,50.23%,1.78%,1,24.12%
18,象牙猪,60.57,1.3,50.24%,0.62%,10,15.59%
19,甜冷美后,60.56,-4.01,50.27%,-1.28%,24,10.04%
20,巨钳螳螂,60.48,2.6,50.2%,1.26%,8,16.79%
21,坚盾剑怪,60.34,2.8,50.19%,1.23%,33,8.37%
22,古月鸟,60.25,-1.22,50.16%,-0.82%,42,4.15%
23,路卡利欧,59.62,-0.16,49.81%,-0.07%,15,11.93%
24,妙蛙花,59.41,-0.18,49.66%,-0.1%,4,19.88%
25,太阳伊布,59.22,5.07,49.64%,1.82%,19,10.71%
26,怪力,59.03,-1.98,49.62%,-0.93%,34,7.85%
27,甲贺忍蛙,58.95,0.02,49.35%,0.0%,2,22.76%
28,仙子伊布,58.91,-1.07,49.49%,-0.5%,17,11.45%
29,水箭龟,58.29,-1.62,49.21%,-0.75%,22,10.57%
30,狙射树枭,58.15,2.57,48.91%,1.18%,5,19.55%
31,冰伊布,57.92,-0.4,49.16%,-0.1%,32,8.41%
32,烈咬陆鲨,57.73,-4.11,48.94%,-2.24%,20,10.66%
33,皮卡丘,57.08,0.83,48.44%,0.46%,9,15.98%
34,耿鬼,56.76,-1.21,48.48%,-0.58%,25,9.95%
35,快龙,54.61,1.46,48.2%,-0.18%,37,5.76%
36,胡帕,53.82,18.35,49.03%,1.85%,46,1.93%
37,喷火龙,53.45,-8.58,46.64%,-4.17%,13,13.29%
38,索罗亚克,53.44,-5.14,47.18%,-2.02%,29,9.06%
39,朽木妖,51.33,1.19,47.67%,0.29%,43,4.06%
40,捷拉奥拉,51.22,-2.25,46.29%,-1.13%,30,8.57%
41,阿勃梭鲁,50.67,-2.08,45.9%,-0.88%,27,9.62%
42,胖可丁,50.67,-5.56,47.0%,-1.75%,39,5.59%
43,岩殿居蟹,49.19,-2.47,46.51%,-0.83%,36,6.01%
44,爆肌蚊,47.39,-4.91,46.75%,-1.23%,41,4.57%
45,烈箭鹰,46.31,-4.86,44.75%,-2.21%,35,7.11%
46,皮可西,46.03,2.19,47.02%,1.46%,44,2.97%
