排名,名称,排位指数,指数变化,单边获胜率,胜率变化,热度排名,选出率
1,魔墙人偶,132.66,9.35,59.2%,0.77%,1,65.35%
2,梦幻,78.91,3.53,53.67%,0.75%,2,40.41%
3,喷火龙,68.18,0.52,52.69%,0.12%,5,23.84%
4,冰伊布,66.63,-3.35,52.01%,-0.76%,3,26.58%
5,坚盾剑怪,64.17,-0.48,51.23%,-0.07%,4,24.91%
6,古月鸟,63.28,-4.42,51.57%,-1.75%,23,9.52%
7,甜冷美后,63.06,2.48,51.33%,1.06%,10,14.47%
8,铝钢龙,62.81,0.59,51.83%,0.36%,33,4.66%
9,耿鬼,62.26,0.63,50.78%,0.23%,7,21.24%
10,班基拉斯,61.89,0.99,50.98%,0.51%,19,9.97%
11,藏饱栗鼠,60.9,-0.03,50.64%,0.0%,36,3.34%
12,幸福蛋,60.12,2.36,50.06%,1.13%,22,9.54%
13,象牙猪,58.93,1.82,49.53%,0.75%,17,10.52%
14,卡比兽,58.48,-0.74,49.17%,-0.41%,11,12.99%
15,阿勃梭鲁,58.29,-0.35,48.96%,-0.2%,6,22.21%
16,怪力,57.86,-0.75,49.04%,-0.3%,18,10.22%
17,甲贺忍蛙,57.84,0.13,48.77%,0.06%,8,18.18%
18,闪焰王牌,56.54,0.87,48.36%,0.37%,16,10.69%
19,烈箭鹰,56.08,-0.08,48.22%,0.12%,19,9.97%
20,妖火红狐,55.81,-2.28,48.08%,-1.05%,14,11.49%
21,路卡利欧,55.65,-1.51,47.96%,-0.64%,15,11.48%
22,皮卡丘,55.19,-2.32,47.5%,-1.23%,9,14.87%
23,烈咬陆鲨,55.02,-3.81,48.92%,-0.88%,38,3.11%
24,仙子伊布,54.71,-4.36,48.28%,-1.4%,28,6.08%
25,狙射树枭,54.65,0.67,47.4%,0.21%,13,11.56%
26,水箭龟,54.52,1.33,48.04%,0.33%,28,6.08%
27,捷拉奥拉,54.45,2.13,47.83%,0.86%,24,7.98%
28,太阳伊布,53.51,1.08,47.18%,0.27%,21,9.77%
29,阿罗拉九尾,53.41,2.61,47.95%,0.7%,32,5.23%
30,朽木妖,53.0,0.56,47.29%,0.01%,25,7.17%
31,嘟嘟利,52.85,5.62,46.35%,2.8%,12,11.96%
32,沙奈朵,52.43,0.7,47.41%,0.14%,30,5.81%
33,岩殿居蟹,52.25,-1.27,47.46%,-0.49%,31,5.61%
34,白蓬蓬,51.1,-1.62,48.36%,-0.45%,40,2.35%
35,快龙,50.98,-4.81,47.59%,-1.21%,35,4.05%
36,胖可丁,49.45,1.27,47.07%,0.37%,34,4.24%
37,呆壳兽,49.06,-2.08,46.39%,-0.49%,27,6.12%
38,妙蛙花,47.15,-0.14,45.65%,0.33%,26,6.57%
39,玛力露丽,39.58,1.82,45.57%,-0.7%,37,3.23%
40,爆肌蚊,30.93,-7.53,44.76%,-0.45%,39,3.0%
41,胡帕,-6.54,4.46,43.02%,-0.83%,41,1.65%
