排名,名称,排位指数,指数变化,单边获胜率,胜率变化,热度排名,选出率
1,武道熊师,73.48,2.8,55.06%,0.73%,7,16.96%
2,魔墙人偶,69.33,-0.17,53.67%,-0.37%,6,17.01%
3,巨钳螳螂,69.04,5.33,52.23%,1.2%,1,34.3%
4,勾魂眼,68.43,4.06,53.17%,1.42%,4,18.42%
5,梦幻,66.36,3.66,52.32%,1.11%,11,15.18%
6,嘟嘟利,65.07,5.24,52.21%,2.29%,15,13.94%
7,班基拉斯,64.47,0.83,52.53%,0.47%,30,7.26%
8,古月鸟,63.77,0.72,52.21%,0.39%,33,6.96%
9,铝钢龙,63.4,-0.82,52.24%,-0.41%,37,4.87%
10,白蓬蓬,63.09,-0.89,51.31%,-0.42%,12,14.9%
11,妖火红狐,62.98,2.01,51.33%,0.89%,14,14.58%
12,藏饱栗鼠,62.9,0.92,52.02%,0.61%,45,3.27%
13,怪力,61.5,-0.8,50.77%,-0.41%,24,10.39%
14,呆壳兽,60.94,-1.02,50.35%,-0.41%,2,20.92%
15,水箭龟,60.41,1.45,50.2%,0.7%,23,10.44%
16,烈咬陆鲨,60.4,-1.4,50.28%,-0.93%,44,3.67%
17,沙奈朵,59.58,-2.91,49.76%,-1.18%,9,16.68%
18,卡比兽,59.57,0.15,49.77%,0.07%,16,13.6%
19,妙蛙花,58.48,-1.66,49.21%,-0.85%,13,14.88%
20,象牙猪,58.16,-2.43,48.95%,-1.28%,3,19.19%
21,冰伊布,58.0,1.08,49.18%,0.39%,28,8.37%
22,幸福蛋,57.77,-4.51,48.73%,-2.2%,8,16.79%
23,仙子伊布,57.68,-3.37,48.95%,-1.6%,24,10.39%
24,耿鬼,57.42,-1.3,48.94%,-0.49%,34,6.73%
25,路卡利欧,57.24,1.24,48.73%,0.53%,19,10.95%
26,甲贺忍蛙,56.89,-1.88,48.22%,-1.04%,5,17.03%
27,玛力露丽,56.88,-0.55,48.56%,-0.23%,17,11.23%
28,甜冷美后,56.52,2.6,48.77%,0.9%,32,7.05%
29,太阳伊布,56.4,-2.37,48.35%,-1.08%,21,10.86%
30,闪焰王牌,56.39,-2.25,48.3%,-1.01%,20,10.92%
31,多龙巴鲁托,56.03,-1.36,48.23%,-0.43%,22,10.77%
32,狙射树枭,55.99,-1.87,48.09%,-0.8%,18,11.13%
33,阿罗拉九尾,55.66,-2.66,48.24%,-1.02%,26,9.01%
34,皮卡丘,55.52,-2.79,47.6%,-1.46%,10,15.9%
35,坚盾剑怪,55.33,-3.02,48.26%,-1.11%,29,7.58%
36,皮可西,55.01,6.93,48.65%,1.55%,43,3.76%
37,爆肌蚊,54.86,0.33,47.94%,0.26%,27,8.65%
38,捷拉奥拉,54.64,0.32,48.13%,0.21%,35,6.09%
39,喷火龙,54.55,-2.55,48.34%,-0.56%,38,4.72%
40,阿勃梭鲁,53.54,-0.96,47.66%,-0.1%,31,7.08%
41,朽木妖,53.34,-2.47,48.19%,-0.82%,41,4.1%
42,烈箭鹰,52.7,0.16,47.71%,0.26%,36,5.02%
43,胡帕,52.15,2.93,48.49%,0.52%,46,2.57%
44,胖可丁,50.05,-5.02,47.42%,-1.1%,40,4.5%
45,索罗亚克,49.81,6.62,47.68%,2.73%,42,3.8%
46,岩殿居蟹,49.43,-3.87,47.08%,-0.81%,39,4.71%
47,快龙,45.63,-3.44,47.56%,-0.05%,47,2.22%
