排名,名称,排位指数,指数变化,单边获胜率,胜率变化,热度排名,选出率
1,魔墙人偶,84.26,-0.28,55.74%,-0.33%,1,32.93%
2,梦幻,80.76,3.04,55.16%,0.66%,4,23.83%
3,嘟嘟利,74.08,1.1,54.44%,0.16%,9,16.89%
4,铝钢龙,65.73,0.48,53.19%,0.18%,29,7.73%
5,白蓬蓬,65.28,-1.32,51.95%,-0.3%,6,18.54%
6,烈咬陆鲨,62.27,0.23,51.42%,0.2%,35,5.65%
7,甜冷美后,62.18,-0.67,50.99%,-0.37%,16,12.76%
8,喷火龙,62.07,-1.09,50.82%,-0.43%,12,15.5%
9,藏饱栗鼠,61.79,-0.43,51.26%,-0.29%,42,3.23%
10,班基拉斯,61.32,-0.91,50.72%,-0.44%,25,8.56%
11,象牙猪,61.17,0.44,50.48%,0.17%,8,17.07%
12,妙蛙花,60.89,-3.22,50.27%,-0.74%,2,27.53%
13,玛力露丽,60.58,0.43,50.23%,0.17%,7,18.22%
14,古月鸟,60.48,2.22,50.32%,0.75%,40,4.3%
15,怪力,59.95,-0.63,49.98%,-0.35%,27,8.32%
16,路卡利欧,59.72,0.53,49.85%,0.26%,13,14.35%
17,索罗亚克,59.49,1.63,49.68%,1.1%,3,25.09%
18,坚盾剑怪,59.42,0.1,49.72%,0.04%,18,10.78%
19,甲贺忍蛙,59.11,0.84,49.46%,0.51%,5,19.68%
20,幸福蛋,59.03,0.06,49.54%,0.06%,22,9.08%
21,冰伊布,58.83,0.85,49.48%,0.36%,20,10.03%
22,妖火红狐,58.67,-0.37,49.32%,-0.19%,14,14.17%
23,卡比兽,58.5,0.87,49.3%,0.34%,19,10.77%
24,巨钳螳螂,57.63,1.18,48.72%,0.59%,11,16.39%
25,阿罗拉九尾,57.02,-0.23,48.78%,-0.25%,26,8.42%
26,耿鬼,56.86,-0.65,48.56%,-0.29%,24,8.58%
27,闪焰王牌,56.26,-1.01,48.23%,-0.51%,17,11.18%
28,皮卡丘,56.2,-0.0,47.94%,-0.08%,10,16.57%
29,狙射树枭,56.15,-0.66,47.97%,-0.43%,15,13.4%
30,仙子伊布,55.77,3.24,48.69%,0.82%,39,4.88%
31,呆壳兽,55.68,2.0,48.25%,0.72%,23,8.82%
32,捷拉奥拉,55.62,0.42,48.33%,0.21%,30,7.46%
33,岩殿居蟹,55.55,-1.12,48.41%,-0.38%,31,6.84%
34,沙奈朵,54.02,-1.86,47.92%,-0.65%,33,6.16%
35,水箭龟,53.93,3.82,47.91%,1.04%,34,6.01%
36,太阳伊布,53.04,-1.46,47.26%,-0.7%,28,8.25%
37,胖可丁,52.79,0.27,47.69%,0.0%,36,5.6%
38,阿勃梭鲁,52.78,-1.2,46.82%,-0.5%,21,9.37%
39,烈箭鹰,51.51,-1.35,47.0%,-0.59%,32,6.19%
40,朽木妖,50.1,-1.91,46.97%,-0.51%,38,5.14%
41,爆肌蚊,49.97,-1.27,47.14%,-0.24%,37,5.25%
42,胡帕,46.3,-2.03,47.18%,-0.06%,44,2.68%
43,快龙,45.67,-3.78,47.16%,-0.61%,43,3.22%
44,皮可西,27.0,-3.28,42.2%,0.41%,41,3.59%
