排名,名称,使用人数,使用率,使用率变化,胜场数,胜率
1,苍响,53,30.73%,-3.65%,1846,85.86%
2,花疗环环,46,12.75%,-5.29%,734,82.29%
3,呆壳兽,57,12.39%,3.37%,740,85.35%
4,太阳伊布,64,11.85%,2.31%,709,85.52%
5,索罗亚克,46,9.48%,6.7%,545,82.2%
6,勾魂眼,39,7.29%,-6.23%,443,86.86%
7,冰伊布,41,7.05%,-7.55%,413,83.77%
8,妖火红狐,37,6.66%,3.78%,405,86.91%
9,朽木妖,49,6.43%,-9.83%,390,86.67%
10,梦幻,47,6.29%,-4.2%,371,84.32%
11,武道熊师,44,5.83%,-0.26%,333,81.62%
12,嘟嘟利,41,5.15%,0.42%,295,81.94%
13,沙奈朵,35,4.9%,1.23%,281,81.92%
14,喷火龙,45,3.23%,3.14%,181,80.09%
15,水箭龟,47,3.04%,-0.39%,180,84.51%
16,怪力,43,2.63%,-1.38%,149,80.98%
17,妙蛙花,34,2.43%,0.4%,147,86.47%
18,路卡利欧,36,2.4%,0.09%,137,81.55%
19,古月鸟,29,2.2%,0.18%,126,81.82%
20,皮可西,23,2.17%,0.53%,118,77.63%
21,甲贺忍蛙,29,1.96%,0.76%,112,81.75%
22,阿勃梭鲁,25,1.54%,-1.48%,88,81.48%
23,胖可丁,16,1.5%,0.77%,94,89.52%
24,狙射树枭,32,1.44%,0.2%,84,83.17%
25,魔墙人偶,22,1.36%,0.63%,80,84.21%
26,烈箭鹰,23,1.3%,-0.01%,78,85.71%
27,卡比兽,26,1.09%,-0.86%,60,78.95%
28,仙子伊布,22,1.03%,0.39%,63,87.5%
29,爆肌蚊,10,0.96%,0.44%,53,79.1%
29,白蓬蓬,23,0.96%,-0.65%,50,74.63%
31,胡帕,23,0.83%,-0.17%,45,77.59%
32,幸福蛋,21,0.77%,-0.26%,40,74.07%
33,多龙巴鲁托,14,0.7%,0.28%,37,75.51%
34,象牙猪,17,0.66%,-0.57%,40,86.96%
35,巨钳螳螂,21,0.64%,-0.3%,35,77.78%
36,烈咬陆鲨,16,0.6%,0.07%,32,76.19%
37,闪焰王牌,11,0.43%,-0.27%,21,70.0%
37,班基拉斯,12,0.43%,0.14%,27,90.0%
39,耿鬼,14,0.4%,0.14%,23,82.14%
40,坚盾剑怪,16,0.33%,-0.05%,18,78.26%
41,皮卡丘,9,0.3%,-0.13%,21,100.0%
42,黏美龙,6,0.27%,-0.09%,18,94.74%
43,藏饱栗鼠,10,0.26%,0.09%,17,94.44%
44,玛力露丽,8,0.24%,-0.24%,12,70.59%
45,捷拉奥拉,13,0.21%,0.06%,12,80.0%
46,阿罗拉九尾,6,0.19%,-0.04%,13,100.0%
46,甜冷美后,9,0.19%,-0.27%,11,84.62%
48,岩殿居蟹,7,0.14%,-0.04%,8,80.0%
49,铝钢龙,3,0.09%,-0.04%,4,66.67%
50,快龙,5,0.07%,-0.07%,4,80.0%
