,一共游戏场数,11348
1,超梦X,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,博识眼镜	穿透汤匙	讲究眼镜,769,75.76%,67
,,穿透汤匙	讲究眼镜	进击眼镜,24,70.59%,5
,,焦点镜	穿透汤匙	讲究眼镜,8,72.73%,3
,,博识眼镜	穿透汤匙	贝壳之铃,27,75.0%,2
,,博识眼镜	讲究眼镜	进击眼镜,7,58.33%,2
,,博识眼镜	穿透汤匙	进击眼镜,4,80.0%,2
,,博识眼镜	焦点镜	讲究眼镜,15,68.18%,1
,,博识眼镜	焦点镜	穿透汤匙,4,80.0%,1
4,叶伊布,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,82,7.34%,639,76.71%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,notOGmikeyツ,126,85.71%
,,SaD·星黃包,100,84.03%
,,OG・Shingdi,45,83.33%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,飞叶快刀	叶刃		逃脱按键,252,75.9%,36
,,日光刃	叶刃		逃脱按键,177,76.62%,46
,,日光刃	叶刃		伤药	,130,82.8%,4
,,日光刃	叶刃		脱壳忍者玩偶,29,72.5%,3
,,飞叶快刀	叶刃		脱壳忍者玩偶,25,80.65%,4
,,日光刃	叶刃		速度强化,7,58.33%,4
,,日光刃	燕返		逃脱按键,6,100.0%,5
,,飞叶快刀	叶刃		万灵药,4,44.44%,3
,,日光刃	叶刃		万灵药,2,100.0%,2
,,飞叶快刀	叶刃		伤药	,1,100.0%,1
,,飞叶快刀	叶刃		攻击强化,1,100.0%,1
,,日光刃	燕返		伤药	,1,100.0%,1
,,飞叶快刀	燕返		速度强化,1,100.0%,1
,,日光刃	燕返		攻击强化,1,100.0%,1
,,飞叶快刀	燕返		逃脱按键,1,50.0%,2
,,飞叶快刀	叶刃		速度强化,1,33.33%,1
,,日光刃	叶刃		攻击强化,0,0.0%,2
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,猛攻哑铃	能量增幅器	锐利之爪,210,75.27%,33
,,猛攻哑铃	能量增幅器	轻石,260,80.75%,17
,,救援屏障	猛攻哑铃	能量增幅器,42,71.19%,9
,,学习装置	猛攻哑铃	能量增幅器,34,77.27%,4
,,猛攻哑铃	轻石	锐利之爪,9,64.29%,3
,,气势头带	猛攻哑铃	轻石,11,91.67%,2
,,弱点保险	猛攻哑铃	能量增幅器,4,57.14%,2
,,能量增幅器	轻石	锐利之爪,2,100.0%,2
,,弱点保险	猛攻哑铃	轻石,45,83.33%,1
,,气势头带	能量增幅器	轻石,9,75.0%,1
,,救援屏障	气势头带	猛攻哑铃,5,50.0%,1
,,亿奥斯饼干	猛攻哑铃	能量增幅器,3,60.0%,1
,,学习装置	能量增幅器	轻石,3,50.0%,1
,,救援屏障	猛攻哑铃	锐利之爪,1,100.0%,1
,,猛攻哑铃	能量增幅器	连打围巾,1,100.0%,1
,,力量头带	能量增幅器	锐利之爪,0,0.0%,1
,,焦点镜	轻石	锐利之爪,0,0.0%,1
,,亿奥斯饼干	气势头带	猛攻哑铃,0,0.0%,1
5,阿罗拉九尾,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,79,6.24%,548,77.4%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,_Auʀoʀɑ,68,74.73%
,,GAGUINHO_:D,50,81.97%
,,WARメLuvN,44,88.0%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,雪崩		暴风雪	逃脱按键,503,77.98%,71
,,雪崩		暴风雪	速度强化,29,67.44%,4
,,雪崩		暴风雪	脱壳忍者玩偶,9,90.0%,1
,,魔法闪耀	极光幕	逃脱按键,4,100.0%,1
,,雪崩		极光幕	逃脱按键,2,66.67%,2
,,雪崩		极光幕	攻击强化,1,100.0%,1
,,魔法闪耀	暴风雪	逃脱按键,0,0.0%,1
,,雪崩		暴风雪	攻击强化,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,博识眼镜	穿透汤匙	讲究眼镜,296,79.57%,34
,,气势头带	穿透汤匙	讲究眼镜,32,76.19%,11
,,穿透汤匙	能量增幅器	讲究眼镜,76,80.85%,10
,,博识眼镜	穿透汤匙	能量增幅器,21,61.76%,8
,,救援屏障	穿透汤匙	讲究眼镜,12,80.0%,3
,,博识眼镜	能量增幅器	讲究眼镜,50,80.65%,2
