排名,名称,使用人数,使用率,使用率变化,胜场数,胜率
1,幸福蛋,70,19.67%,0.0%,611,67.51%
2,班基拉斯,46,16.69%,0.0%,558,72.66%
3,快龙,68,15.41%,0.0%,493,69.53%
4,甜冷美后,65,15.19%,0.0%,513,73.39%
5,古月鸟,65,14.39%,0.0%,454,68.58%
6,胡帕,42,11.36%,0.0%,363,69.41%
7,冰伊布,41,8.91%,0.0%,282,68.78%
8,甲贺忍蛙,35,8.19%,0.0%,252,66.84%
9,卡比兽,39,6.08%,0.0%,198,70.71%
10,闪焰王牌,49,5.93%,0.0%,178,65.2%
11,路卡利欧,46,5.58%,0.0%,166,64.59%
11,坚盾剑怪,45,5.58%,0.0%,167,64.98%
13,仙子伊布,21,3.59%,0.0%,99,60.0%
14,朽木妖,28,3.56%,0.0%,120,73.17%
15,怪力,52,3.48%,0.0%,101,63.12%
16,捷拉奥拉,22,3.09%,0.0%,92,64.79%
17,阿勃梭鲁,20,2.89%,0.0%,84,63.16%
18,呆壳兽,25,2.48%,0.0%,82,71.93%
19,藏饱栗鼠,25,2.3%,0.0%,62,58.49%
20,魔墙人偶,28,2.13%,0.0%,64,65.31%
21,妖火红狐,27,2.06%,0.0%,62,65.26%
22,象牙猪,19,2.02%,0.0%,68,73.12%
23,喷火龙,21,1.96%,0.0%,56,62.22%
24,沙奈朵,21,1.87%,0.0%,60,69.77%
25,皮卡丘,19,1.8%,0.0%,54,65.06%
26,耿鬼,20,1.76%,0.0%,57,70.37%
27,烈咬陆鲨,10,1.13%,0.0%,35,67.31%
28,妙蛙花,15,0.98%,0.0%,31,68.89%
29,阿罗拉九尾,10,0.96%,0.0%,33,75.0%
30,爆肌蚊,18,0.89%,0.0%,26,63.41%
31,水箭龟,15,0.72%,0.0%,23,69.7%
32,狙射树枭,20,0.65%,0.0%,20,66.67%
33,铝钢龙,15,0.63%,0.0%,20,68.97%
34,胖可丁,13,0.59%,0.0%,17,62.96%
35,烈箭鹰,14,0.5%,0.0%,10,43.48%
36,岩殿居蟹,7,0.46%,0.0%,9,42.86%
37,太阳伊布,10,0.43%,0.0%,14,70.0%
38,白蓬蓬,11,0.28%,0.0%,8,61.54%
39,玛力露丽,8,0.17%,0.0%,4,50.0%
