排名,名称,使用人数,使用率,使用率变化,胜场数,胜率
1,苍响,45,35.47%,-3.15%,1784,88.1%
2,花疗环环,47,23.93%,8.68%,1170,85.65%
3,朽木妖,56,13.5%,8.68%,683,88.59%
4,太阳伊布,58,12.35%,1.24%,624,88.51%
5,冰伊布,49,12.23%,4.04%,618,88.54%
6,勾魂眼,34,9.34%,1.59%,484,90.81%
7,梦幻,42,8.43%,-3.97%,419,87.11%
8,呆壳兽,49,6.59%,-2.51%,331,88.03%
9,武道熊师,41,6.48%,2.68%,308,83.24%
10,嘟嘟利,44,6.27%,-1.69%,307,85.75%
11,皮可西,26,5.2%,1.99%,260,87.54%
12,沙奈朵,34,4.75%,1.13%,247,91.14%
13,甲贺忍蛙,34,3.91%,2.82%,195,87.44%
14,索罗亚克,24,3.85%,1.47%,191,86.82%
15,怪力,47,3.7%,-1.52%,178,84.36%
16,妖火红狐,30,3.63%,-0.82%,179,86.47%
17,路卡利欧,39,3.33%,0.29%,163,85.79%
18,闪焰王牌,21,2.94%,1.14%,142,84.52%
19,古月鸟,25,2.84%,0.81%,142,87.65%
20,水箭龟,47,2.8%,0.33%,142,88.75%
21,胡帕,29,2.33%,1.18%,113,84.96%
22,卡比兽,23,1.87%,-1.39%,91,85.05%
23,幸福蛋,23,1.58%,-0.32%,81,90.0%
24,狙射树枭,26,1.45%,0.14%,74,89.16%
25,捷拉奥拉,10,1.28%,1.04%,61,83.56%
26,烈箭鹰,20,1.24%,0.74%,61,85.92%
27,甜冷美后,19,1.19%,0.25%,58,85.29%
28,班基拉斯,19,1.1%,0.36%,57,90.48%
28,象牙猪,19,1.1%,-0.78%,55,87.3%
30,妙蛙花,28,1.07%,-0.15%,49,80.33%
31,阿勃梭鲁,16,1.05%,-0.04%,51,85.0%
31,巨钳螳螂,19,1.05%,-1.0%,51,85.0%
33,坚盾剑怪,19,0.96%,-0.61%,48,87.27%
34,白蓬蓬,19,0.89%,0.31%,46,90.2%
35,烈咬陆鲨,16,0.88%,0.53%,44,88.0%
35,玛力露丽,14,0.88%,0.06%,42,84.0%
37,仙子伊布,20,0.86%,-0.07%,43,87.76%
38,魔墙人偶,20,0.79%,-0.74%,40,88.89%
39,爆肌蚊,13,0.77%,0.22%,37,84.09%
40,耿鬼,14,0.75%,0.12%,40,93.02%
41,皮卡丘,18,0.49%,0.04%,24,85.71%
42,多龙巴鲁托,7,0.23%,-0.39%,9,69.23%
43,阿罗拉九尾,6,0.19%,-0.1%,9,81.82%
44,藏饱栗鼠,9,0.18%,-0.13%,7,70.0%
45,喷火龙,6,0.16%,-0.2%,8,88.89%
46,胖可丁,6,0.12%,-0.46%,7,100.0%
47,岩殿居蟹,5,0.11%,0.02%,4,66.67%
48,快龙,5,0.09%,-0.32%,3,60.0%
49,铝钢龙,2,0.07%,0.04%,4,100.0%
