排名,名称,使用人数,使用率,使用率变化,胜场数,胜率
1,梦幻,125,38.19%,5.67%,2568,74.09%
2,魔墙人偶,119,27.81%,4.74%,1938,76.78%
3,嘟嘟利,69,16.79%,8.26%,1144,75.07%
4,坚盾剑怪,82,13.21%,0.68%,903,75.31%
5,甜冷美后,69,7.31%,-0.01%,490,73.91%
6,玛力露丽,73,7.27%,0.94%,450,68.18%
7,冰伊布,43,6.25%,0.9%,427,75.31%
8,阿勃梭鲁,62,5.91%,-1.82%,380,70.9%
9,甲贺忍蛙,45,5.53%,-1.09%,353,70.32%
10,皮可西,27,4.47%,-0.43%,309,76.11%
11,路卡利欧,47,4.32%,0.2%,284,72.45%
12,巨钳螳螂,53,3.99%,-2.08%,258,71.27%
13,象牙猪,31,3.5%,0.83%,225,70.75%
14,耿鬼,36,3.21%,-0.07%,209,71.82%
15,班基拉斯,34,3.14%,0.36%,211,74.04%
16,幸福蛋,26,2.58%,-0.17%,170,72.65%
17,卡比兽,31,2.16%,-0.18%,145,73.98%
18,妖火红狐,36,1.93%,-0.1%,121,69.14%
19,喷火龙,36,1.56%,-1.64%,106,74.65%
20,快龙,25,1.12%,-1.67%,79,77.45%
21,狙射树枭,21,0.97%,-0.08%,62,70.45%
22,藏饱栗鼠,8,0.91%,0.06%,58,69.88%
23,闪焰王牌,23,0.79%,-2.06%,51,70.83%
24,爆肌蚊,19,0.77%,-0.23%,50,71.43%
25,怪力,27,0.75%,-0.03%,46,67.65%
26,烈箭鹰,18,0.52%,-0.37%,36,76.6%
27,朽木妖,12,0.37%,-0.36%,28,82.35%
28,古月鸟,17,0.35%,-1.4%,23,71.88%
29,沙奈朵,7,0.31%,0.21%,24,85.71%
30,胖可丁,12,0.28%,-0.82%,18,72.0%
30,皮卡丘,12,0.28%,-0.31%,18,72.0%
32,胡帕,4,0.25%,0.18%,17,73.91%
33,捷拉奥拉,11,0.24%,-0.13%,13,59.09%
34,仙子伊布,10,0.23%,0.06%,16,76.19%
35,太阳伊布,4,0.22%,0.11%,12,60.0%
36,水箭龟,8,0.18%,-0.16%,9,56.25%
37,铝钢龙,9,0.17%,-0.63%,7,46.67%
38,呆壳兽,10,0.12%,-0.6%,7,63.64%
39,烈咬陆鲨,7,0.11%,-0.39%,8,80.0%
40,妙蛙花,7,0.08%,-0.35%,6,85.71%
40,阿罗拉九尾,6,0.08%,-0.08%,3,42.86%
42,白蓬蓬,5,0.07%,0.01%,3,50.0%
43,岩殿居蟹,2,0.02%,-0.03%,2,100.0%
