,一共游戏场数,4161
,,博识眼镜	气势头带	穿透汤匙,4,100.0%,3
,,穿透汤匙	讲究眼镜	进击眼镜,6,85.71%,2
,,博识眼镜	学习装置	进击眼镜,3,100.0%,2
,,气势头带	穿透汤匙	进击眼镜,3,75.0%,2
,,博识眼镜	学习装置	讲究眼镜,2,66.67%,2
,,穿透汤匙	能量增幅器	讲究眼镜,10,90.91%,1
,,亿奥斯饼干	咒术熏香	气势头带,4,66.67%,1
,,气势头带	穿透汤匙	讲究眼镜,2,100.0%,1
,,博识眼镜	咒术熏香	讲究眼镜,2,50.0%,1
,,咒术熏香	学习装置	穿透汤匙,2,50.0%,1
,,学习装置	穿透汤匙	讲究眼镜,2,50.0%,1
,,博识眼镜	学习装置	穿透汤匙,1,100.0%,1
,,咒术熏香	气势头带	穿透汤匙,1,100.0%,1
,,力量头带	咒术熏香	穿透汤匙,1,33.33%,1
,,博识眼镜	气势头带	进击眼镜,0,0.0%,1
,,亿奥斯饼干	博识眼镜	气势头带,0,0.0%,1
,,博识眼镜	讲究眼镜	进击眼镜,0,0.0%,1
5,谜拟丘,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,66,7.43%,205,66.34%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,DB_Renyiwei,21,55.26%
,,TR・MAGUS么,18,81.82%
,,4lbert_w,14,73.68%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,暗影爪	影子偷袭	万灵药,56,73.68%,23
,,暗影爪	戏法空间	万灵药,48,66.67%,24
,,嬉闹		影子偷袭	攻击强化,46,56.1%,22
,,嬉闹		影子偷袭	逃脱按键,17,68.0%,9
,,嬉闹		影子偷袭	万灵药,14,70.0%,10
,,暗影爪	影子偷袭	速度强化,8,72.73%,3
,,嬉闹		影子偷袭	速度强化,5,71.43%,5
,,暗影爪	影子偷袭	逃脱按键,4,100.0%,4
,,暗影爪	戏法空间	速度强化,4,80.0%,3
,,嬉闹		戏法空间	万灵药,1,100.0%,1
,,暗影爪	戏法空间	攻击强化,1,50.0%,2
,,暗影爪	影子偷袭	攻击强化,1,25.0%,2
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,力量头带	猛攻哑铃	锐利之爪,145,63.88%,43
,,咒术手镯	猛攻哑铃	锐利之爪,11,68.75%,6
,,弱点保险	猛攻哑铃	锐利之爪,13,86.67%,5
,,力量头带	弱点保险	锐利之爪,12,66.67%,4
,,充能坠饰	猛攻哑铃	锐利之爪,9,64.29%,4
,,力量头带	咒术手镯	锐利之爪,3,75.0%,2
,,力量头带	弱点保险	猛攻哑铃,10,76.92%,1
,,咒术手镯	弱点保险	锐利之爪,2,100.0%,1
6,密勒顿,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,63,7.16%,218,73.15%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,五人ニキ,26,89.66%
,,Rising_ORE,18,72.0%
,,れんこmewFox,14,60.87%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,充电光束	打雷		逃脱按键,108,72.97%,41
,,闪电猛冲	抛物面充电	万灵药,76,75.25%,29
,,闪电猛冲	抛物面充电	逃脱按键,8,66.67%,7
,,充电光束	打雷		速度强化,7,77.78%,3
,,闪电猛冲	抛物面充电	脱壳忍者玩偶,7,63.64%,8
,,闪电猛冲	抛物面充电	伤药	,6,85.71%,5
,,充电光束	打雷		万灵药,4,80.0%,2
,,充电光束	打雷		伤药	,1,100.0%,1
,,充电光束	抛物面充电	万灵药,1,100.0%,1
,,充电光束	打雷		脱壳忍者玩偶,0,0.0%,1
,,闪电猛冲	抛物面充电	速度强化,0,0.0%,1
,,充电光束	抛物面充电	逃脱按键,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,博识眼镜	穿透汤匙	进击眼镜,54,76.06%,15
,,博识眼镜	穿透汤匙	讲究眼镜,80,78.43%,14
,,博识眼镜	咒术熏香	穿透汤匙,29,70.73%,13
,,穿透汤匙	讲究眼镜	进击眼镜,16,66.67%,3
,,咒术熏香	穿透汤匙	讲究眼镜,8,80.0%,3
,,博识眼镜	讲究眼镜	进击眼镜,5,55.56%,3
,,气势头带	穿透汤匙	贝壳之铃,10,83.33%,1
,,博识眼镜	学习装置	穿透汤匙,5,71.43%,1
,,博识眼镜	咒术熏香	讲究眼镜,3,60.0%,1
,,穿透汤匙	讲究眼镜	贝壳之铃,3,60.0%,1
,,气势头带	穿透汤匙	讲究眼镜,2,100.0%,1
,,气势头带	穿透汤匙	进击眼镜,1,100.0%,1
,,穿透汤匙	贝壳之铃	进击眼镜,1,100.0%,1
,,博识眼镜	穿透汤匙	贝壳之铃,1,100.0%,1
,,博识眼镜	学习装置	进击眼镜,0,0.0%,1
,,气势头带	贝壳之铃	进击眼镜,0,0.0%,1
,,学习装置	穿透汤匙	讲究眼镜,0,0.0%,1
,,穿透汤匙	能量增幅器	贝壳之铃,0,0.0%,1
7,可达鸭,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,32,5.86%,194,79.51%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,こだっくくん,64,79.01%
,,TTVJeyJey,30,90.91%
,,五人ニキ,17,80.95%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,冲浪		定身法	速度强化,130,79.75%,19
,,冲浪		定身法	伤药	,24,88.89%,9
,,冲浪		定身法	逃脱按键,24,77.42%,7
,,冲浪		定身法	万灵药,6,85.71%,2
,,冲浪		精神强念	伤药	,3,75.0%,2
,,冲浪		精神强念	速度强化,3,60.0%,4
,,泡沫光线	定身法	攻击强化,1,100.0%,1
,,冲浪		定身法	迟缓烟雾,1,100.0%,1
,,泡沫光线	精神强念	伤药	,1,50.0%,2
,,泡沫光线	定身法	速度强化,1,50.0%,2
,,冲浪		精神强念	逃脱按键,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,咒术熏香	学习装置	气势头带,21,67.74%,6
,,学习装置	气势头带	讲究眼镜,11,84.62%,4
,,共鸣护盾	学习装置	气势头带,11,73.33%,4
,,共鸣护盾	学习装置	救援屏障,19,79.17%,3
,,博识眼镜	穿透汤匙	讲究眼镜,2,50.0%,3
,,咒术熏香	学习装置	讲究眼镜,81,79.41%,2
,,学习装置	气势头带	穿透汤匙,33,89.19%,2
,,学习装置	救援屏障	气势头带,6,100.0%,1
,,博识眼镜	咒术熏香	学习装置,3,100.0%,1
,,博识眼镜	咒术熏香	穿透汤匙,2,100.0%,1
,,学习装置	气势头带	突击背心,2,100.0%,1
,,咒术熏香	讲究眼镜	进击眼镜,1,100.0%,1
,,共鸣护盾	咒术熏香	学习装置,1,100.0%,1
,,博识眼镜	讲究眼镜	贝壳之铃,1,50.0%,1
,,亿奥斯饼干	学习装置	进击眼镜,0,0.0%,1
8,索罗亚克,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,50,5.5%,156,68.12%
