排名,名称,排位指数,指数变化,单边获胜率,胜率变化,热度排名,选出率
1,魔墙人偶,123.31,-1.3,58.43%,-0.13%,1,62.64%
2,梦幻,75.39,8.91,52.92%,1.7%,2,42.73%
3,冰伊布,69.98,2.04,52.77%,0.54%,3,29.4%
4,古月鸟,67.7,0.31,53.32%,0.39%,17,10.7%
5,喷火龙,67.66,0.85,52.57%,0.02%,6,22.57%
6,坚盾剑怪,64.65,2.4,51.3%,0.55%,4,24.78%
7,铝钢龙,62.22,0.49,51.47%,0.3%,34,4.28%
8,耿鬼,61.62,-0.56,50.55%,-0.16%,7,22.02%
9,藏饱栗鼠,60.93,-0.37,50.64%,-0.17%,36,3.76%
10,班基拉斯,60.9,-1.29,50.47%,-0.55%,19,10.12%
11,甜冷美后,60.59,-1.13,50.27%,-0.49%,10,13.36%
12,卡比兽,59.22,-0.01,49.58%,-0.03%,13,12.57%
13,仙子伊布,59.07,-0.31,49.68%,-0.1%,28,6.32%
14,烈咬陆鲨,58.84,-0.11,49.8%,-0.01%,38,2.86%
15,阿勃梭鲁,58.64,-1.2,49.16%,-0.74%,5,23.09%
16,怪力,58.61,-1.01,49.34%,-0.48%,16,10.84%
17,妖火红狐,58.09,-0.27,49.13%,-0.07%,14,11.48%
18,幸福蛋,57.76,-1.16,48.93%,-0.51%,20,9.7%
19,甲贺忍蛙,57.71,0.59,48.71%,0.35%,8,18.01%
20,皮卡丘,57.51,0.93,48.73%,0.46%,9,14.16%
21,路卡利欧,57.16,-0.29,48.6%,-0.08%,12,12.6%
22,象牙猪,57.11,-0.55,48.78%,-0.29%,21,9.33%
23,烈箭鹰,56.17,0.13,48.1%,0.25%,11,12.66%
24,快龙,55.79,1.63,48.8%,0.53%,35,4.22%
25,闪焰王牌,55.67,-0.41,47.99%,-0.11%,18,10.27%
26,狙射树枭,53.99,0.0,47.19%,-0.18%,15,10.86%
27,岩殿居蟹,53.52,4.72,47.95%,1.48%,29,5.75%
28,水箭龟,53.19,1.97,47.71%,0.64%,30,5.74%
29,白蓬蓬,52.72,-3.06,48.81%,-0.37%,40,2.46%
30,朽木妖,52.44,-0.94,47.28%,-0.12%,26,7.05%
31,太阳伊布,52.43,-0.78,46.91%,-0.27%,22,8.54%
32,捷拉奥拉,52.32,-4.59,46.97%,-1.82%,23,8.38%
33,沙奈朵,51.73,-1.2,47.27%,-0.44%,31,5.73%
34,呆壳兽,51.14,1.37,46.88%,0.54%,27,6.65%
35,阿罗拉九尾,50.81,-2.32,47.25%,-0.79%,32,5.21%
36,胖可丁,48.18,-3.02,46.7%,-0.62%,33,4.55%
37,妙蛙花,47.29,-2.61,45.32%,-0.5%,25,7.42%
38,嘟嘟利,47.23,0.0,43.55%,0.0%,24,7.45%
39,爆肌蚊,38.46,3.13,45.21%,0.74%,37,3.42%
40,玛力露丽,37.76,5.83,46.27%,1.33%,39,2.62%
41,胡帕,-11.0,-45.49,43.85%,0.18%,41,2.02%
