,一共游戏场数,9194
1,卡比兽,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,连打围巾	亿奥斯饼干	猛攻哑铃,1,33.33%,1
,,连打围巾	气势头带	弱点保险,0,0.0%,1
4,甲贺忍蛙,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,68,8.24%,559,73.75%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,*ちっち*,83,79.81%
,,7Seas丨AmanY,60,71.43%
,,神速マン_FW,38,84.44%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,冲浪		烟幕		攻击强化,422,74.3%,47
,,冲浪		烟幕		逃脱按键,67,77.01%,9
,,冲浪		烟幕		万灵药,33,71.74%,9
,,冲浪		影子分身	攻击强化,18,78.26%,2
,,飞水手里剑	影子分身	攻击强化,13,48.15%,7
,,冲浪		烟幕		速度强化,2,100.0%,1
,,飞水手里剑	烟幕		攻击强化,2,100.0%,2
,,飞水手里剑	烟幕		逃脱按键,2,100.0%,2
,,飞水手里剑	影子分身	伤药	,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,猛攻哑铃	力量头带	焦点镜,170,74.89%,20
,,连打围巾	力量头带	焦点镜,69,69.0%,16
,,连打围巾	猛攻哑铃	力量头带,134,72.04%,14
,,连打围巾	猛攻哑铃	焦点镜,120,81.63%,8
,,猛攻哑铃	轻石		力量头带,26,61.9%,1
,,轻石		力量头带	焦点镜,19,63.33%,1
,,力量头带	焦点镜	弱点保险,10,90.91%,1
,,连打围巾	救援屏障	力量头带,4,66.67%,1
,,连打围巾	气势头带	力量头带,3,75.0%,1
,,治愈王冠	猛攻哑铃	力量头带,1,100.0%,1
,,猛攻哑铃	力量头带	锐利之爪,1,100.0%,1
,,连打围巾	能量增幅器	力量头带,1,100.0%,1
,,能量增幅器	猛攻哑铃	力量头带,1,100.0%,1
,,力量头带	锐利之爪	焦点镜,0,0.0%,1
5,勾魂眼,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,54,8.23%,564,74.5%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,Twist3xd,67,75.28%
,,Chobo.,42,85.71%
,,わふてやさん,37,74.0%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,影子偷袭	奇异之光	速度强化,249,74.55%,21
,,影子偷袭	奇异之光	逃脱按键,158,71.49%,24
,,影子偷袭	奇异之光	得分加速装置,101,74.26%,7
,,影子偷袭	奇异之光	万灵药,18,75.0%,3
,,拍落	出奇一击	速度强化,12,100.0%,3
,,影子偷袭	出奇一击	速度强化,12,92.31%,5
,,拍落	奇异之光	速度强化,4,100.0%,2
,,影子偷袭	出奇一击	得分加速装置,3,75.0%,1
,,拍落	奇异之光	逃脱按键,2,50.0%,3
,,拍落	奇异之光	得分加速装置,1,100.0%,1
