排名,名称,排位指数,指数变化,单边获胜率,胜率变化,热度排名,选出率
1,魔墙人偶,94.41,-1.7,56.81%,0.21%,1,40.51%
2,梦幻,82.65,2.07,54.92%,0.39%,2,33.01%
3,甜冷美后,66.17,-0.41,52.49%,-0.17%,9,15.96%
4,铝钢龙,64.94,-0.05,52.94%,-0.15%,32,6.47%
5,藏饱栗鼠,64.77,0.28,53.16%,0.05%,39,4.11%
6,喷火龙,64.73,-1.55,51.64%,-0.48%,4,21.56%
7,班基拉斯,64.34,0.87,52.26%,0.4%,23,9.32%
8,嘟嘟利,63.72,5.43,51.61%,2.42%,13,12.94%
9,坚盾剑怪,63.33,-0.4,51.14%,-0.13%,5,21.07%
10,快龙,62.45,2.42,51.46%,1.44%,35,5.67%
11,耿鬼,61.52,-0.43,50.54%,-0.16%,8,19.81%
12,冰伊布,60.54,-1.15,50.23%,-0.4%,11,15.44%
13,玛力露丽,60.4,0.9,50.12%,0.45%,3,26.62%
14,怪力,60.25,1.05,50.13%,0.47%,24,8.73%
15,卡比兽,59.98,0.51,49.99%,0.27%,14,12.64%
16,象牙猪,59.64,-0.8,49.83%,-0.4%,19,11.62%
17,甲贺忍蛙,59.37,-0.68,49.63%,-0.39%,7,19.87%
18,幸福蛋,58.97,-1.34,49.46%,-0.67%,17,11.92%
19,古月鸟,58.77,-2.53,49.6%,-1.13%,37,5.34%
20,阿勃梭鲁,58.63,-0.28,49.19%,-0.17%,6,19.92%
21,闪焰王牌,58.49,-0.3,49.27%,-0.14%,18,11.88%
22,皮卡丘,57.92,1.16,48.89%,0.58%,10,15.67%
23,路卡利欧,57.32,0.4,48.71%,0.16%,16,12.04%
24,仙子伊布,56.72,-0.91,48.86%,-0.32%,31,6.7%
25,妖火红狐,56.66,-0.32,48.39%,-0.14%,15,12.27%
26,烈咬陆鲨,55.78,2.47,49.23%,0.62%,41,2.62%
27,狙射树枭,55.29,-1.3,47.64%,-0.65%,12,12.98%
28,水箭龟,54.97,0.85,47.95%,0.67%,25,8.52%
29,呆壳兽,54.73,-1.2,47.74%,-0.41%,21,10.0%
30,朽木妖,54.69,-1.28,47.99%,-0.46%,30,6.79%
31,胖可丁,54.56,-0.49,47.91%,-0.11%,29,7.09%
32,爆肌蚊,54.03,-0.99,47.39%,-0.06%,20,10.24%
33,太阳伊布,53.8,-0.37,47.39%,-0.07%,22,9.41%
34,捷拉奥拉,53.55,-2.22,47.61%,-0.74%,26,7.68%
35,烈箭鹰,53.47,0.37,47.46%,0.15%,27,7.67%
36,阿罗拉九尾,53.3,-1.2,47.82%,-0.55%,36,5.57%
37,白蓬蓬,51.22,-2.8,48.16%,-0.62%,40,2.8%
38,沙奈朵,50.92,-2.23,46.96%,-0.7%,33,6.22%
39,岩殿居蟹,48.44,-5.13,46.79%,-1.37%,38,4.8%
40,妙蛙花,41.9,-6.06,44.44%,-1.63%,34,5.75%
41,巨钳螳螂,34.72,-3.42,39.14%,1.09%,28,7.4%
42,胡帕,-1.46,-26.62,44.35%,-1.39%,42,1.71%
