排名,名称,使用人数,使用率,使用率变化,胜场数,胜率
1,千面避役,81,13.88%,4.55%,592,68.28%
2,索罗亚克,57,9.59%,3.53%,412,68.78%
3,冰伊布,74,8.81%,0.74%,384,69.82%
4,皮可西,52,7.72%,-0.4%,336,69.71%
5,火焰鸡,48,7.09%,2.5%,320,72.23%
6,路卡利欧,69,6.95%,0.73%,302,69.59%
7,水箭龟,66,6.26%,0.07%,279,71.36%
7,岩殿居蟹,58,6.26%,0.22%,263,67.26%
9,快龙,49,5.0%,0.44%,214,68.59%
10,爆肌蚊,53,4.29%,0.02%,188,70.15%
11,梦幻,54,4.23%,0.7%,175,66.29%
12,叶伊布,63,4.15%,-1.17%,171,66.02%
13,嘟嘟利,50,4.02%,-0.12%,177,70.52%
14,朽木妖,56,3.99%,0.14%,179,71.89%
15,月亮伊布,53,3.84%,-0.71%,150,62.5%
16,白蓬蓬,42,3.76%,1.2%,170,72.34%
17,谜拟丘,47,3.59%,0.88%,143,63.84%
18,武道熊师,46,3.28%,0.21%,143,69.76%
19,胡帕,41,3.06%,1.08%,143,74.87%
20,太阳伊布,44,2.99%,0.35%,126,67.38%
21,阿勃梭鲁,34,2.91%,0.06%,134,73.63%
22,沙奈朵,48,2.82%,-2.79%,137,77.84%
23,妙蛙花,50,2.72%,-0.66%,117,68.82%
24,烈咬陆鲨,31,2.5%,1.14%,105,67.31%
24,多龙巴鲁托,20,2.5%,-3.12%,113,72.44%
26,仙子伊布,47,2.24%,0.4%,99,70.71%
27,幸福蛋,39,2.11%,0.68%,91,68.94%
28,卡比兽,32,1.94%,0.02%,92,76.03%
28,魔幻假面喵,27,1.94%,0.59%,93,76.86%
30,呆壳兽,32,1.86%,-0.09%,74,63.79%
31,巨钳螳螂,29,1.83%,0.35%,70,61.4%
32,花疗环环,24,1.65%,0.74%,71,68.93%
33,甲贺忍蛙,22,1.55%,0.68%,73,75.26%
34,巨金怪,23,1.54%,-0.48%,72,75.0%
35,象牙猪,26,1.52%,0.45%,68,71.58%
36,魔墙人偶,33,1.5%,-1.2%,69,73.4%
37,狙射树枭,39,1.47%,-0.46%,69,75.0%
38,阿罗拉九尾,26,1.44%,-0.23%,68,75.56%
39,水晶灯火灵,26,1.39%,0.25%,61,70.11%
40,皮卡丘,27,1.3%,0.29%,51,62.96%
41,捷拉奥拉,25,1.17%,-0.75%,49,67.12%
42,甜冷美后,19,1.15%,0.74%,51,70.83%
43,怪力,32,1.04%,-0.07%,47,72.31%
43,坚盾剑怪,19,1.04%,0.25%,50,76.92%
45,勾魂眼,17,1.02%,-0.48%,41,64.06%
46,烈箭鹰,28,0.96%,-0.41%,40,66.67%
47,古月鸟,22,0.8%,-0.37%,37,74.0%
48,妖火红狐,25,0.77%,-0.15%,38,79.17%
49,黏美龙,20,0.67%,-0.07%,29,69.05%
50,胖可丁,16,0.59%,-0.65%,25,67.57%
51,玛力露丽,13,0.43%,-0.56%,16,59.26%
51,耿鬼,14,0.43%,0.1%,18,66.67%
53,闪焰王牌,17,0.42%,-0.4%,20,76.92%
54,暴鲤龙,10,0.4%,-0.64%,15,60.0%
55,喷火龙,11,0.34%,-0.59%,15,71.43%
56,藏饱栗鼠,12,0.27%,0.14%,9,52.94%
57,拉普拉斯,13,0.21%,-0.33%,8,61.54%
58,铝钢龙,7,0.19%,-0.19%,7,58.33%
59,班基拉斯,8,0.18%,-0.18%,7,63.64%
