排名,名称,使用人数,使用率,使用率变化,胜场数,胜率
1,卡比兽,92,15.73%,13.42%,1132,78.28%
2,闪焰王牌,91,10.09%,9.53%,700,75.43%
3,甜冷美后,93,9.13%,-18.04%,616,73.42%
4,甲贺忍蛙,68,8.24%,6.57%,559,73.75%
5,勾魂眼,54,8.23%,-16.62%,564,74.5%
6,武道熊师,39,7.06%,0.0%,480,73.96%
7,魔墙人偶,76,6.95%,-8.33%,498,77.93%
8,路卡利欧,83,6.94%,-0.21%,458,71.79%
9,梦幻,55,6.83%,-0.77%,469,74.68%
10,索罗亚克,61,5.91%,-3.93%,396,72.93%
11,妖火红狐,52,4.89%,2.73%,354,78.67%
12,阿罗拉九尾,68,3.83%,3.72%,272,77.27%
13,巨钳螳螂,54,3.81%,-0.59%,262,74.86%
14,幸福蛋,62,3.8%,1.0%,247,70.77%
15,嘟嘟利,44,3.76%,-6.33%,246,71.1%
16,玛力露丽,53,3.75%,-0.27%,250,72.46%
17,坚盾剑怪,55,3.67%,-4.83%,257,76.26%
18,沙奈朵,49,2.86%,-1.68%,203,77.19%
19,象牙猪,39,2.85%,0.54%,201,76.72%
20,铝钢龙,34,2.81%,1.76%,200,77.52%
21,冰伊布,37,2.65%,-0.03%,182,74.59%
22,白蓬蓬,44,2.51%,1.39%,186,80.52%
23,班基拉斯,42,2.5%,0.71%,174,75.65%
24,妙蛙花,34,2.44%,-0.32%,155,69.2%
25,耿鬼,19,2.28%,1.32%,163,77.62%
26,仙子伊布,32,2.1%,0.27%,157,81.35%
27,狙射树枭,62,2.0%,1.55%,127,69.02%
28,古月鸟,34,1.94%,1.34%,131,73.6%
29,快龙,34,1.64%,-0.15%,119,78.81%
30,捷拉奥拉,27,1.59%,0.58%,105,71.92%
31,呆壳兽,28,1.54%,0.24%,101,71.13%
32,怪力,43,1.51%,0.28%,92,66.19%
33,藏饱栗鼠,16,1.4%,1.07%,96,74.42%
34,喷火龙,43,1.37%,0.1%,94,74.6%
35,烈咬陆鲨,31,1.32%,0.05%,86,71.07%
36,阿勃梭鲁,28,1.24%,0.42%,81,71.05%
37,水箭龟,37,1.1%,-3.04%,71,70.3%
38,太阳伊布,25,1.09%,0.86%,73,73.0%
39,烈箭鹰,21,0.91%,0.5%,62,73.81%
40,皮卡丘,27,0.88%,0.02%,62,76.54%
41,皮可西,15,0.77%,-0.53%,47,66.2%
42,胖可丁,24,0.48%,-0.83%,30,68.18%
43,朽木妖,16,0.34%,0.08%,25,80.65%
44,岩殿居蟹,17,0.29%,0.14%,18,66.67%
44,爆肌蚊,18,0.29%,-0.56%,19,70.37%
46,胡帕,8,0.18%,-0.11%,17,100.0%
