排名,名称,使用人数,使用率,使用率变化,胜场数,胜率
1,武道熊师,74,10.06%,0.58%,412,73.44%
2,谜拟丘,67,7.52%,-0.67%,291,69.45%
3,密勒顿,68,6.76%,-0.36%,270,71.62%
4,苍炎刃鬼,72,6.57%,3.5%,254,69.4%
5,千面避役,67,6.49%,4.19%,267,73.76%
6,烈咬陆鲨,62,6.13%,-0.91%,254,74.27%
7,超梦Y,37,5.9%,1.86%,247,75.08%
8,索罗亚克,64,5.67%,0.26%,217,68.67%
9,嘟嘟利,66,5.63%,1.48%,218,69.43%
10,月亮伊布,57,5.45%,-0.32%,241,79.28%
11,巨锻匠,41,5.43%,-1.47%,216,71.29%
12,爆肌蚊,50,4.61%,3.74%,194,75.49%
13,火焰鸡,63,4.27%,-0.43%,176,73.95%
14,甜冷美后,54,3.89%,-3.42%,161,74.19%
15,水箭龟,53,3.75%,3.12%,151,72.25%
16,幸福蛋,41,3.52%,-1.01%,130,66.33%
17,巨钳螳螂,46,3.46%,1.6%,140,72.54%
17,苍响,55,3.46%,-4.72%,130,67.36%
19,白蓬蓬,37,3.32%,1.93%,134,72.43%
20,胡帕,30,3.21%,1.77%,122,68.16%
21,甲贺忍蛙,46,3.19%,-0.05%,128,71.91%
22,朽木妖,45,3.14%,0.35%,122,69.71%
23,叶伊布,43,2.92%,-0.9%,124,76.07%
24,梦幻,45,2.89%,-0.3%,104,64.6%
25,巨金怪,41,2.65%,0.29%,106,71.62%
26,可达鸭,35,2.44%,-0.5%,115,84.56%
27,阿勃梭鲁,28,2.4%,0.39%,93,69.4%
28,象牙猪,34,2.3%,0.53%,101,78.91%
28,达克莱伊,50,2.3%,-1.12%,74,57.81%
30,怪力,38,2.22%,0.52%,90,72.58%
31,路卡利欧,48,2.19%,-0.39%,93,76.23%
32,卡比兽,30,2.04%,0.11%,76,66.67%
32,冰伊布,33,2.04%,0.17%,86,75.44%
34,呆壳兽,32,1.6%,-0.23%,59,66.29%
35,皮可西,27,1.51%,-0.11%,60,71.43%
36,狙射树枭,20,1.47%,0.27%,63,76.83%
37,耿鬼,21,1.43%,-1.11%,60,75.0%
38,妖火红狐,23,1.42%,0.14%,55,69.62%
38,魔幻假面喵,8,1.42%,0.35%,48,60.76%
40,岩殿居蟹,28,1.36%,-0.07%,59,77.63%
41,捷拉奥拉,24,1.33%,-0.2%,47,63.51%
41,闪焰王牌,24,1.33%,0.06%,60,81.08%
43,太阳伊布,31,1.26%,-0.42%,52,74.29%
44,藏饱栗鼠,25,1.22%,-1.01%,45,66.18%
45,沙奈朵,22,1.17%,0.35%,51,78.46%
46,妙蛙花,26,1.0%,0.15%,35,62.5%
47,烈箭鹰,24,0.97%,0.03%,40,74.07%
48,凤王,17,0.88%,0.13%,34,69.39%
48,花疗环环,29,0.88%,0.18%,33,67.35%
50,红莲铠骑,19,0.81%,-0.23%,36,80.0%
51,阿罗拉九尾,17,0.75%,-0.65%,25,59.52%
52,暴鲤龙,14,0.68%,0.15%,31,81.58%
53,皮卡丘,22,0.66%,0.05%,26,70.27%
54,魔墙人偶,17,0.59%,0.17%,19,57.58%
55,坚盾剑怪,15,0.5%,0.09%,19,67.86%
56,水晶灯火灵,15,0.45%,-0.21%,20,80.0%
57,拉普拉斯,14,0.41%,0.03%,14,60.87%
57,快龙,15,0.41%,-0.05%,17,73.91%
57,班基拉斯,13,0.41%,-0.61%,17,73.91%
60,列阵兵,6,0.29%,0.19%,13,81.25%
61,古月鸟,9,0.27%,-0.09%,9,60.0%
62,胖可丁,4,0.2%,0.09%,8,72.73%
63,勾魂眼,6,0.16%,-0.25%,7,77.78%
64,喷火龙,5,0.14%,-0.17%,4,50.0%
65,黏美龙,6,0.13%,-0.13%,3,42.86%
65,仙子伊布,6,0.13%,-0.11%,5,71.43%
67,超梦X,4,0.11%,-0.0%,6,100.0%
67,多龙巴鲁托,3,0.11%,-0.04%,5,83.33%
69,玛力露丽,3,0.09%,-0.17%,5,100.0%
70,铝钢龙,3,0.05%,0.04%,2,66.67%
