排名,名称,使用人数,使用率,使用率变化,胜场数,胜率
1,武道熊师,72,11.97%,3.37%,390,71.69%
2,火焰鸡,79,10.41%,3.67%,321,67.86%
3,苍炎刃鬼,86,10.28%,0.19%,334,71.52%
4,红莲铠骑,62,8.83%,0.0%,288,71.82%
5,喷火龙,64,6.05%,-0.43%,193,70.18%
6,甲贺忍蛙,60,5.83%,1.08%,180,67.92%
7,苍响,49,5.28%,2.83%,172,71.67%
8,甜冷美后,61,4.62%,-1.7%,144,68.57%
9,月亮伊布,56,4.56%,0.44%,141,68.12%
10,叶伊布,47,4.51%,1.81%,147,71.71%
11,象牙猪,47,4.31%,-0.32%,143,72.96%
12,暴鲤龙,43,4.14%,0.02%,145,77.13%
13,朽木妖,53,3.5%,-0.91%,104,65.41%
14,白蓬蓬,28,3.35%,0.75%,114,75.0%
15,密勒顿,42,3.24%,0.21%,94,63.95%
16,皮卡丘,50,2.86%,-3.54%,92,70.77%
17,嘟嘟利,48,2.84%,-0.08%,98,75.97%
18,幸福蛋,30,2.77%,-0.78%,76,60.32%
19,路卡利欧,41,2.62%,-0.17%,82,68.91%
20,梦幻,38,2.44%,0.48%,71,63.96%
21,谜拟丘,39,2.27%,-1.36%,69,66.99%
22,巨钳螳螂,43,2.25%,0.14%,74,72.55%
23,千面避役,35,2.22%,0.21%,76,75.25%
24,胡帕,24,1.92%,0.32%,65,74.71%
25,索罗亚克,38,1.89%,-0.17%,58,67.44%
26,沙奈朵,20,1.8%,0.94%,61,74.39%
27,快龙,29,1.67%,0.24%,54,71.05%
28,烈咬陆鲨,41,1.61%,-0.18%,54,73.97%
29,阿勃梭鲁,15,1.52%,-0.62%,54,78.26%
30,呆壳兽,33,1.36%,-0.02%,43,69.35%
31,妙蛙花,23,1.34%,-0.23%,42,68.85%
32,耿鬼,22,1.28%,-2.07%,45,77.59%
33,勾魂眼,8,1.25%,0.88%,44,77.19%
34,岩殿居蟹,29,1.23%,0.65%,37,66.07%
35,超梦Y,18,1.17%,0.8%,29,54.72%
36,凤王,27,1.12%,-0.55%,38,74.51%
37,爆肌蚊,23,1.08%,-0.25%,31,63.27%
38,怪力,23,0.9%,0.07%,30,73.17%
39,古月鸟,25,0.88%,-0.11%,29,72.5%
40,闪焰王牌,19,0.86%,0.15%,29,74.36%
41,捷拉奥拉,22,0.81%,-0.68%,27,72.97%
42,巨金怪,18,0.77%,0.2%,21,60.0%
43,胖可丁,14,0.75%,-0.01%,24,70.59%
44,妖火红狐,20,0.73%,-0.12%,25,75.76%
45,花疗环环,20,0.7%,-0.52%,21,65.62%
45,狙射树枭,14,0.7%,0.38%,20,62.5%
45,烈箭鹰,13,0.7%,0.12%,22,68.75%
45,皮可西,14,0.7%,0.03%,20,62.5%
49,太阳伊布,17,0.68%,-0.14%,24,77.42%
50,魔墙人偶,15,0.66%,-0.25%,19,63.33%
51,水晶灯火灵,15,0.57%,-0.04%,16,61.54%
52,魔幻假面喵,10,0.53%,-0.64%,15,62.5%
52,水箭龟,17,0.53%,-0.07%,17,70.83%
54,坚盾剑怪,10,0.4%,-0.04%,10,55.56%
55,多龙巴鲁托,5,0.37%,-0.23%,12,70.59%
56,冰伊布,6,0.33%,-0.23%,11,73.33%
57,卡比兽,10,0.31%,-0.01%,8,57.14%
58,仙子伊布,8,0.24%,-0.39%,7,63.64%
58,拉普拉斯,10,0.24%,-0.08%,7,63.64%
60,玛力露丽,6,0.2%,-0.01%,6,66.67%
61,超梦X,6,0.18%,-0.12%,5,62.5%
62,班基拉斯,5,0.15%,0.08%,3,42.86%
63,黏美龙,5,0.13%,0.05%,5,83.33%
64,阿罗拉九尾,5,0.11%,-0.09%,4,80.0%
65,铝钢龙,2,0.09%,0.05%,4,100.0%
66,列阵兵,3,0.07%,-0.38%,3,100.0%
66,藏饱栗鼠,3,0.07%,0.02%,0,0.0%
