排名,名称,使用人数,使用率,使用率变化,胜场数,胜率
1,苍响,29,17.87%,-7.85%,475,71.54%
2,冰伊布,52,13.51%,-0.27%,363,72.31%
3,索罗亚克,48,12.84%,1.54%,322,67.51%
4,月亮伊布,34,8.21%,5.42%,224,73.44%
5,嘟嘟利,38,7.73%,1.42%,213,74.22%
6,白蓬蓬,32,7.62%,5.5%,212,74.91%
7,拉普拉斯,45,7.29%,-2.64%,181,66.79%
8,水晶灯火灵,40,5.68%,1.24%,154,72.99%
9,梦幻,35,4.5%,1.09%,115,68.86%
10,呆壳兽,30,4.47%,-0.39%,113,68.07%
11,妖火红狐,37,4.06%,1.0%,97,64.24%
12,胡帕,29,3.63%,0.31%,106,78.52%
13,武道熊师,31,3.55%,0.07%,92,69.7%
14,魔墙人偶,23,3.07%,1.23%,79,69.3%
15,皮可西,20,2.77%,1.57%,70,67.96%
16,阿罗拉九尾,33,2.61%,-1.94%,67,69.07%
17,朽木妖,31,2.58%,1.19%,59,61.46%
18,水箭龟,32,2.42%,-0.12%,54,60.0%
19,卡比兽,17,2.18%,-0.5%,47,58.02%
20,沙奈朵,19,2.13%,0.73%,50,63.29%
21,妙蛙花,23,2.07%,0.79%,55,71.43%
22,爆肌蚊,17,1.86%,0.46%,43,62.32%
23,路卡利欧,19,1.8%,1.02%,44,65.67%
24,烈箭鹰,28,1.75%,0.58%,37,56.92%
25,怪力,22,1.72%,-0.01%,39,60.94%
26,太阳伊布,20,1.56%,0.53%,44,75.86%
26,狙射树枭,21,1.56%,0.67%,34,58.62%
28,仙子伊布,22,1.37%,0.15%,35,68.63%
29,花疗环环,20,1.35%,-5.43%,27,54.0%
30,阿勃梭鲁,15,1.32%,-0.22%,29,59.18%
31,幸福蛋,14,1.27%,-0.02%,28,59.57%
32,甲贺忍蛙,17,1.13%,0.1%,26,61.9%
33,巨钳螳螂,17,1.02%,-0.76%,27,71.05%
33,胖可丁,7,1.02%,0.69%,28,73.68%
35,皮卡丘,16,0.86%,-0.12%,22,68.75%
35,勾魂眼,16,0.86%,-0.51%,18,56.25%
37,甜冷美后,13,0.83%,0.56%,24,77.42%
38,闪焰王牌,14,0.75%,-0.7%,18,64.29%
38,古月鸟,15,0.75%,0.11%,22,78.57%
40,坚盾剑怪,11,0.73%,-0.53%,18,66.67%
41,象牙猪,4,0.38%,0.1%,7,50.0%
42,烈咬陆鲨,6,0.35%,-0.35%,12,92.31%
43,藏饱栗鼠,6,0.32%,-0.24%,9,75.0%
44,黏美龙,8,0.3%,0.02%,6,54.55%
44,班基拉斯,3,0.3%,-0.4%,9,81.82%
46,喷火龙,6,0.27%,-0.04%,6,60.0%
47,耿鬼,5,0.24%,0.1%,6,66.67%
47,岩殿居蟹,7,0.24%,-0.2%,2,22.22%
49,玛力露丽,4,0.22%,0.08%,6,75.0%
50,捷拉奥拉,4,0.13%,-0.09%,1,20.0%
51,多龙巴鲁托,4,0.11%,-0.12%,2,50.0%
52,快龙,2,0.08%,-0.14%,2,66.67%
